"uuid:ID","instanceType","id","text","name"
"f94a5201-c786-48a1-a220-b76581558711","TransitionRule","TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1"
"568d4cf2-d737-46a7-a9d1-f70c9dbf4506","TransitionRule","TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1"
"5797bb1b-3230-42e0-99a2-39ac2db12bd9","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"4f78fc9f-2044-4a74-88f6-4ef853a36c01","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"3abb989e-4c3e-4f97-ad30-83c5f2942cf1","TransitionRule","TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3"
"5999b57e-9527-4826-8919-282efc800594","TransitionRule","TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12"
"20e47b8f-2a53-4c6a-9e6b-f4566e6f6b55","TransitionRule","TransitionRule_7","Informed consent","ELEMENT_START_RULE_1"
"bc64a8dd-6324-421a-b23f-9b36790bad66","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"c623757c-20c2-4ef8-ba85-141a845b9827","TransitionRule","TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2"
"7186979e-30c3-4245-b4fb-366ee89708d4","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"24b82fd9-f3eb-4cb3-b433-e94c19e8a4ac","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"fa33012e-95ba-464a-a8a0-c8c0d8d28cbf","TransitionRule","TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3"
"7403a66e-69e8-4249-82aa-eb071abe571d","TransitionRule","TransitionRule_11","Randomized","ELEMENT_START_RULE_4"
"e2f7ff6f-55de-4f4e-b06d-69776bd8487a","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"5708ac47-1940-4a23-bcf9-53703f73e6d3","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
