"synonyms","uuid:ID","label","reference","instanceType","id","name"
"['Informed Consent Obtained', 'Informed Consent']","2133be2f-d1b4-40ec-9ffa-3ea2c6298f24","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","BiomedicalConcept_20","Informed Consent Obtained"
"","a2bc5288-694a-4133-935d-f84d11680646","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_21","Sex"
"['Racial Group']","8a472d8b-1ccb-4515-b516-fe9178feac9d","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_22","Race"
"['Temperature', 'Body Temperature']","589d80d7-72d8-41c8-ac8a-987492ba5735","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_23","Temperature"
"['Weight', 'Body Weight']","615a5d6e-f23d-4077-af19-dcfb77736454","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_24","Weight"
"['Height', 'Body Height']","2bc424b0-a1bc-4445-8027-4c27aea329b5","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_25","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","c4212aad-5d39-4474-a92a-f08ada91f029","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","7ce77de3-14a2-4128-90b3-c328b50edd4a","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_27","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","8cae690f-ad40-4cbf-aef4-1e663ae7b576","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","5187bd9c-7457-4ed4-a4cb-95649fdbbafa","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","dc865a44-0e6c-47e6-842f-6be50f6c8fd8","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_30","Creatinine Concentration in Urine"
"['Potassium', 'K', 'Potassium Measurement']","9bfc1e63-6e1c-4b18-a7df-01da68f52cc9","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_31","Potassium Concentration in Urine"
"['Sodium', 'NA', 'Sodium Measurement']","b283a720-d317-42ca-878b-895e6ed120af","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_32","Sodium Concentration in Urine"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","4a3cef48-ab1f-4508-aec3-92d44e98dcbf","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"['Adverse Event', 'Solicited Adverse Event']","259cceae-f04c-4822-a4b7-a71cf06bd038","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1","Adverse Event Prespecified"
"['SYSBP', 'Systolic Blood Pressure']","4dd8330d-3242-4ca1-9558-bdce075d3b62","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","83ac5ad0-989d-458d-bcfc-734b722efaf3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure"
"['Temperature', 'Body Temperature']","5458f320-7bd3-447b-a55c-7eeb3a3eb1cf","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4","Temperature"
"['Weight', 'Body Weight']","d0742fd0-3b73-43a1-8622-6fa98d2eb004","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5","Weight"
"['Height', 'Body Height']","a6b50503-e6ed-4f73-bae5-3948cf5ac5f3","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","43c4c893-1250-408f-913a-9e8fc6efe536","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","99b11171-d5fe-4882-92a4-1521715f3cc0","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","1496f88a-aa19-40e3-a708-54f9b370a4a9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","960e98ef-9d3d-4dc0-9eb9-ff64c16026af","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","9c78f5d3-0078-4cd0-985c-35e2b21b1f83","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11","Creatinine Concentration in Urine"
