"uuid:ID","label","instanceType","description","id","name"
"91bcf464-2df4-419f-b086-01c939503790","Informed consent","Activity","","Activity_1","Informed consent"
"1198e7e4-a3a5-43c5-a4d0-65744e823850","Inclusion and exclusion criteria","Activity","","Activity_2","Inclusion/exclusion criteria"
"0ead10f1-7f1e-41bf-b203-1b0854b9e6dc","Patient number assigned","Activity","","Activity_3","Patient number assigned"
"8ed54c44-642d-4a2f-bcff-13492826acf1","Demographics","Activity","","Activity_4","Demographics"
"529dec5b-583d-450c-9d37-fca5dd36c13c","Hachinski Ischemic Scale","Activity","","Activity_5","Hachinski"
"c7e7b409-30db-430a-9cd3-74b91970d48b","MMSE","Activity","","Activity_6","MMSE"
"93521078-26ce-43d1-9991-636efa219f58","Physical examination","Activity","","Activity_7","Physical examination"
"9502bd01-7d15-49cf-9ce4-e77824e0ae86","Medical history","Activity","","Activity_8","Medical history"
"ee8ad0ab-e3bc-41bc-a2e7-b04c2963aba5","Habits","Activity","","Activity_9","Habits"
"3fae5a23-8a4e-4666-a903-418b42104f96","Chest X-ray","Activity","","Activity_10","Chest X-ray"
"eb31883a-0df4-4ace-925a-4ed6b7846b56","Apo E genotyping","Activity","","Activity_11","Apo E genotyping"
"c3322c9a-95b8-4010-9f58-19e81fd6921d","Patient randomised","Activity","","Activity_12","Patient randomised"
"8e812af6-e41e-4611-970d-bb08c43f68bd","Vital Signs and Temperature","Activity","","Activity_13","Vital signs / Temperature"
"f20221ea-f693-40c3-8315-8483e2e2199b","Ambulatory ECG placed","Activity","","Activity_14","Ambulatory ECG placed"
"3ce0fdb5-cbc3-4231-864c-d5a15f668b10","Ambulatory ECG removed","Activity","","Activity_15","Ambulatory ECG removed"
"0aaac956-84c7-4634-a80d-272dcc04f3a1","ECG","Activity","","Activity_16","ECG"
"91d20fa6-620e-4f9a-a045-3bc7d548e9a8","Placebo TTS test","Activity","","Activity_17","Placebo TTS test"
"b6621b24-328a-4638-b02d-cebdacb47f3b","CT scan","Activity","","Activity_18","CT scan"
"c628c8c6-6435-4fe8-98e2-dc9d4b550acd","Concomitant medications","Activity","","Activity_19","Concomitant medications"
"085d0d1d-26f3-493a-b8ec-ef3b8dc64bdd","Hematology","Activity","","Activity_20","Hematology"
"2124f695-6e6d-4857-9466-de24b7fcc0cd","Chemistry","Activity","","Activity_21","Chemistry"
"414ce7a3-f5ed-404e-96fd-7f80e7f51953","Uninalysis","Activity","","Activity_22","Uninalysis"
"96d87aff-5d5f-477d-b96d-01c504394766","Plasma Specimen (Xanomeline)","Activity","","Activity_23","Plasma Specimen (Xanomeline)"
"2f8c039b-aff3-415d-8a0f-b2ff49740793","Hemoglobin A1C","Activity","","Activity_24","Hemoglobin A1C"
"b614d5fa-970d-4dd3-aeae-b71b0c5da196","Study drug record , Medications dispensed, Medications returned","Activity","","Activity_25","Study drug"
"d118eb8c-e541-42ba-a694-60781201b836","TTS Acceptability Survey","Activity","","Activity_26","TTS Acceptability Survey"
"d6dd25c9-795b-4f3b-883e-35b511974b7b","ADAS-Cog","Activity","","Activity_27","ADAS-Cog"
"0b619f3c-b8f2-46de-a701-351514f5e73f","CIBIC+","Activity","","Activity_28","CIBIC+"
"6320a2b7-8785-435b-b6f5-c78ccbb988d7","DAD","Activity","","Activity_29","DAD"
"9a381337-78ec-4242-a700-0fb50e9b4fd7","NPI-X","Activity","","Activity_30","NPI-X"
"37b01ac5-93f3-4b66-bced-1f6e97cae274","Adverse events","Activity","","Activity_31","Adverse events"
"125c3937-0e00-4d9f-8e06-4665ecc1c49e","Check adverse events","Activity","","Activity_32","Check adverse events"
"af5a0188-7d75-408b-b6bd-55f12b5e8536","Subject supine","Activity","","Activity_33","Supine"
"3e274706-bf83-4fd6-ad8d-485ab613ef11","Vital signs while supine","Activity","","Activity_34","Vital Signs Supine"
"9702068d-bc30-4830-ad89-09adf8895ded","Subject Standing","Activity","","Activity_35","Stand"
"7ea2ecc2-56ae-4298-a3ba-aa87ae47ea2e","Vital signs while standing","Activity","","Activity_36","Vital Signs Standing"
