"windowUpper","value","uuid:ID","label","windowLower","instanceType","valueLabel","windowLabel","description","id","name"
"","P2W","b526475c-767b-4230-877f-163a23618dbe","Screening","","Timing","2 weeks","","Screening timing","Timing_1","TIM1"
"PT0H","P2D","8c28f3fb-3f4f-4425-8fbc-d170d08136dd","Pre dose","PT4H","Timing","2 days","-4..0 hours","Pre dose timing","Timing_2","TIM2"
"","P1D","a1fc416c-fa00-4768-bc96-9b8cdc8de572","Dosing","","Timing","1 Day","","Dosing anchor","Timing_3","TIM3"
"P3D","P2W","99391ee7-c5c7-4cdd-ac33-b7bfc36257c8","Week 2","P3D","Timing","2 Weeks","-3..3 days","Week 2 timing","Timing_4","TIM4"
"P3D","P4W","e771f649-009a-4dca-a107-7bcf335fdfb5","Week 4","P3D","Timing","4 Weeks","-3..3 days","Week 4 timing","Timing_5","TIM5"
"P3D","P6W","50eabb4f-5d48-4c8c-bffc-097652917332","Week 6","P3D","Timing","6 Weeks","-3..3 days","Week 6 timing","Timing_6","TIM6"
"P3D","P8W","802c32f9-0408-4402-a4a8-a66f76a5eb5f","Week 8","P3D","Timing","8 Weeks","-3..3 days","Week 8 timing","Timing_7","TIM7"
"P4D","P12W","324baa9c-5aad-43cb-998f-252dcf4dfb54","Week 12","P4D","Timing","12 Weeks","-4..4 days","Week 12 timing","Timing_9","TIM9"
"P4D","P16W","1164a776-3fbe-4ad8-ab54-4d98723bbed7","Week 16","P4D","Timing","16 Weeks","-4..4 days","Week 16 timing","Timing_11","TIM11"
"P4D","P20W","a51f0d41-8621-4f75-b2cd-ae624ad2f6f3","Week 20","P4D","Timing","20 Weeks","-4..4 days","Week 20 timing","Timing_13","TIM13"
"P4D","P24W","fba8efe0-5562-4ab0-9a9b-3952a35b4e89","Week 24","P4D","Timing","24 Weeks","-4..4 days","Week 24 timing","Timing_15","TIM15"
"P3D","P26W","181f8d73-390c-4bf2-8c56-9b09f43769b3","Week 26","P3D","Timing","26 Weeks","-3..3 days","Week 26 timing","Timing_16","TIM16"
"","P2W","f8fa6807-46f3-4948-bfba-c9d0cf65fd70","Week 8 Home","","Timing","2 Weeks","","Week 8 at home timing","Timing_8","TIM8"
"","P2W","ac5d77d2-df86-4cdc-a5a6-0506678d07f7","Week 12 Home","","Timing","2 Weeks","","Week 12 at home timing","Timing_10","TIM10"
"","P2W","021c17b1-62b2-4c71-8409-440ef37c464b","Week 16 Home","","Timing","2 Weeks","","Week 16 at home timing","Timing_12","TIM12"
"","P2W","2b77ee56-3b05-404c-afaf-4dbb20ce2bd9","Week 20 Home","","Timing","2 Weeks","","Week 20 at home timing","Timing_14","TIM14"
"","P1D","c3663e07-7fab-49a2-b407-40761e3ab6c4","Adverse Event","","Timing","1 Day","","Adverse Event","Timing_17","TIM17"
"","P1D","523c5946-32fa-4e0b-91ab-ff5074b08fc6","Early Termination","","Timing","1 Day","","Early Termination","Timing_18","TIM18"
"","PT0M","7471ee5e-5e61-4baf-8bcf-cca07ef2007b","Supine","","Timing","0 mins","","Supine","Timing_19","TIM19"
"","PT5M","9653672d-b3ce-4f05-aa76-6d487531b7bb","VS while supine","","Timing","5 mins","","VS while supine","Timing_20","TIM20"
"","PT0M","3ad8542f-557c-4526-8ec9-2e27357b1756","Standing","","Timing","0 min","","Standing","Timing_21","TIM21"
"","PT1M","f0389bde-6770-4d21-aa14-f4888c4a4aac","VS while standing","","Timing","1 min","","VS while standing","Timing_22","TIM22"
"","PT0M","086bfb42-a31b-40b3-8c2c-0b6a946cd636","Standing","","Timing","0 min","","Standing","Timing_23","TIM23"
"","PT2M","3df9a802-198a-43d3-a3a0-9e1160197daa","VS while standing","","Timing","2 min","","VS while standing","Timing_24","TIM24"
