"isRequired","uuid:ID","label","datatype","instanceType","isEnabled","id","name"
"True","475a4354-2b4f-4b08-9812-852b5e102a91","DSDECOD","text","BiomedicalConceptProperty","True","BiomedicalConceptProperty_116","DSDECOD"
"True","d5461ee0-c060-49d3-abe4-4e4c8a12fe78","DSTERM","text","BiomedicalConceptProperty","True","BiomedicalConceptProperty_117","DSTERM"
"True","acace48f-d03b-4f6e-872f-26a52c8b13b9","DSSTDTC","datetime","BiomedicalConceptProperty","True","BiomedicalConceptProperty_118","DSSTDTC"
"True","bccd08b8-fd38-459f-aa9a-bbf714fc993a","Sex","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_119","Sex"
"True","e9a7b50e-0072-445c-aec1-6b8d62b034d3","Race","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_120","Race"
"True","266d1fe8-72b6-49fd-9918-e3e22a8e080c","VSTESTCD","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_121","VSTESTCD"
"True","b1593dfe-9237-4da1-9760-93a1a64fdf80","VSORRES","float","BiomedicalConceptProperty","True","BiomedicalConceptProperty_122","VSORRES"
"True","1c0615e5-af9b-44af-aa48-3746df08572c","VSORRESU","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_123","VSORRESU"
"True","addd243c-fb46-478e-b08a-a84ef630c953","VSLOC","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_124","VSLOC"
"True","25b5e914-b61d-4dae-829e-c0ab75008781","VSTESTCD","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_125","VSTESTCD"
"True","26d3fafb-0d3c-44da-bae8-19149eb694ca","VSORRES","float","BiomedicalConceptProperty","True","BiomedicalConceptProperty_126","VSORRES"
"True","e5afc032-2334-4203-bdfc-63ba009ce141","VSORRESU","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_127","VSORRESU"
"True","45152a20-826d-41f8-bc7a-55c7183bd3a4","VSTESTCD","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_128","VSTESTCD"
"True","f1e1cbc5-f5d0-427d-a7b1-50887e608698","VSORRES","float","BiomedicalConceptProperty","True","BiomedicalConceptProperty_129","VSORRES"
"True","9e9d9f82-26a1-464b-a30f-129d747255da","VSORRESU","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_130","VSORRESU"
"True","e7291fe8-3b15-4a72-b202-0f9654e606a2","LBTESTCD","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_131","LBTESTCD"
"True","025b4f7e-69bd-420c-b1ed-487935edb845","LBORRES","float","BiomedicalConceptProperty","True","BiomedicalConceptProperty_132","LBORRES"
"True","0871f7e6-0e57-44f9-adb8-dc8f1b83cb91","LBORRESU","","BiomedicalConceptProperty","True","BiomedicalConceptProperty_133","LBORRESU"
