"uuid:ID","label","instanceType","purpose","description","id","text","name"
"9675f79b-6ca3-4b99-9dad-7bf1384959d4","","Endpoint","","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1"
"bc5351f1-9111-4ee8-8e37-1042b7c7a068","","Endpoint","","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2"
"a1001961-d9b7-4a34-b4db-3c33c7af78b0","","Endpoint","","","Endpoint_3","Adverse events","END3"
"d79a199c-3255-423c-92e5-0a8917083c3f","","Endpoint","","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","END4"
"d0788449-dc68-4819-b17d-a5d26c91641a","","Endpoint","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Laboratory evaluations (Change from Baseline)","END5"
"db1c27a6-0056-467e-a37a-81219f482e3f","","Endpoint","","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6"
"5a4ad5a8-4896-435c-a445-02ede05a9e6c","","Endpoint","","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7"
"2b3c356d-c190-4e44-8866-007d7151a1b3","","Endpoint","","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8"
"baa61ae1-be35-4079-ab25-ec651a50957b","","Endpoint","","","Endpoint_9","*** To be determined from protocol ***","END9"
"acda1a36-f130-47da-b80e-234e07c73b42","","Endpoint","","","Endpoint_10","*** To be determined from protocol ***","END10"
"8205a595-bbc7-437f-a04f-85da04e503af","","Endpoint","","","Endpoint_11","*** To be determined from protocol ***","END11"
