"uuid:ID","label","instanceType","description","id","name"
"ed569b70-5e71-4ce9-95c5-9d1b60713df0","Screening 1","Encounter","Screening encounter","Encounter_1","E1"
"301634e8-ab75-4da6-9380-fb189e01424c","Screening 2","Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2","E2"
"2e8fb711-9c92-4e3d-bbf1-f01487b938ce","Baseline","Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3","E3"
"c0bf87f4-40cf-48bb-99c3-9c767cb6970d","Week 2","Encounter","Day 14","Encounter_4","E4"
"5756afc1-8aae-451a-b5de-2123d5545989","Week 4","Encounter","Day 28","Encounter_5","E5"
"5d105b83-c231-4743-93ee-66b21f217c11","Week 6","Encounter","Day 42","Encounter_6","E7"
"1690acfa-eea9-4c75-8b0e-6eebfe8f2e37","Week 8","Encounter","Day 56","Encounter_7","E8"
"2bd63d5d-095e-442e-9b34-62b3204d022b","Week 12","Encounter","Day 84","Encounter_8","E9"
"ab2ea787-b2d8-4aef-a4b1-bda938c9e59a","Week 16","Encounter","Day 112","Encounter_9","E10"
"6f8e7c13-e20c-497b-b9f3-b4f4081a20b2","Week 20","Encounter","Day 140","Encounter_10","E11"
"baa34683-8211-48d4-8d31-cef61350dc33","Week 24","Encounter","Day 168","Encounter_11","E12"
"88263ba8-a311-470f-93f5-28d0fbee7596","Week 26","Encounter","Day 182","Encounter_12","E13"
