"uuid:ID","codeSystemVersion","instanceType","code","decode","id","codeSystem"
"1eb57124-9804-4dc7-b9a2-10af4864d477","2023-12-15","Code","C98388","Interventional Study","Code_1","http://www.cdisc.org"
"54c0bdf1-e11e-4afa-8a2e-56c284a2c7f8","2023-12-15","Code","C15601","Phase II Trial","Code_2","http://www.cdisc.org"
"f819713b-64b9-4585-97c7-5951747fe8fa","2023-12-15","Code","C132352","Sponsor Approval Date","Code_9","http://www.cdisc.org"
"9c5836e7-644d-4bbb-8f58-8d9cc8c295fc","2023-12-15","Code","C68846","Global","Code_10","http://www.cdisc.org"
"795b8f34-fd37-486d-a664-439a87da5da4","2023-12-15","Code","C99904x3","IRB/IEC Feedback","Code_72","http://www.cdisc.org"
"ddfde632-7132-4253-a648-6dd2baed576b","2023-12-15","Code","C17649","Other","Code_73","http://www.cdisc.org"
"9e110872-7e6e-4f3f-8166-f09f42b34897","2023-12-15","Code","C41129","Region","Code_75","http://www.cdisc.org"
"c1979d01-4095-4009-ae64-ca08f63dd501","2020-08","Code","150","Europe","Code_74","ISO 3166 1 alpha3"
"3b34994d-d7b7-420b-b557-c98b9a56474f","12","Code","PHARMA","Eli Lilly","Code_4","SPONSOR"
"4a834602-ba0a-4020-a244-c6ad06cb3884","2023-12-15","Code","C70793","Clinical Study Sponsor","Code_76","http://www.cdisc.org"
"6a74ec6d-96d1-40e3-bf62-9cd52ba4e358","2020-08","Code","USA","United States of America","Code_77","ISO 3166 1 alpha3"
"2ce8ef6e-d1b6-4b59-829a-927a6cae9ca6","2023-12-15","Code","C93453","Study Registry","Code_78","http://www.cdisc.org"
"65aef34e-9189-4893-b86a-e7e35db85b10","2020-08","Code","USA","United States of America","Code_79","ISO 3166 1 alpha3"
"b28f10bb-314b-42d0-a21d-03368c3b8dd4","2023-12-15","Code","C49656","Treatment Study","Code_137","http://www.cdisc.org"
"4a53a176-a926-4a82-9d5d-9f62e2f322b3","2023-12-15","Code","C49666","Efficacy Study","Code_138","http://www.cdisc.org"
"e7424b5b-3554-4417-9d68-c420c912ce4e","2023-12-15","Code","C49667","Safety Study","Code_139","http://www.cdisc.org"
"b0bf4542-f7d3-4dcd-863c-399881be7035","2023-12-15","Code","C49663","Pharmacokinetic Study","Code_140","http://www.cdisc.org"
"5a5ab62f-0a27-4e03-afca-04f73e7669a8","12","Code","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_134","SPONSOR"
"c4741480-4cb7-41de-b666-09794bb48884","January 31, 2018","Code","26929004","Alzheimer's disease","Code_135","SNOMED"
"1d9ef91f-69aa-4ac7-bc7b-5120db5bacef","2023-12-15","Code","C99907x1","EXTENSION","Code_143","http://www.cdisc.org"
"12d7d7ff-b1b2-4698-8bac-48a0ddfdd82a","2023-12-15","Code","C98704","ADAPTIVE","Code_144","http://www.cdisc.org"
"5b463ed2-7927-4d16-9e79-5d3be8c17098","2023-12-15","Code","C82639","Parallel Study","Code_141","http://www.cdisc.org"
