"uuid:ID","instanceType","label","description","name","id"
"cdbfee08-b6c0-41ee-8975-612a3f0158c5","Encounter","Screening 1","Screening encounter","E1","Encounter_1"
"aa0f162a-d451-4dbe-91b2-f2ae0ddc971b","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","E2","Encounter_2"
"c77abe9b-3206-489d-ac6f-4c2ef634e483","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3"
"af344fe3-ef91-4b0b-9e3d-a3494f967f70","Encounter","Week 2","Day 14","E4","Encounter_4"
"3830db69-221d-40e5-9042-94618d7bbbd5","Encounter","Week 4","Day 28","E5","Encounter_5"
"5175e271-7acd-4be2-a6f3-cb38edfd8406","Encounter","Week 6","Day 42","E7","Encounter_6"
"eea7a35d-64bd-4ee6-a8de-b9c6e38630b6","Encounter","Week 8","Day 56","E8","Encounter_7"
"13d8fcc0-2eb8-43cb-87da-e28142f1111b","Encounter","Week 12","Day 84","E9","Encounter_8"
"8a837881-e31b-4f3f-98d8-c09a8977dbfa","Encounter","Week 16","Day 112","E10","Encounter_9"
"a93c682d-cb07-46c2-b53e-6a51b6087681","Encounter","Week 20","Day 140","E11","Encounter_10"
"7139cea8-de50-4a4b-a8de-180acce61850","Encounter","Week 24","Day 168","E12","Encounter_11"
"670e8963-aa45-4579-ac45-8179b2768542","Encounter","Week 26","Day 182","E13","Encounter_12"
