"uuid:ID","text","instanceType","label","description","name","id","purpose"
"6a14127f-4e31-4879-be1f-44e527b970f7","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","","END1","Endpoint_1",""
"bd8cd64b-84bb-4c41-bdaa-80e67234b669","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","","END2","Endpoint_2",""
"85c435fd-aff6-4334-bb8f-ebfbfc34bdd8","Adverse events","Endpoint","","","END3","Endpoint_3",""
"7d100e7e-5639-478c-a42f-1f0cf728bbec","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","","END4","Endpoint_4",""
"3193d60b-81c6-40c1-93cc-911f718e0810","Laboratory evaluations (Change from Baseline)","Endpoint","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5","Endpoint_5",""
"537a25cb-53c6-42ce-9999-58fea4e7c7ef","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","","END6","Endpoint_6",""
"6520c580-5c04-4773-b58d-a0b90ec53590","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","","END7","Endpoint_7",""
"1e4ce450-ac8c-4493-9b1a-eec65325bf5b","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","","END8","Endpoint_8",""
"7a49e113-8e3e-4a7a-82e0-f3469699c23e","*** To be determined from protocol ***","Endpoint","","","END9","Endpoint_9",""
"4953e1f5-4e90-4197-b397-fb845f06e3ec","*** To be determined from protocol ***","Endpoint","","","END10","Endpoint_10",""
"0511e1cc-06b3-4fc0-9826-fe3afb132b2f","*** To be determined from protocol ***","Endpoint","","","END11","Endpoint_11",""
