"uuid:ID","instanceType","label","synonyms","name","id","reference"
"d71a3f26-12de-40df-acbe-200b6dee247b","BiomedicalConcept","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"5e037ac7-271a-49ee-87e7-078bea41e5ff","BiomedicalConcept","Sex","","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"c7a5a015-90c9-4bb0-9bca-bd8d89a32efc","BiomedicalConcept","Race","['Racial Group']","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"d279d75a-dea2-4787-83ae-ff69c4df169c","BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"2fc99d7f-5c34-4cb5-ae01-082e396b0050","BiomedicalConcept","Weight","['Weight', 'Body Weight']","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"26b1c96d-a466-49af-bfd0-692da82e5749","BiomedicalConcept","Height","['Height', 'Body Height']","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"340ad199-63f9-4709-8ee7-8829c3fa7144","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"f985d71d-5ab5-4b6c-8cdd-d197fdf656e1","BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"625ab1c4-ffcc-41b7-8a4f-de9db984bc85","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"3a071299-5b35-4a04-a2d6-ba93b96a6476","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"4a631387-31ca-4e41-9b6e-8a8e528bd062","BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"52609a4e-0df0-4bca-9e9b-32a766b4e168","BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"beecf245-486c-4963-b3a1-b56e8cb46e82","BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"53f14a9d-23c6-4a0e-b4c4-fa3096c81715","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"4a675ea0-924c-46ab-9593-ec0e08f3f154","BiomedicalConcept","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
