"isRequired","uuid:ID","datatype","instanceType","label","isEnabled","name","id"
"True","95e070e9-38c0-45c5-8f16-fbf512637e61","text","BiomedicalConceptProperty","DSDECOD","True","DSDECOD","BiomedicalConceptProperty_116"
"True","880af410-29b0-4a4e-9922-3369c7428db5","text","BiomedicalConceptProperty","DSTERM","True","DSTERM","BiomedicalConceptProperty_117"
"True","7d6adeb5-2c73-4c23-826e-3d526e9bb255","datetime","BiomedicalConceptProperty","DSSTDTC","True","DSSTDTC","BiomedicalConceptProperty_118"
"True","10a240df-d8b2-4059-9105-7643a73fb731","string","BiomedicalConceptProperty","Sex","True","Sex","BiomedicalConceptProperty_119"
"True","a50f35ef-1e1a-4ee7-b863-6504d5a2effc","string","BiomedicalConceptProperty","Race","True","Race","BiomedicalConceptProperty_120"
"True","06c9541e-b9b8-4968-853b-06e986814ce9","","BiomedicalConceptProperty","VSTESTCD","True","VSTESTCD","BiomedicalConceptProperty_121"
"True","07b00266-aaa5-4e1b-8e2d-71ae87934fb8","float","BiomedicalConceptProperty","VSORRES","True","VSORRES","BiomedicalConceptProperty_122"
"True","ceaaf88b-a313-49e9-831c-7ab3fa81b79d","","BiomedicalConceptProperty","VSORRESU","True","VSORRESU","BiomedicalConceptProperty_123"
"True","f0c6f057-b3a5-48e5-acca-b2b28f472352","","BiomedicalConceptProperty","VSLOC","True","VSLOC","BiomedicalConceptProperty_124"
"True","2122935a-c44a-4fd1-9336-ed45f9fce2a1","","BiomedicalConceptProperty","VSTESTCD","True","VSTESTCD","BiomedicalConceptProperty_125"
"True","d92b90ab-bbfd-41f5-9829-9fc146c9d5a8","float","BiomedicalConceptProperty","VSORRES","True","VSORRES","BiomedicalConceptProperty_126"
"True","aa595f2c-365f-453e-960a-6019a906dbb3","","BiomedicalConceptProperty","VSORRESU","True","VSORRESU","BiomedicalConceptProperty_127"
"True","d956b9b5-adc7-4dd7-a0b9-d9fdc775817f","","BiomedicalConceptProperty","VSTESTCD","True","VSTESTCD","BiomedicalConceptProperty_128"
"True","23171743-3260-4907-9ba1-41418329ad30","float","BiomedicalConceptProperty","VSORRES","True","VSORRES","BiomedicalConceptProperty_129"
"True","fe0083f8-6342-4a6b-a7dd-21bfc482acfe","","BiomedicalConceptProperty","VSORRESU","True","VSORRESU","BiomedicalConceptProperty_130"
"True","caa81285-f94b-4b7d-ba88-b562eec22b82","","BiomedicalConceptProperty","LBTESTCD","True","LBTESTCD","BiomedicalConceptProperty_131"
"True","9a34f43b-6ac1-43dd-8fcc-150f22585b64","float","BiomedicalConceptProperty","LBORRES","True","LBORRES","BiomedicalConceptProperty_132"
"True","51c4011a-52bc-456f-968f-0d496fa0048e","","BiomedicalConceptProperty","LBORRESU","True","LBORRESU","BiomedicalConceptProperty_133"
"True","d32196d8-2775-4920-b3cc-1958ab8430ba","","BiomedicalConceptProperty","LBSPEC","True","LBSPEC","BiomedicalConceptProperty_134"
"True","075823da-7074-4bab-9bc7-9390769c95db","","BiomedicalConceptProperty","LBFAST","True","LBFAST","BiomedicalConceptProperty_135"
"True","e6e2b61b-5a2e-4ba7-be8f-cfd50d21aba7","","BiomedicalConceptProperty","LBTESTCD","True","LBTESTCD","BiomedicalConceptProperty_136"
