"windowLabel","uuid:ID","instanceType","label","value","description","name","id","windowLower","valueLabel","windowUpper"
"","56828f77-2370-42cf-8b48-65275d233070","Timing","Screening","P2W","Screening timing","TIM1","Timing_1","","2 weeks",""
"-4..0 hours","ff9e0f55-46b1-43c1-8d57-28cbf63b7308","Timing","Pre dose","P2D","Pre dose timing","TIM2","Timing_2","PT4H","2 days","PT0H"
"","b0839664-fced-4500-8173-a138955b3004","Timing","Dosing","P1D","Dosing anchor","TIM3","Timing_3","","1 Day",""
"-3..3 days","0c0e376f-b81b-4c4d-bf4a-1dc6f1bceb31","Timing","Week 2","P2W","Week 2 timing","TIM4","Timing_4","P3D","2 Weeks","P3D"
"-3..3 days","39aabada-179b-44cd-bb91-83b0bc69f28f","Timing","Week 4","P4W","Week 4 timing","TIM5","Timing_5","P3D","4 Weeks","P3D"
"-3..3 days","1a085f6f-1a29-495d-b88e-e04a35d7dadc","Timing","Week 6","P6W","Week 6 timing","TIM6","Timing_6","P3D","6 Weeks","P3D"
"-3..3 days","fe35b172-9447-4459-890f-b25e60972e69","Timing","Week 8","P8W","Week 8 timing","TIM7","Timing_7","P3D","8 Weeks","P3D"
"-4..4 days","3a518562-5014-411d-a919-ae5dfd3d6a12","Timing","Week 12","P12W","Week 12 timing","TIM9","Timing_9","P4D","12 Weeks","P4D"
"-4..4 days","6529f0b9-b3ae-46a3-af18-a7cf355dec1f","Timing","Week 16","P16W","Week 16 timing","TIM11","Timing_11","P4D","16 Weeks","P4D"
"-4..4 days","6826ab38-168b-452b-97a0-ac5e5d2eb65e","Timing","Week 20","P20W","Week 20 timing","TIM13","Timing_13","P4D","20 Weeks","P4D"
"-4..4 days","65ef1657-d730-487a-86d1-b1fcbdca4f8d","Timing","Week 24","P24W","Week 24 timing","TIM15","Timing_15","P4D","24 Weeks","P4D"
"-3..3 days","96b978e3-0091-41c1-b883-28848301b636","Timing","Week 26","P26W","Week 26 timing","TIM16","Timing_16","P3D","26 Weeks","P3D"
"","8e44107f-27f4-4888-8826-c63cc329e3d7","Timing","Week 8 Home","P2W","Week 8 at home timing","TIM8","Timing_8","","2 Weeks",""
"","b0c11804-4616-46b0-8ea5-f124b70e34ae","Timing","Week 12 Home","P2W","Week 12 at home timing","TIM10","Timing_10","","2 Weeks",""
"","8607f258-809d-4ffd-bb75-29aa1201cfd3","Timing","Week 16 Home","P2W","Week 16 at home timing","TIM12","Timing_12","","2 Weeks",""
"","f0520eb6-8d45-40b9-8b4f-cc1c6789d134","Timing","Week 20 Home","P2W","Week 20 at home timing","TIM14","Timing_14","","2 Weeks",""
"","800c56f7-ebee-413c-a6ef-d6bf1067d2be","Timing","Adverse Event","P1D","Adverse Event","TIM17","Timing_17","","1 Day",""
"","17442ec0-6318-460d-a09d-d7466b5dec4c","Timing","Early Termination","P1D","Early Termination","TIM18","Timing_18","","1 Day",""
"","33df2819-af61-43f4-8c92-9fa9655591b0","Timing","Supine","PT0M","Supine","TIM19","Timing_19","","0 mins",""
"","c53d26b4-f95a-4564-9dee-01939b6ec956","Timing","VS while supine","PT5M","VS while supine","TIM20","Timing_20","","5 mins",""
"","519e9e2e-93a7-4828-be4d-e8c904e8aaab","Timing","Standing","PT0M","Standing","TIM21","Timing_21","","0 min",""
"","924ff6c7-2634-4fcd-978d-83383fd62366","Timing","VS while standing","PT1M","VS while standing","TIM22","Timing_22","","1 min",""
"","29464b2e-7595-4336-9f81-e923ae4ddcdb","Timing","Standing","PT0M","Standing","TIM23","Timing_23","","0 min",""
"","1c139e60-ba82-4067-894a-be2f3020f153","Timing","VS while standing","PT2M","VS while standing","TIM24","Timing_24","","2 min",""
