"codeSystemVersion","uuid:ID","decode","codeSystem","instanceType","code","id"
"2023-12-15","839c5220-d976-40c6-ba4e-c44df13a9959","Interventional Study","http://www.cdisc.org","Code","C98388","Code_1"
"2023-12-15","ba52c38a-a1ac-4cc5-8945-9722b5b313b3","Phase II Trial","http://www.cdisc.org","Code","C15601","Code_2"
"2023-12-15","6ff87fc9-6c4a-49a6-8074-75321fc45c6f","Sponsor Approval Date","http://www.cdisc.org","Code","C132352","Code_9"
"2023-12-15","c83288b8-bb68-49a5-931c-514f5f07edee","Global","http://www.cdisc.org","Code","C68846","Code_10"
"2023-12-15","4d1c891d-10e9-4571-8d5b-60251e504ed6","IRB/IEC Feedback","http://www.cdisc.org","Code","C99904x3","Code_72"
"2023-12-15","d740cc47-453b-4a28-b162-0cc13a7c18d4","Other","http://www.cdisc.org","Code","C17649","Code_73"
"2023-12-15","0f44251f-55b9-4c79-91e4-bd79642a7a88","Region","http://www.cdisc.org","Code","C41129","Code_75"
"2020-08","c0163d3f-9dce-43fa-9fcf-f44a5da32763","Europe","ISO 3166 1 alpha3","Code","150","Code_74"
"12","4476a58d-2950-4f3c-97aa-b933b0085340","Eli Lilly","SPONSOR","Code","PHARMA","Code_4"
"2023-12-15","4acc5e95-31c6-4386-962b-fb510201cbc6","Clinical Study Sponsor","http://www.cdisc.org","Code","C70793","Code_76"
"2020-08","fcb2957f-1feb-472c-bd17-265c84af9956","United States of America","ISO 3166 1 alpha3","Code","USA","Code_77"
"2023-12-15","3b959e69-e2cd-4c33-8999-0ce2c4f87bc6","Study Registry","http://www.cdisc.org","Code","C93453","Code_78"
"2020-08","b49b2cda-b68a-4456-917a-6241b0b2ffe0","United States of America","ISO 3166 1 alpha3","Code","USA","Code_79"
"2023-12-15","db036b40-9e97-4275-b560-1d6e1f04d693","Treatment Study","http://www.cdisc.org","Code","C49656","Code_137"
"2023-12-15","6b9e93d9-28b4-43f9-8e76-59a9f0027fb3","Efficacy Study","http://www.cdisc.org","Code","C49666","Code_138"
"2023-12-15","ccd0ce53-6a36-4586-93e9-0364b9d38fb5","Safety Study","http://www.cdisc.org","Code","C49667","Code_139"
"2023-12-15","a2eb0a9d-315d-4c77-a3db-2a0c631d2503","Pharmacokinetic Study","http://www.cdisc.org","Code","C49663","Code_140"
"12","696c6c53-4ea4-4fcc-b55f-c8e75e5fdbbc","Mild to Moderate Alzheimer's Disease","SPONSOR","Code","MILD_MOD_ALZ","Code_134"
"January 31, 2018","09b3e1f0-91d1-4da1-9c5a-aec7d524c21e","Alzheimer's disease","SNOMED","Code","26929004","Code_135"
"2023-12-15","a56beb38-cbb0-4a64-93e8-621b492b299e","EXTENSION","http://www.cdisc.org","Code","C99907x1","Code_143"
"2023-12-15","ce35b3dd-5c7d-4721-adb2-dab27d95df6a","ADAPTIVE","http://www.cdisc.org","Code","C98704","Code_144"
"2023-12-15","b4aed440-fe77-4ac4-a2de-5e207b4f9106","Parallel Study","http://www.cdisc.org","Code","C82639","Code_141"
"2023-12-15","20a8514e-a755-4655-9206-205a34039c93","Visit","http://www.cdisc.org","Code","C25716","Code_83"
"2023-12-15","9926aac8-6152-4816-850a-9daa483f6b2c","Clinic","http://www.cdisc.org","Code","C51282","Code_84"
