"uuid:ID","instanceType","label","description","name","id"
"1fa4b167-a202-4973-949b-78f17da5546f","ScheduledActivityInstance","Screen One","-","SCREEN1","ScheduledActivityInstance_9"
"383ab4eb-28d9-4518-b81a-7bcce5109813","ScheduledActivityInstance","Screen Two","-","SCREEN2","ScheduledActivityInstance_10"
"9c6f21b0-e35c-4a0d-9120-a6840bab9b48","ScheduledActivityInstance","Dose","-","DOSE","ScheduledActivityInstance_11"
"f81d2618-8842-42f3-8d46-1369c9e4700f","ScheduledActivityInstance","Week 2","-","WK2","ScheduledActivityInstance_12"
"7ff2c5e6-2887-47af-9af2-c04680e68797","ScheduledActivityInstance","Week 4","-","WK4","ScheduledActivityInstance_13"
"f17a8173-bfef-4bae-bb1b-c6fff99ad273","ScheduledActivityInstance","Week 6","-","WK6","ScheduledActivityInstance_14"
"b900140d-5cbe-4359-a37c-bdb13796b6ad","ScheduledActivityInstance","Week 8","-","WK8","ScheduledActivityInstance_15"
"9bfc200f-c8b4-4418-bdaf-3a5f421234ea","ScheduledActivityInstance","Week NPI","-","WK8N","ScheduledActivityInstance_16"
"a5f34975-3f1d-43be-a06d-38d4b9159fc6","ScheduledActivityInstance","Week 12","-","WK12","ScheduledActivityInstance_17"
"c893c544-235e-44c3-b4d2-3952e9d43726","ScheduledActivityInstance","Week 12 NPI","-","WK12N","ScheduledActivityInstance_18"
"350c1ef0-ca18-4840-9a1b-fae11d520e1b","ScheduledActivityInstance","Week 16","-","WK16","ScheduledActivityInstance_19"
"7f77d411-7b6a-4c7e-bab2-d30a41c40ff9","ScheduledActivityInstance","Week 16 NPI","-","WK16N","ScheduledActivityInstance_20"
"6f9c3d05-dc0a-4f01-9ebc-c77998591af0","ScheduledActivityInstance","Week 20","-","WK20","ScheduledActivityInstance_21"
"2a343d8a-1ae4-452c-9283-9153293733cf","ScheduledActivityInstance","Week 20 NPI","-","WK20N","ScheduledActivityInstance_22"
"81e8ce12-8d30-43f7-b980-15e496241112","ScheduledActivityInstance","Week 24","-","WK24","ScheduledActivityInstance_23"
"64ede6f6-60bc-4c69-bdaf-4c2873ca1106","ScheduledActivityInstance","Week 26","-","WK26","ScheduledActivityInstance_24"
"568578a0-5c6e-48fa-89f4-c120c9d9cc88","ScheduledActivityInstance","Adevers Event","-","AE","ScheduledActivityInstance_1"
"59e910b4-ed37-4aac-aa46-0c81bbc14b98","ScheduledActivityInstance","Early Termination","-","ET","ScheduledActivityInstance_2"
"d98654c5-ee1a-4c59-ac9d-7618a7cd8f45","ScheduledActivityInstance","5 minute supine","","VS_5MIN","ScheduledActivityInstance_3"
"289611f8-e293-47c0-8e28-9b3c459fe03c","ScheduledActivityInstance","Vital signs supine","","VS_SUPINE","ScheduledActivityInstance_4"
"37ffb668-a6f1-4f26-9b08-b8378a17409d","ScheduledActivityInstance","1 minute standing","","VS_1MIN","ScheduledActivityInstance_5"
"8b105400-7ce5-40fe-9e00-b557c8b092ba","ScheduledActivityInstance","Vital signs after 1 min standing","","VS_STAND1","ScheduledActivityInstance_6"
"3b8bd51f-ac3d-4172-9b73-9040b3b41aa5","ScheduledActivityInstance","2 minute standing","","VS_2MIN","ScheduledActivityInstance_7"
"6f10c5cc-6e76-4b78-aaf4-f67ab63d7a29","ScheduledActivityInstance","Vital signs after 3 min standing","","VS_STAND3","ScheduledActivityInstance_8"
