"uuid:ID","text","instanceType","name","id"
"f76ffd40-3fe2-44bc-8105-9096454c5525","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"65adeb55-515f-48e1-ba82-3bd6260df362","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"36b5534b-1fe9-4920-8935-b4eecfb9816e","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"bd077495-5175-4232-84bc-823aa424bfa2","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"c7eb0f89-ba72-44ef-b112-7bd04ba48596","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"e6be6b41-4b29-46f7-a3c9-fb4b640c5806","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"501dea83-9424-44b0-b43b-5e68a5bbb081","Informed consent","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"f7659cee-a371-406d-81a3-7b984d19093b","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"057bb19d-7f67-4589-b2bd-9a007e8ddbd4","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"8cc0ffe5-0f7d-4751-8edf-be76dfa9cb8e","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"78dd3790-3355-49c1-bc24-2e97694886e6","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"89dc6f90-4072-41c6-8097-29e60dfbf3c8","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"23e91ea6-fb01-4ab8-ba03-b77f20cf7a2e","Randomized","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"729d4f25-f236-41ba-b8af-355a1ea485c5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"391cde18-5ee7-49b4-b564-3f6ced3be351","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
