"uuid:ID","instanceType","label","description","name","id"
"a16fe08d-6f80-4773-8773-18f47305d54d","Activity","Informed consent","","Informed consent","Activity_1"
"4e8b3e36-4f0f-412f-8573-88741f98f309","Activity","Inclusion and exclusion criteria","","Inclusion/exclusion criteria","Activity_2"
"bb98ed23-fac4-44fe-b9da-867af293004b","Activity","Patient number assigned","","Patient number assigned","Activity_3"
"146ec4a0-e273-459e-afa6-ecb3bfcc9766","Activity","Demographics","","Demographics","Activity_4"
"5eb61ed6-49b5-4d04-835a-12f3d96c9e6b","Activity","Hachinski Ischemic Scale","","Hachinski","Activity_5"
"05e8841b-fc46-4c09-93e1-3f5864acb2e1","Activity","MMSE","","MMSE","Activity_6"
"b1917322-c8fa-4bfb-8b2c-5e15506e5ed1","Activity","Physical examination","","Physical examination","Activity_7"
"69fa62bd-17a4-4a27-b2da-dd9d1451a885","Activity","Medical history","","Medical history","Activity_8"
"8d2c8c2c-5942-40a5-afa8-1e97a18da7ec","Activity","Habits","","Habits","Activity_9"
"097ef20f-13a8-4dce-bd9e-30a7fb9442f3","Activity","Chest X-ray","","Chest X-ray","Activity_10"
"aee32411-6b1c-45f3-915d-f45bc3688742","Activity","Apo E genotyping","","Apo E genotyping","Activity_11"
"ff1f8844-61b2-4c73-96ae-6191f2273968","Activity","Patient randomised","","Patient randomised","Activity_12"
"51a71aac-d31f-4ab6-b45d-f8d9b54503b9","Activity","Vital Signs and Temperature","","Vital signs / Temperature","Activity_13"
"e2408697-41c0-47d4-a36b-ab0bc86e4706","Activity","Ambulatory ECG placed","","Ambulatory ECG placed","Activity_14"
"9399efda-f4b8-4961-b8a7-9729995e32eb","Activity","Ambulatory ECG removed","","Ambulatory ECG removed","Activity_15"
"a78ba92f-9013-468b-a214-9eaa9839536b","Activity","ECG","","ECG","Activity_16"
"14a3d657-db78-487b-8b91-a81120d8dba9","Activity","Placebo TTS test","","Placebo TTS test","Activity_17"
"bbde60be-f649-474a-a5e6-1f2d7b5c53dd","Activity","CT scan","","CT scan","Activity_18"
"ebd0e464-46b9-4e19-824f-50f013e3ad71","Activity","Concomitant medications","","Concomitant medications","Activity_19"
"6e7cceb9-2be9-494e-9c5e-43c710d49967","Activity","Hematology","","Hematology","Activity_20"
"cf818130-601f-4fb1-9c8d-006150dc4b27","Activity","Chemistry","","Chemistry","Activity_21"
"f60f483d-11b5-4f99-a39d-11b6bf69cab8","Activity","Uninalysis","","Uninalysis","Activity_22"
"9a60738d-26ba-4aef-8acd-cb3080437b4f","Activity","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","Activity_23"
"d3afce83-3ec4-4d0b-8d95-bbdfe207a6a7","Activity","Hemoglobin A1C","","Hemoglobin A1C","Activity_24"
"c7319349-4306-4bd1-b663-8039acd22698","Activity","Study drug record , Medications dispensed, Medications returned","","Study drug","Activity_25"
"7bcdad23-aeaf-4271-860d-ead3207660fc","Activity","TTS Acceptability Survey","","TTS Acceptability Survey","Activity_26"
"66ea2be6-82db-4b15-8bd2-3bf7890e86de","Activity","ADAS-Cog","","ADAS-Cog","Activity_27"
"0c23614e-45f3-4e72-a2ba-367301e24135","Activity","CIBIC+","","CIBIC+","Activity_28"
"5d462f8f-67f6-4ca5-bd81-22c8091efadf","Activity","DAD","","DAD","Activity_29"
"f64654d3-7605-42aa-ad38-e16980610136","Activity","NPI-X","","NPI-X","Activity_30"
"dd604c18-b2ff-4a44-85a5-08ac9912db71","Activity","Adverse events","","Adverse events","Activity_31"
"73aaef9b-215a-4868-9c61-e8c9814741bc","Activity","Check adverse events","","Check adverse events","Activity_32"
"6740014c-cb3b-4c07-be7a-3b9051a885ef","Activity","Subject supine","","Supine","Activity_33"
"1b5e77c5-c489-40af-ab5c-25038ac31f8a","Activity","Vital signs while supine","","Vital Signs Supine","Activity_34"
"9837735a-1272-4025-b573-5d3045b4e4a6","Activity","Subject Standing","","Stand","Activity_35"
"e645de65-2cb0-4e44-b8b2-87b8c0204567","Activity","Vital signs while standing","","Vital Signs Standing","Activity_36"
