"uuid:ID","name","instanceType","text","id"
"ebe3cd16-f6a0-4426-86f3-53bc93647f15","ELEMENT_START_RULE_1","TransitionRule","Study Start","TransitionRule_1"
"db01f1cd-67f5-4bec-941f-b3884a50e98e","ELEMENT_END_RULE_1","TransitionRule","Day -1 of treatment period 1","TransitionRule_2"
"7e9bef16-569d-41ce-a56b-7e965ca5343d","ELEMENT_START_RULE_2","TransitionRule","Day -1 of treatment period","TransitionRule_3"
"c87b3140-a2cd-411f-8304-225f84bacf42","ELEMENT_END_RULE_2","TransitionRule","End of Day 1 of treatment period","TransitionRule_4"
"39d9ce6e-e817-4569-8db0-3cd09e6e453c","ELEMENT_START_RULE_4","TransitionRule","End of Day 1 of Treatment period 1","TransitionRule_7"
"a5abfd30-ca64-45d7-a8d0-624007bb6f97","ELEMENT_END_RULE_4","TransitionRule","Day -1 of treatment period 2","TransitionRule_8"
"77e6e2bf-1fbe-4df5-b0ac-49a9422d2d39","ELEMENT_START_RULE_3","TransitionRule","Day -1 of treatment period","TransitionRule_5"
"065c22b1-9f31-4de2-a131-0cd253b12db0","ELEMENT_END_RULE_3","TransitionRule","End of Day 1 of treatment period","TransitionRule_6"
"80a2f96c-cd05-494f-b092-c298c095edc7","ELEMENT_START_RULE_5","TransitionRule","End of Day 1 of Treatment period 2","TransitionRule_9"
"23cf04e5-b306-4d78-8cf2-d0af9559cd3b","ELEMENT_END_RULE_5","TransitionRule","Leave Study","TransitionRule_10"
