"identifier","uuid:ID","name","instanceType","text","label","description","id"
"1","57fffdd4-5355-4f5e-8558-8bfe94f68bdd","INC1","EligibilityCriterion","<p>have had a diagnosis of either:</p>
<ul>
  <li>
    <p>[1a] T1DM based on the World Health Organization (WHO) diagnostic criteria, and have been on the following daily insulin therapy for at least 1 year</p>
    <ul>
      <p>[A] multiple daily injection of long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) and rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine), or</p>
      <p>[B] continuous subcutaneous insulin infusion (CSII)</p>    
    </ul>
  </li>
  <p>Or</p>
  <li>
    <p>[1b] T2DM based on the WHO diagnostic criteria, and have received the</p>
    <p>following daily insulin therapy with or without oral anti-hyperglycemic medications (OAMs) for at least 1 year</p>
    <ul>
      <p>[A] insulin: long-acting insulin analog (either insulin glargine [U-100 or U-300] or insulin degludec [U-100]) alone, or in combination with rapid-acting insulin analog (insulin lispro, insulin aspart, or insulin glulisine) or CSII</p>
      <p>[B] OAM: up to 3 of the following OAMs in accordance with local regulations: metformin, dipeptidyl peptidase-4 inhibitor, sodium glucose cotransporter 2 inhibitor, sulfonylurea (should not be more than half of maximum approved doses), glinides, alpha-glucosidase inhibitor, or thiazolidine</p>
    </ul>
  </li>
</ul>","","","EligibilityCriterion_1"
"2","e59168e1-3394-4db2-bcc8-a18a63e60f84","INC2","EligibilityCriterion","<p>male patients: agree to use an effective method of contraception for the duration of the study and for 28 days following the last study treatment</p>","","Male contraception critierion","EligibilityCriterion_2"
"3","1a69a2f8-2d30-45d6-bcce-9b29f48adc0d","INC3","EligibilityCriterion","<ul>
  <li>
    [3a] women of childbearing potential who are abstinent (if this is complete
    abstinence, as their preferred and usual lifestyle) or in a same sex
    relationship (as part of their preferred and usual lifestyle) must agree to
    either remain abstinent or stay in a same sex relationship without sexual
    relationships with males. Periodic abstinence (eg, calendar, ovulation,
    symptothermal, post-ovulation methods), declaration of abstinence just for
    the duration of a trial, and withdrawal are not acceptable methods of
    contraception.
  </li>
  <li>
    [3b] otherwise, women of childbearing potential participating must agree to use
    one highly effective method (less than 1% failure rate) of contraception, or a
    combination of 2 effective methods of contraception for the entirety of the
    study.
    <ul>
      <li>[A] women of childbearing potential participating must test negative for
        pregnancy prior to initiation of treatment as indicated by a negative serum
        pregnancy test at the screening visit followed by a negative urine
        pregnancy test within 24 hours prior to exposure.</li>
      <li>[B] either one highly effective method of contraception or a combination
        of 2 effective methods of contraception will be used. The patient may
        choose to use a double barrier method of contraception. Barrier protection
        methods without concomitant use of a spermicide are not a reliable or
        acceptable method. Thus, each barrier method must include use of a
        spermicide. It should be noted that the use of male and female condoms
        as a double barrier method is not considered acceptable due to the high
        failure rate when these methods are combined.</li>
    </ul>
  </li>
  <li>
    [3c] women not of childbearing potential may participate, and include those who are:
    <ul>
      <li>
        [A] infertile due to surgical sterilization (hysterectomy, bilateral
        oophorectomy, or tubal ligation), congenital anomaly such as mullerian
        agenesis
      </li>
      <li>
        Or
        [B] postmenopausal, defined as either:
        <ul>
          <li>[i] a woman at least 50 years of age with an intact uterus, not on hormone therapy, who has had either:
          </li>
          <ul>
            <li>[a] cessation of menses for at least 1 year, or</li>
            <li>[b] at least 6 months of spontaneous amenorrhea with a follicle-stimulating hormone >40 mIU/mL; or</li>
          </ul>
          <li>[ii] a woman 55 or older not on hormone therapy, who has had at least 6 months of spontaneous amenorrhea,
            or</li>
          <li>[iii] a woman at least 55 years of age with a diagnosis of menopause prior to starting hormone replacement
            therapy</li>
        </ul>
      </li>
    </ul>
  </li>
</ul>","","Female contraception criterion","EligibilityCriterion_3"
"4","7e0a60cc-260c-437d-8c62-bb887a9b123c","INC4","EligibilityCriterion","<p>are between 18 and 64 years old for T1DM, or between 20 and 70 years old for T2DM at the time of informed consent</p>","","Age critierion","EligibilityCriterion_4"
"5","70f208cc-848e-49f8-8a09-72b7b52b404f","INC5","EligibilityCriterion","<p>have a body mass index of 18.5 to 30.0 kg/m 2 for T1DM, or 18.5 to 35.0 kg/m 2 for T2DM at the time of screening</p>","","Weight critierion","EligibilityCriterion_5"
"6","fc5defc6-9ccd-485a-a8bf-5f13196be143","INC6","EligibilityCriterion","<p>have a hemoglobin A1c value ≤10% at the time of screening</p>","","A1c critierion","EligibilityCriterion_6"
"7","54762c9b-62b5-4cd8-965f-e0477178f3ad","INC7","EligibilityCriterion","<p>have clinical laboratory test results within normal reference range (except for glycemic parameters) for the population or investigative site, or results with acceptable deviations that are judged to be not clinically significant by the investigator</p>","","Labs critierion","EligibilityCriterion_7"
"8","03ca859e-e67c-47ce-80d0-0dfc3b568677","INC8","EligibilityCriterion","<p>have venous access sufficient to allow for blood sampling and administration of insulin for IV administration as per the protocol</p>","","Venous critierion","EligibilityCriterion_8"
"9","87a85caa-9af7-41e3-9350-b5013cc48d16","INC9","EligibilityCriterion","<p>are reliable and willing to make themselves available for the duration of the study and are willing to follow study procedures</p>","","Availability critierion","EligibilityCriterion_9"
"10","2a4588b2-a04e-47e6-a04e-06fe6c2839e7","INC10","EligibilityCriterion","<p>are able and willing to give signed informed consent</p>","","IC critierion","EligibilityCriterion_10"
"11","93e24c5b-7705-4df6-a0d1-d46cf1f648c5","EXC11","EligibilityCriterion","<p>are investigative site personnel directly affiliated with this study and their immediate families. Immediate family is defined as a spouse, biological or legal guardian, child, or sibling</p>","","Site personal criterion","EligibilityCriterion_11"
"12","3d0aaac3-ea26-46a1-b91d-9c66a64ff4f0","EXC12","EligibilityCriterion","<p>are Lilly employees</p>","","Lilly employee criterion","EligibilityCriterion_12"
"13","15948fd4-a69d-4910-bdd8-25374e8f58f3","EXC13","EligibilityCriterion","<p>are currently enrolled in a clinical trial involving an investigational product or any other type of medical research judged not to be scientifically or medically compatible with this study</p>","","Other study critierion","EligibilityCriterion_13"
"14","046465ea-1037-446d-92df-125318a1a6f0","EXC14","EligibilityCriterion","<p>have participated, within the last 4 months, in a clinical trial involving an investigational product. If the previous investigational product has a long half-life, 4 months or 5 half-lives (whichever is longer) should have passed from the last dose of investigational product</p>","","Previous study criterion","EligibilityCriterion_14"
