"windowLower","uuid:ID","name","instanceType","description","label","window","value","id","windowUpper"
"P0D","6ead195f-ca31-4d8d-95aa-c3656ee8702d","TIMING_1","Timing","Screening visit timing","-28 Days","0..26 Days","P28D","Timing_1","P26D"
"","dfc85035-199b-4e6d-bf73-f3875479cebf","TIMING_2","Timing","Period 1, Day Minus 1 timing","-1 Day","","P1D","Timing_2",""
"","6012ef67-7375-436b-a520-89eb38f1814a","TIMING_3","Timing","Period 1, Radomisation timing","Radomisation","","PT0M","Timing_3",""
"","461086e3-4c44-46b0-8a15-dba1709aa999","TIMING_4","Timing","Period 1, Pre infusion timing","Pre infusion","","PT0M","Timing_4",""
"","49d27f02-0023-4acb-9923-a8a6059d62fc","TIMING_5","Timing","Period 1, Infusion timing","Infusion","","PT0M","Timing_5",""
"","213f1425-1f85-4971-985b-3d6c374a9ce7","TIMING_6","Timing","Period 1, Treatment anchor","Day 1","","P1D","Timing_6",""
"","2d0e7995-c4ca-47a0-b13f-123e7dd91802","TIMING_7","Timing","Period 1, Discharge timing","Discharge","","PT0M","Timing_7",""
"P0D","bed3b4f0-dcc1-4e9d-b1dc-46514c558ee6","TIMING_8","Timing","Washout timing","Washout","0.. 11 Days","P3D","Timing_8","P11D"
"","272960c3-32e9-4390-a256-ca59aea0d804","TIMING_9","Timing","Period 2, Day Minus 1 timing","-1 Day","","P0D","Timing_9",""
"","5f07ecbe-36c0-4b7f-bb6c-c1e2fb8aa10f","TIMING_10","Timing","Period 2, Pre infusion timing","Pre infusion","","P1D","Timing_10",""
"","39ea5d52-2e98-4ca2-af45-1cf5caa2b49f","TIMING_11","Timing","Period 2, Infusion timing","Infusion","","PT0M","Timing_11",""
"","6bf27b4b-e203-4bba-ba6e-4a044944a976","TIMING_12","Timing","Period 2, Treatment anchor","Day 1","","PT0M","Timing_12",""
"","e3e37d14-9df9-4cab-8426-e4fce4b87cb4","TIMING_13","Timing","Period 2, Discharge timing","Discharge","","PT0M","Timing_13",""
"P2D","b3c34235-10f8-4bae-a3a0-c003189f4b5a","TIMING_14","Timing","Follow Up timing","Follow up","2..2 Days","P28D","Timing_14","P2D"
"","45eb15f5-78d7-48e5-b2e4-d6e60d205dc1","TIMING_15","Timing","Additional Follow Up timing","Additional Follow Up","","P1D","Timing_15",""
"","f7af08e1-b165-4017-9e54-bd82a52de200","TIMING_31","Timing","Pre Hypoglycemia Induction timing","Pre Hypoglycemia Induction","","PT0M","Timing_31",""
"","53b887ed-95c7-4316-86b3-9a446ec75e82","TIMING_32","Timing","30 min before timing","30 min before","","PT30M","Timing_32",""
"","2e212dcf-4af3-4a25-aa04-1e7e72777a5a","TIMING_33","Timing","15 min before timing","15 min before","","PT15M","Timing_33",""
"","b1cf2a9a-9424-4f68-86c0-4be9735c99a6","TIMING_34","Timing","Hypoglycemia Induction timing","Hypoglycemia Induction","","PT0M","Timing_34",""
"","0e38dc2b-fa16-46fc-9a1d-5d2c7b2f5cd5","TIMING_36","Timing","Hypoglycemia Induction complete timing","Hypoglycemia Induction finished","","PT0M","Timing_35",""
"","76d7032b-62e0-4c22-bee4-71a660edc405","TIMING_16","Timing","Pre Dose timing","Pre Dose","","PT0M","Timing_16",""
"","3792dba7-a1a3-4b01-a847-52673b57436b","TIMING_17","Timing","Dose Timing","Dose","","PT0M","Timing_17",""
"","253301bb-3d39-4a19-a628-f2eb88be4235","TIMING_18","Timing","5 min","5 min","","PT5M","Timing_18",""
"","7038a407-a587-42c6-9d77-9e81c87f5877","TIMING_19","Timing","10 min","10 min","","PT10M","Timing_19",""
"","6fa3159d-0b6b-4e71-9ee6-728b55ccd2d9","TIMING_20","Timing","15 min","15 min","","PT15M","Timing_20",""
"","34b8cc84-1400-48bc-b5a6-caeb15dc6e92","TIMING_21","Timing","20 min","20 min","","PT20M","Timing_21",""
"","d71784fe-b3da-428a-a6c8-761bd0e9d21c","TIMING_22","Timing","25 min","25 min","","PT25M","Timing_22",""
"","803215fa-5ff7-4117-b275-9e2e9e7f55ac","TIMING_23","Timing","30 min","30 min","","PT30M","Timing_23",""
"","61b65510-2bcb-432d-8af3-93310cb7dc26","TIMING_24","Timing","40 min","40 min","","PT40M","Timing_24",""
"","6b28d5ae-4332-4aec-9456-64a9a7edaa32","TIMING_25","Timing","50min","50min","","PT50M","Timing_25",""
"","f6c86f19-1d3d-4438-b9ce-bd2a7ac2a84d","TIMING_26","Timing","60min","60min","","PT60M","Timing_26",""
"","021243b2-96ab-4ea4-8100-b6aef3074608","TIMING_27","Timing","90 min","90 min","","PT90M","Timing_27",""
"","65954b3c-3936-4299-b393-f966b38281c5","TIMING_28","Timing","120 min","120 min","","PT120M","Timing_28",""
"","9244bbbc-af3a-46e7-838e-984f888c20b9","TIMING_29","Timing","240 min","240 min","","PT240M","Timing_29",""
"","91936da2-bd5a-4099-91ea-61999d894fc7","TIMING_30","Timing","Meal Timing","Meal","","PT0M","Timing_30",""
