"uuid:ID","name","instanceType","text","label","description","id"
"c1b9f682-3ace-4fd2-921c-f91efeac44ac","COND1","Condition","All eligibility criteria met","Eligibilty","Eligibilty","Condition_1"
"fe6ac849-4cf6-4fa4-b7a7-e32b23a1db50","COND2","Condition","Stopped once bedside PG is <60 mg/dL","","Condition 1","Condition_2"
"e27a534b-f48e-4ac3-af04-fceff591692c","COND3","Condition","5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped.","","Condition 2","Condition_3"
"39874dba-1beb-4cc8-b172-99d7af302d0d","COND4","Condition","Injection-site assessment for IMG only.","Injection site assessment","Injection site assessment only required for IMG","Condition_4"
"7147872f-fb54-425b-b751-2a920a892561","COND5","Condition","At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures","","Fasted","Condition_5"
"c51a975a-a697-4201-ad04-9c5187af8eed","COND6","Condition","Only females of childbearing potential","","Childbearig potential","Condition_6"
"c77716f0-3b21-4501-9f4d-3da4945997c8","COND7","Condition","Only Females when needed to confirm postmenopausal status","","Females","Condition_7"
"6cc38f1c-ec18-4752-a2a7-7c79353dd92d","COND8","Condition","Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1.","Admission","Patient admission PG level critieria","Condition_8"
"5c114480-b600-42ce-8e1b-c44b2bc296ea","COND9","Condition","Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator.","Discharge","Patient discharge critieria","Condition_9"
"d28ce61e-34ae-44a5-a4ad-bbbaa699185e","COND10","Condition","After screening, medical assessment only performed to include medical review and targeted examination, as appropriate.","Physical Examination","Scope of patient physical examination","Condition_10"
"b70b875b-59a3-4daa-85cc-f88831a45042","COND11","Condition","Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia.","Hypoglycemia induction check","Ability of patient to undergo hypoglycemia induction","Condition_11"
"9236b5e5-aa57-4328-a39a-1c043b76dea5","COND12","Condition","After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed.","Carbohydrate-rich meal.","Provision of carbohydrate-rich meal.","Condition_12"
"eb82d32b-6cbf-4d2d-b5bc-386eeeadda87","COND13","Condition","Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL.","Timing of insulin infusion","Timing of insulin infusion","Condition_13"
"fb30d136-3c0a-4a1a-a31f-6566a93a32f8","COND14","Condition","Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures.","Patient fasting","Patient fasting for labs tests","Condition_14"
"09cc8f0d-9271-4fbe-83be-3ac16488c8b3","COND15","Condition","Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable.","Pregnancy tests","Type of pregnancy tests","Condition_15"
"22bdd086-d5d8-4887-950a-1af92a3734e2","COND16","Condition","When needed to confirm postmenopausal status.","FSH testing","FSH testing","Condition_16"
"8a45bafc-78f1-4b25-ad81-2d12ae907c4b","COND17","Condition","Additional tests can be done at the discretion of the investigator.","Ethanol testing","Ethanol testing","Condition_17"
"f1642907-434a-4c0d-9bc9-e568b8eb4e19","COND18","Condition","Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1.","Genetic sampling","Genetic sampling","Condition_18"
"e5fa7fbe-6e27-47bc-803e-5824a5aa9ada","COND19","Condition","In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up.","Drug reactions","Drug reactions","Condition_19"
"bc7990c3-5e6e-41fa-aad2-6bfd94afded3","COND20","Condition","Nasal inspection both for IMG and LY900018.","Nasal site inspection","Nasal site inspection","Condition_20"
"63b29c49-41e3-4964-be8f-11c8424d32eb","COND21","Condition","Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.","Triplicate 12-Lead ECG","Triplicate 12-Lead ECG","Condition_21"
"1a53681a-dd71-44e6-a0f3-4b046490b80e","COND22","Condition","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","PK (Glucagon)","PK (Glucagon)","Condition_22"
"dbd1b61c-98cf-4613-8622-78f9153bd920","COND23","Condition","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.","Plasma Glucose","Plasma Glucose","Condition_23"
"016d9741-8a63-4551-8a9d-d5a9d70511b7","COND24","Condition","Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods.","Nasal and Non-Nasal Score","Nasal and Non-Nasal Score","Condition_24"
"358cccad-f354-4bd2-bc61-2c42f97848b0","COND25","Condition","Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment.","Edinburgh Scale","Edinburgh Scale","Condition_25"
