"uuid:ID","name","instanceType","label","reference","description","id"
"f6e83584-e4a2-4848-a1df-901641d5c012","Informed Consent Obtained","BiomedicalConceptSurrogate","Informed Consent Obtained","None set","Informed Consent Obtained","BiomedicalConceptSurrogate_2"
"61267280-ce4d-4d4d-b9c3-88d05fc8e949","Medical History Free Text Format","BiomedicalConceptSurrogate","Medical History Free Text Format","None set","Medical History Free Text Format","BiomedicalConceptSurrogate_3"
"5fef7d73-8e1c-4b8e-9cd7-6487841e8d4f","Weight","BiomedicalConceptSurrogate","Weight","None set","Weight","BiomedicalConceptSurrogate_4"
"4625a449-a5a3-48cb-85e8-6141ded801b8","Height","BiomedicalConceptSurrogate","Height","None set","Height","BiomedicalConceptSurrogate_5"
"f8de756c-92cb-4bfe-acc8-f8caa362f031","Concomitant Medication Free Text Format","BiomedicalConceptSurrogate","Concomitant Medication Free Text Format","None set","Concomitant Medication Free Text Format","BiomedicalConceptSurrogate_6"
"9eba0622-da81-4f12-a857-30c844cee905","SYSBP","BiomedicalConceptSurrogate","SYSBP","None set","SYSBP","BiomedicalConceptSurrogate_7"
"31bce345-6108-41fa-9884-de59ce236bce","DIABP","BiomedicalConceptSurrogate","DIABP","None set","DIABP","BiomedicalConceptSurrogate_8"
"bca3e289-1318-4abc-b909-2f11d507e49e","Hepatitis B surface antigen","BiomedicalConceptSurrogate","Hepatitis B surface antigen","None set","Hepatitis B surface antigen","BiomedicalConceptSurrogate_9"
"a4f23aab-3898-4e93-b5c5-ea5c3e6049a2","Hepatitis C antibody","BiomedicalConceptSurrogate","Hepatitis C antibody","None set","Hepatitis C antibody","BiomedicalConceptSurrogate_10"
"de898130-3d6a-48c0-97f2-ef9040eae668","HIV","BiomedicalConceptSurrogate","HIV","None set","HIV","BiomedicalConceptSurrogate_11"
"e1a7e0c3-7aff-43f0-9c1a-1b9ffcb6c641","Syphilis","BiomedicalConceptSurrogate","Syphilis","None set","Syphilis","BiomedicalConceptSurrogate_12"
"c46355cb-0ac5-48d1-bc3f-0776668cd947","Hematocrit","BiomedicalConceptSurrogate","Hematocrit","None set","Hematocrit","BiomedicalConceptSurrogate_13"
"8b02fc4e-0ee1-45a7-9df9-f838a892feed","Hemoglobin","BiomedicalConceptSurrogate","Hemoglobin","None set","Hemoglobin","BiomedicalConceptSurrogate_14"
"b5e8ddb2-a993-4d1f-98d2-64e2775d2c3e","Erythrocyte count (RBC)","BiomedicalConceptSurrogate","Erythrocyte count (RBC)","None set","Erythrocyte count (RBC)","BiomedicalConceptSurrogate_15"
"9c24d985-c218-48fe-a750-d2cbf46fedcc","Mean cell volume","BiomedicalConceptSurrogate","Mean cell volume","None set","Mean cell volume","BiomedicalConceptSurrogate_16"
"5e541017-e49f-4b11-be85-1e9c7cd40f61","Mean cell hemoglobin","BiomedicalConceptSurrogate","Mean cell hemoglobin","None set","Mean cell hemoglobin","BiomedicalConceptSurrogate_17"
"f97b51a6-d59c-44bc-895d-d44e961e168d","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate","Mean cell hemoglobin concentration","None set","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate_18"
