"name","id","uuid:ID","instanceType","description","label","text"
"COND1","Condition_1","62481a6e-ef05-4011-938c-4a0196303734","Condition","Eligibilty","Eligibilty","All eligibility criteria met"
"COND2","Condition_2","d37ca663-8077-4736-a7c0-f084ab0455e0","Condition","Condition 1","","Stopped once bedside PG is <60 mg/dL"
"COND3","Condition_3","6ba42876-9e72-474e-b1d6-d8cebbe81c8a","Condition","Condition 2","","5 minutes after bedside PG reaches <60 mg/dL and insulin infusion is stopped."
"COND4","Condition_4","cc7341d7-5823-4152-a87c-94273721a0e1","Condition","Injection site assessment only required for IMG","Injection site assessment","Injection-site assessment for IMG only."
"COND5","Condition_5","dc998065-b219-459c-aa88-37dc241e1a40","Condition","Fasted","","At periods 1 and 2 pts should have fasted at least 8 hoours before any study procedures"
"COND6","Condition_6","c52dbcfc-0520-4a52-a983-01622f39c0cd","Condition","Childbearig potential","","Only females of childbearing potential"
"COND7","Condition_7","26d91a32-2db2-47a7-aba6-17fd634bd03b","Condition","Females","","Only Females when needed to confirm postmenopausal status"
"COND8","Condition_8","a8d17a88-c528-4074-b613-729c34a7f421","Condition","Patient admission PG level critieria","Admission","Admission can be rescheduled if PG level is not 90 to 250 mg/dL on Day 1."
"COND9","Condition_9","fd5b6de3-c525-4d80-a3db-33a3793b16fd","Condition","Patient discharge critieria","Discharge","Patient may be discharged 6 hours after glucagon administration. A patient may remain inpatient at the CRU at the discretion of the investigator."
"COND10","Condition_10","c5534317-5663-40a1-ae26-82c5186650f7","Condition","Scope of patient physical examination","Physical Examination","After screening, medical assessment only performed to include medical review and targeted examination, as appropriate."
"COND11","Condition_11","4c705edc-fa08-49a3-8ac5-83b33051af35","Condition","Ability of patient to undergo hypoglycemia induction","Hypoglycemia induction check","Review patients’ insulin regimens to confirm acceptability to undergo the procedure to induce hypoglycemia."
"COND12","Condition_12","a01346b9-999a-41d1-8953-1e55703e7eb6","Condition","Provision of carbohydrate-rich meal.","Carbohydrate-rich meal.","After completion of all PK sampling, patients will be provided a carbohydrate-rich meal. The investigator will ensure the patient’s PG is stable. A prandial insulin dose will be administered if needed."
"COND13","Condition_13","e507f51a-dddc-463d-b057-8d3f8c76168e","Condition","Timing of insulin infusion","Timing of insulin infusion","Procedures in Period 2 will occur at approximately the same time as those in Period 1. Insulin infusion is stopped once bedside PG is <60 mg/dL."
"COND14","Condition_14","39467d6b-78d2-4498-a66f-d85487d4e14c","Condition","Patient fasting for labs tests","Patient fasting","Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures."
"COND15","Condition_15","617cebb8-4067-4943-aa3a-a36dc245fa74","Condition","Type of pregnancy tests","Pregnancy tests","Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable."
"COND16","Condition_16","8db2d124-371d-464c-bc44-10c4614ea34d","Condition","FSH testing","FSH testing","When needed to confirm postmenopausal status."
"COND17","Condition_17","a9e9badf-1a9e-4837-81e0-06b35156624d","Condition","Ethanol testing","Ethanol testing","Additional tests can be done at the discretion of the investigator."
"COND18","Condition_18","4e2085ec-1b11-4dc2-ba39-c613a49445a9","Condition","Genetic sampling","Genetic sampling","Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1."
"COND19","Condition_19","4af536d8-5c0d-45f0-b81d-3de3c675c767","Condition","Drug reactions","Drug reactions","In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up."
"COND20","Condition_20","e5ddc0fb-b109-4c8d-905c-4ebb937d06e2","Condition","Nasal site inspection","Nasal site inspection","Nasal inspection both for IMG and LY900018."
"COND21","Condition_21","9ba06164-beb6-4bdb-89d7-603af4103c4f","Condition","Triplicate 12-Lead ECG","Triplicate 12-Lead ECG","Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment."
"COND22","Condition_22","7780150d-b7d8-462d-8fe8-fa380d25a180","Condition","PK (Glucagon)","PK (Glucagon)","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment."
"COND23","Condition_23","a434cbf1-d835-4fb6-9efe-ac86df56cc11","Condition","Plasma Glucose","Plasma Glucose","Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment."
"COND24","Condition_24","156f6e13-ce98-4bcd-8c68-f053e576c69b","Condition","Nasal and Non-Nasal Score","Nasal and Non-Nasal Score","Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods."
"COND25","Condition_25","9340da2c-f073-48ad-ad7f-8c784e9d485b","Condition","Edinburgh Scale","Edinburgh Scale","Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment."
