"name","id","uuid:ID","instanceType","reference","description","label"
"Informed Consent Obtained","BiomedicalConceptSurrogate_2","4eb84f94-1f17-4c2b-91cc-21d492d45f53","BiomedicalConceptSurrogate","None set","Informed Consent Obtained","Informed Consent Obtained"
"Medical History Free Text Format","BiomedicalConceptSurrogate_3","e3d4a0bb-6494-4aea-ba97-2db13039b259","BiomedicalConceptSurrogate","None set","Medical History Free Text Format","Medical History Free Text Format"
"Weight","BiomedicalConceptSurrogate_4","fe2d7cc4-f4b3-4f1f-9feb-23051a43e463","BiomedicalConceptSurrogate","None set","Weight","Weight"
"Height","BiomedicalConceptSurrogate_5","96263925-61bd-4e30-8f6a-df2c5ea1f686","BiomedicalConceptSurrogate","None set","Height","Height"
"Concomitant Medication Free Text Format","BiomedicalConceptSurrogate_6","4a2ae02a-11e8-4660-80a5-e4c1a48098ee","BiomedicalConceptSurrogate","None set","Concomitant Medication Free Text Format","Concomitant Medication Free Text Format"
"SYSBP","BiomedicalConceptSurrogate_7","d5ac757c-9641-4b56-b32c-34eb4fba83d2","BiomedicalConceptSurrogate","None set","SYSBP","SYSBP"
"DIABP","BiomedicalConceptSurrogate_8","bcc133cc-59e9-4c49-a7e7-c50d386c5d03","BiomedicalConceptSurrogate","None set","DIABP","DIABP"
"Hepatitis B surface antigen","BiomedicalConceptSurrogate_9","3ab13fad-027b-49a5-938b-c47b69aabf5e","BiomedicalConceptSurrogate","None set","Hepatitis B surface antigen","Hepatitis B surface antigen"
"Hepatitis C antibody","BiomedicalConceptSurrogate_10","f706a51d-62fa-4f25-8adf-ed19fd9b54d3","BiomedicalConceptSurrogate","None set","Hepatitis C antibody","Hepatitis C antibody"
"HIV","BiomedicalConceptSurrogate_11","88d4f137-f18f-428e-b005-0cd140e6a970","BiomedicalConceptSurrogate","None set","HIV","HIV"
"Syphilis","BiomedicalConceptSurrogate_12","4f37ebe9-5ed9-41f9-a435-2354619bb6be","BiomedicalConceptSurrogate","None set","Syphilis","Syphilis"
"Hematocrit","BiomedicalConceptSurrogate_13","3e88da4f-257c-43a6-828e-5c7c5034ec7b","BiomedicalConceptSurrogate","None set","Hematocrit","Hematocrit"
"Hemoglobin","BiomedicalConceptSurrogate_14","1cd33e4f-a169-49da-a250-340c64db3b37","BiomedicalConceptSurrogate","None set","Hemoglobin","Hemoglobin"
"Erythrocyte count (RBC)","BiomedicalConceptSurrogate_15","32e69d80-a06a-4a17-8d62-6a22f26be8b1","BiomedicalConceptSurrogate","None set","Erythrocyte count (RBC)","Erythrocyte count (RBC)"
"Mean cell volume","BiomedicalConceptSurrogate_16","048ac0fa-06d6-4f91-b50c-ded07783e6ed","BiomedicalConceptSurrogate","None set","Mean cell volume","Mean cell volume"
"Mean cell hemoglobin","BiomedicalConceptSurrogate_17","e127e763-efcc-4a80-8ce7-8f319fff11d0","BiomedicalConceptSurrogate","None set","Mean cell hemoglobin","Mean cell hemoglobin"
"Mean cell hemoglobin concentration","BiomedicalConceptSurrogate_18","3fbb31e3-db16-4097-b8b4-6f6b76a37bd2","BiomedicalConceptSurrogate","None set","Mean cell hemoglobin concentration","Mean cell hemoglobin concentration"
"Platelets","BiomedicalConceptSurrogate_19","70df4ca2-809d-4c45-b626-ddfd3a069264","BiomedicalConceptSurrogate","None set","Platelets","Platelets"
"Leukocytes (WBC)","BiomedicalConceptSurrogate_20","b3b72a31-851a-4bee-abc7-f1677ff73683","BiomedicalConceptSurrogate","None set","Leukocytes (WBC)","Leukocytes (WBC)"
"Cell morphology","BiomedicalConceptSurrogate_21","284b56ad-e2ce-42b6-a50d-c2ba55cb0c9e","BiomedicalConceptSurrogate","None set","Cell morphology","Cell morphology"
"Neutrophils","BiomedicalConceptSurrogate_22","3f148184-a23a-4a34-8456-6bd0d0b27a70","BiomedicalConceptSurrogate","None set","Neutrophils","Neutrophils"
"Lymphocytes","BiomedicalConceptSurrogate_23","d69ec8b3-d832-48a5-a9aa-a790abb42d19","BiomedicalConceptSurrogate","None set","Lymphocytes","Lymphocytes"
"Monocytes","BiomedicalConceptSurrogate_24","71f83289-c032-420d-931d-ec4acb21e6f2","BiomedicalConceptSurrogate","None set","Monocytes","Monocytes"
"Eosinophils","BiomedicalConceptSurrogate_25","afa9b53f-f190-44e3-aaf3-3925d396fd33","BiomedicalConceptSurrogate","None set","Eosinophils","Eosinophils"
"Basophils","BiomedicalConceptSurrogate_26","a142da75-ebed-4378-9eed-c3106277b115","BiomedicalConceptSurrogate","None set","Basophils","Basophils"
"Sodium","BiomedicalConceptSurrogate_27","7d599ffc-1eda-4414-846d-61f51cb22017","BiomedicalConceptSurrogate","None set","Sodium","Sodium"
"Potassium","BiomedicalConceptSurrogate_28","39132a6f-9859-4509-b1fa-acdee6ba812a","BiomedicalConceptSurrogate","None set","Potassium","Potassium"
"Chloride","BiomedicalConceptSurrogate_29","2c1cbf34-67b9-463f-ae90-693f70c50d9d","BiomedicalConceptSurrogate","None set","Chloride","Chloride"
"Calcium","BiomedicalConceptSurrogate_30","b48f89ee-5437-41b3-89a7-b52fc7c0fd81","BiomedicalConceptSurrogate","None set","Calcium","Calcium"
"Phosphorus","BiomedicalConceptSurrogate_31","e2d04e8b-df0e-46a4-9bd9-c3ae1446fce2","BiomedicalConceptSurrogate","None set","Phosphorus","Phosphorus"
"Plasma Glucose","BiomedicalConceptSurrogate_32","cfa6884d-020c-4c7f-a4a8-cdbd38b9d01d","BiomedicalConceptSurrogate","None set","Plasma Glucose","Plasma Glucose"
