"name","id","datatype","uuid:ID","instanceType","isRequired","isEnabled","label"
"Clinical Test Result","BiomedicalConceptProperty_1","integer","74df23d0-b8de-4608-bc70-0c8f23c2dee5","BiomedicalConceptProperty","True","True","Clinical Test Result"
"Count per Minute","BiomedicalConceptProperty_2","string","e8fadb2a-c3d3-41f7-8518-82669038d744","BiomedicalConceptProperty","True","True","Count per Minute"
"Anatomic Site","BiomedicalConceptProperty_3","string","8d5a4015-5c2f-4fd4-9ae6-52889f18fb7a","BiomedicalConceptProperty","True","True","Anatomic Site"
"Laterality","BiomedicalConceptProperty_4","string","e4a63a90-8699-4e9d-8d9f-f3ed7c60d9d6","BiomedicalConceptProperty","True","True","Laterality"
"Test Method","BiomedicalConceptProperty_5","string","5fcee89c-5b37-4c35-910b-cc94a1d6518f","BiomedicalConceptProperty","True","True","Test Method"
"Body Position","BiomedicalConceptProperty_6","string","cab9189e-7743-4e70-966c-c9f84369006b","BiomedicalConceptProperty","True","True","Body Position"
"Clinical Test Result","BiomedicalConceptProperty_7","decimal","1930b7f7-f22c-43c9-97f1-faba56e8543c","BiomedicalConceptProperty","True","True","Clinical Test Result"
"Unit of Temperature","BiomedicalConceptProperty_8","string","eade2034-6f2d-49a7-a469-e5ce3953e29e","BiomedicalConceptProperty","True","True","Unit of Temperature"
"Anatomic Site","BiomedicalConceptProperty_9","string","4c5b78f2-5cfc-43f3-a3f3-c654f7718853","BiomedicalConceptProperty","True","True","Anatomic Site"
"Laboratory Test Result","BiomedicalConceptProperty_10","decimal","1d5541c1-4c96-4b84-972a-2b383038502a","BiomedicalConceptProperty","True","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_11","boolean","23866c98-a063-4443-922c-dd7242ef480c","BiomedicalConceptProperty","True","True","Laboratory Test Fasting Status"
"Biospecimen Type","BiomedicalConceptProperty_12","string","33990849-f7e2-4584-a8c7-93a8670d4c6e","BiomedicalConceptProperty","True","True","Biospecimen Type"
"Laboratory Test Result","BiomedicalConceptProperty_13","decimal","6ead3e3e-cdf6-4abb-9e70-39ab8e190b4c","BiomedicalConceptProperty","True","True","Laboratory Test Result"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_14","boolean","4cdf8413-5499-4975-99e2-bb03e2db4c46","BiomedicalConceptProperty","True","True","Laboratory Test Fasting Status"
"Biospecimen Type","BiomedicalConceptProperty_15","string","0248756a-4c12-46b7-a540-9fa87b7efbaf","BiomedicalConceptProperty","True","True","Biospecimen Type"
