"name","id","uuid:ID","instanceType","text"
"ELEMENT_START_RULE_1","TransitionRule_1","ee02dcc5-d3ef-4dac-8fd4-650ceb3c148d","TransitionRule","Study Start"
"ELEMENT_END_RULE_1","TransitionRule_2","3d143977-ad9b-4e5f-8113-363b5881b30c","TransitionRule","Day -1 of treatment period 1"
"ELEMENT_START_RULE_2","TransitionRule_3","116d709a-a49c-493b-ac73-f9e5e2fdd574","TransitionRule","Day -1 of treatment period"
"ELEMENT_END_RULE_2","TransitionRule_4","5f54555f-671e-4bfe-834f-ff35c02ed8a0","TransitionRule","End of Day 1 of treatment period"
"ELEMENT_START_RULE_4","TransitionRule_7","11fa317c-8536-4bfa-9657-72be890ed855","TransitionRule","End of Day 1 of Treatment period 1"
"ELEMENT_END_RULE_4","TransitionRule_8","eddc6493-e512-483b-a86c-851a7cd3efe9","TransitionRule","Day -1 of treatment period 2"
"ELEMENT_START_RULE_3","TransitionRule_5","4bc4e8c6-d128-466f-9d0c-ed61328dbb64","TransitionRule","Day -1 of treatment period"
"ELEMENT_END_RULE_3","TransitionRule_6","f595a8f0-48c1-4bbc-bda4-89c86b5127ad","TransitionRule","End of Day 1 of treatment period"
"ELEMENT_START_RULE_5","TransitionRule_9","b94113f1-662a-4e9e-a04b-baf1cb378882","TransitionRule","End of Day 1 of Treatment period 2"
"ELEMENT_END_RULE_5","TransitionRule_10","d9914af3-72e1-4f11-9e6b-3a8f6674ea74","TransitionRule","Leave Study"
