"value","name","id","windowUpper","window","uuid:ID","instanceType","windowLower","description","label"
"P28D","TIMING_1","Timing_1","P26D","0..26 Days","677896b3-c31a-42d4-8f08-169fecec4495","Timing","P0D","Screening visit timing","-28 Days"
"P1D","TIMING_2","Timing_2","","","ae4f8233-a9ea-41d1-a2ec-d6cea4cc4491","Timing","","Period 1, Day Minus 1 timing","-1 Day"
"PT0M","TIMING_3","Timing_3","","","0fce59c5-83ee-4ac2-9b3a-491e8cc3cbe7","Timing","","Period 1, Radomisation timing","Radomisation"
"PT0M","TIMING_4","Timing_4","","","35fc223a-f1fc-4b98-a69f-b177de9de092","Timing","","Period 1, Pre infusion timing","Pre infusion"
"PT0M","TIMING_5","Timing_5","","","00ff8307-c2b1-43f1-8de8-975ddb59634c","Timing","","Period 1, Infusion timing","Infusion"
"P1D","TIMING_6","Timing_6","","","c9f39805-1e6e-486d-bdcf-942ca95cdd75","Timing","","Period 1, Treatment anchor","Day 1"
"PT0M","TIMING_7","Timing_7","","","f5b7b1f0-8e02-4fef-a372-56e11366f6c3","Timing","","Period 1, Discharge timing","Discharge"
"P3D","TIMING_8","Timing_8","P11D","0.. 11 Days","819f2768-d9bb-4544-8ea7-8b1e6f869bfe","Timing","P0D","Washout timing","Washout"
"P0D","TIMING_9","Timing_9","","","d932aa95-54dd-472f-a243-dd4af7e2a799","Timing","","Period 2, Day Minus 1 timing","-1 Day"
"P1D","TIMING_10","Timing_10","","","8467a1e3-2136-4853-ae80-946791ec6e82","Timing","","Period 2, Pre infusion timing","Pre infusion"
"PT0M","TIMING_11","Timing_11","","","09abf7e7-fa40-4e34-b173-9dd90f1090f6","Timing","","Period 2, Infusion timing","Infusion"
"PT0M","TIMING_12","Timing_12","","","ba04b51f-4708-4be2-82d7-41ee08b487b1","Timing","","Period 2, Treatment anchor","Day 1"
"PT0M","TIMING_13","Timing_13","","","98c53ac2-0f33-42de-ad46-4d9f0facdf03","Timing","","Period 2, Discharge timing","Discharge"
"P28D","TIMING_14","Timing_14","P2D","2..2 Days","c79abbd4-9395-4761-a6b7-7c5b387d6396","Timing","P2D","Follow Up timing","Follow up"
"P1D","TIMING_15","Timing_15","","","604ec49a-c942-45eb-b8ab-d9d9a60b8146","Timing","","Additional Follow Up timing","Additional Follow Up"
"PT0M","TIMING_31","Timing_31","","","7f49fa21-9448-446e-bc39-dc905c16660d","Timing","","Pre Hypoglycemia Induction timing","Pre Hypoglycemia Induction"
"PT30M","TIMING_32","Timing_32","","","3a6bc9af-d8da-404d-b9c9-dc31e91ef43b","Timing","","30 min before timing","30 min before"
"PT15M","TIMING_33","Timing_33","","","2f345ac6-0574-4f91-844e-3fde0fde3d54","Timing","","15 min before timing","15 min before"
"PT0M","TIMING_34","Timing_34","","","f0daf201-fd2e-430b-9fd1-eb29111b090a","Timing","","Hypoglycemia Induction timing","Hypoglycemia Induction"
"PT0M","TIMING_36","Timing_35","","","7c4934eb-61cd-43e2-8cb2-49d5415f37ff","Timing","","Hypoglycemia Induction complete timing","Hypoglycemia Induction finished"
"PT0M","TIMING_16","Timing_16","","","a9aa61d1-bfb1-486f-b987-428adfe9909a","Timing","","Pre Dose timing","Pre Dose"
"PT0M","TIMING_17","Timing_17","","","a98aa0d3-60b9-4787-a53d-2cd4b28a34fd","Timing","","Dose Timing","Dose"
"PT5M","TIMING_18","Timing_18","","","86116190-c807-4c57-8243-e0144e4f0a47","Timing","","5 min","5 min"
"PT10M","TIMING_19","Timing_19","","","a49bfbca-b647-469e-855d-8b69126f427e","Timing","","10 min","10 min"
"PT15M","TIMING_20","Timing_20","","","664b83b1-a2d8-482f-b161-54416bde5d7f","Timing","","15 min","15 min"
"PT20M","TIMING_21","Timing_21","","","50103a3e-52b2-4a1f-87c5-d1178a3c3fc3","Timing","","20 min","20 min"
"PT25M","TIMING_22","Timing_22","","","6ca47800-6a16-4ee2-85c8-301ac7a84897","Timing","","25 min","25 min"
"PT30M","TIMING_23","Timing_23","","","703b56e3-81df-4816-9f41-a67659cfd7dd","Timing","","30 min","30 min"
"PT40M","TIMING_24","Timing_24","","","d4dc8ef2-7f92-4753-8925-f6d9dda827ce","Timing","","40 min","40 min"
"PT50M","TIMING_25","Timing_25","","","d81a3b7a-9298-4706-a0b8-c98267b3a040","Timing","","50min","50min"
"PT60M","TIMING_26","Timing_26","","","fbb1dc95-d893-43fc-87e1-6f025033c3db","Timing","","60min","60min"
"PT90M","TIMING_27","Timing_27","","","72b42bba-a3ca-42a4-ba5d-021b0e9f81e8","Timing","","90 min","90 min"
"PT120M","TIMING_28","Timing_28","","","853ae4eb-a40b-4c3a-a6c0-7218523801b5","Timing","","120 min","120 min"
"PT240M","TIMING_29","Timing_29","","","ac911e2b-6e65-412e-adf2-69ff7f8d3bc9","Timing","","240 min","240 min"
"PT0M","TIMING_30","Timing_30","","","334c0f82-a19c-4ea9-8d73-e3fa38c6832b","Timing","","Meal Timing","Meal"
