"uuid:ID","id","isRequired","label","isEnabled","instanceType","name","datatype"
"04ec7929-5bce-40a6-b5ee-3f63cc362567","BiomedicalConceptProperty_89","True","Sex","True","BiomedicalConceptProperty","Sex","string"
"7caf027f-cc4f-4749-b95d-609d6ff09248","BiomedicalConceptProperty_90","True","Race","True","BiomedicalConceptProperty","Race","string"
"3e45d7c7-bca6-4e60-8028-1778ddb0ea91","BiomedicalConceptProperty_91","True","Clinical Test Result","True","BiomedicalConceptProperty","Clinical Test Result","decimal"
"53297610-2a22-4013-9084-872f198b625a","BiomedicalConceptProperty_92","True","Unit of Temperature","True","BiomedicalConceptProperty","Unit of Temperature","string"
"269d5f5e-860b-4fbc-a972-6427b9251fe0","BiomedicalConceptProperty_93","True","Anatomic Site","True","BiomedicalConceptProperty","Anatomic Site","string"
"7291e8e4-3710-43ef-b98d-529180f5587d","BiomedicalConceptProperty_94","True","Clinical Test Result","True","BiomedicalConceptProperty","Clinical Test Result","decimal"
"72d24793-25f4-4916-8fa2-33df3b5445de","BiomedicalConceptProperty_95","True","Unit of Weight","True","BiomedicalConceptProperty","Unit of Weight","string"
"a72c44aa-b4a8-4688-82d0-cf74e424a83c","BiomedicalConceptProperty_96","True","Clinical Test Result","True","BiomedicalConceptProperty","Clinical Test Result","decimal"
"79df7912-153b-4a4c-8ba4-87a26ec31163","BiomedicalConceptProperty_97","True","Unit of Height","True","BiomedicalConceptProperty","Unit of Height","string"
"656ad481-620f-4fa6-8d01-63b17e6d19bc","BiomedicalConceptProperty_98","True","Laboratory Test Result","True","BiomedicalConceptProperty","Laboratory Test Result","decimal"
"1d9e2237-01db-48b8-a61c-4f202bfb7e6b","BiomedicalConceptProperty_99","True","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean"
"3b91fe51-ffdf-4b61-b098-5bba8561f876","BiomedicalConceptProperty_100","True","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string"
"c0db1f3d-0b38-4451-8f37-08dff268b247","BiomedicalConceptProperty_101","True","Biospecimen Type","True","BiomedicalConceptProperty","Biospecimen Type","string"
"84fcebee-ee0b-41d2-b303-26843596c928","BiomedicalConceptProperty_102","True","Laboratory Test Result","True","BiomedicalConceptProperty","Laboratory Test Result","string"
"91904a5e-7e82-46da-855a-96b3a8bd6fad","BiomedicalConceptProperty_103","True","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean"
"106953aa-0f09-42be-a90f-7faa9982503b","BiomedicalConceptProperty_104","True","Unit of Concentration","True","BiomedicalConceptProperty","Unit of Concentration","string"
"9bb9e61d-c373-4baf-9d65-0f0f39bd91af","BiomedicalConceptProperty_105","True","Biospecimen Type","True","BiomedicalConceptProperty","Biospecimen Type","string"
"b6b8167d-f84a-4b2a-9755-15d980910dcb","BiomedicalConceptProperty_106","True","Laboratory Test Result","True","BiomedicalConceptProperty","Laboratory Test Result","decimal"
"dadee385-b87d-4b02-97fd-52eb0f0da905","BiomedicalConceptProperty_107","True","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean"
