"uuid:ID","id","instanceType","label","name","description"
"fe0fc8b4-ceec-46b2-ab2e-7a0729ed54b4","Activity_1","Activity","Informed consent","Informed consent",""
"958434d3-54d3-48e3-9d35-284e65d5286d","Activity_2","Activity","Inclusion and exclusion criteria","Inclusion/exclusion criteria",""
"809a479f-16ae-4451-b86b-449439a29795","Activity_3","Activity","Patient number assigned","Patient number assigned",""
"c0605e2c-e8d7-466b-9814-e44c3baa30bb","Activity_4","Activity","Demographics","Demographics",""
"0f2ca86f-52ef-4fbd-9cab-82bf7a02e34c","Activity_5","Activity","Hachinski Ischemic Scale","Hachinski",""
"af5fb68a-112f-4d6d-a5ee-cc98186a154f","Activity_6","Activity","MMSE","MMSE",""
"351be9db-ae7c-4622-a474-98d29d5b4b8c","Activity_7","Activity","Physical examination","Physical examination",""
"752b03aa-c172-4335-8d92-070c4fb46b6e","Activity_8","Activity","Medical history","Medical history",""
"e713c6b0-d4ea-45ed-92fd-dd02b152ed4f","Activity_9","Activity","Habits","Habits",""
"154f8402-edef-4748-8d9e-9caaf9f52949","Activity_10","Activity","Chest X-ray","Chest X-ray",""
"af3c7627-37b6-4114-8b14-7831a4b1a645","Activity_11","Activity","Apo E genotyping","Apo E genotyping",""
"1f006df5-dbea-45f8-a781-29f8e64f5c9e","Activity_12","Activity","Patient randomised","Patient randomised",""
"064f80ab-6fa9-4592-903a-9b3fe9dc9a26","Activity_13","Activity","Vital Signs and Temperature","Vital signs / Temperature",""
"b07cba4b-eef3-48b5-b22f-b46d8a73b564","Activity_14","Activity","Ambulatory ECG placed","Ambulatory ECG placed",""
"4eb1dd34-fb7b-457c-89e2-76c780e87309","Activity_15","Activity","Ambulatory ECG removed","Ambulatory ECG removed",""
"b9903a9b-1c66-4b5c-9608-bfc1486108db","Activity_16","Activity","ECG","ECG",""
"69f77e26-4492-4dab-b5c9-4479589f4088","Activity_17","Activity","Placebo TTS test","Placebo TTS test",""
"e32290aa-5321-409c-8db3-f98ccf978cbe","Activity_18","Activity","CT scan","CT scan",""
"2a3edb9d-366e-4367-929a-1ae04193e485","Activity_19","Activity","Concomitant medications","Concomitant medications",""
"1220b591-19a0-4ec0-bae1-b8c649e5f906","Activity_20","Activity","Hematology","Hematology",""
"4484e41c-1f94-45f9-822f-d9cb980832ad","Activity_21","Activity","Chemistry","Chemistry",""
"54d4c9da-0459-4c90-a027-3529a8119584","Activity_22","Activity","Uninalysis","Uninalysis",""
"7f5ef473-29ea-4e70-89d8-342b50ab04a4","Activity_23","Activity","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)",""
"10c0e819-a232-4323-a99a-610c44e5ba49","Activity_24","Activity","Hemoglobin A1C","Hemoglobin A1C",""
"2d9f6a47-291a-4826-9adb-32aa4de15382","Activity_25","Activity","Study drug record , Medications dispensed, Medications returned","Study drug",""
"616e9f9b-0767-443a-93b0-b6376e87453b","Activity_26","Activity","TTS Acceptability Survey","TTS Acceptability Survey",""
"03272b29-0314-4648-ae2a-1b42a0513afc","Activity_27","Activity","ADAS-Cog","ADAS-Cog",""
"bbf7571e-8d08-4ff6-869b-aa16efb7422c","Activity_28","Activity","CIBIC+","CIBIC+",""
"a06218ec-04e7-4306-9b1e-b11875dcf91b","Activity_29","Activity","DAD","DAD",""
"6f25ca06-2ec9-4db1-82fe-b128dd2842dc","Activity_30","Activity","NPI-X","NPI-X",""
"df6472fd-9ca2-4546-a81d-87ecc87e5c7d","Activity_31","Activity","Adverse events","Adverse events",""
"4d123293-f28c-44a8-a745-12a7833b8e2c","Activity_32","Activity","Check adverse events","Check adverse events",""
"0678b518-2db6-4e49-8919-dc742d2c1118","Activity_33","Activity","Subject supine","Supine",""
"dc753ba1-2629-4ecd-bb67-edb2b7264ad4","Activity_34","Activity","Vital signs while supine","Vital Signs Supine",""
"e108bf80-b543-45db-84f6-3a2211d73b10","Activity_35","Activity","Subject Standing","Stand",""
"ce0901f8-bd22-472a-8596-4c28820cb577","Activity_36","Activity","Vital signs while standing","Vital Signs Standing",""
