"windowLower","value","uuid:ID","id","window","label","instanceType","name","windowUpper","description"
"","P2W","c475a489-4eeb-4896-add1-8cbe4d2d1cac","Timing_1","","Screening","Timing","TIM1","","Screening timing"
"PT4H","P2D","d37fba6c-befb-45ca-8a65-7561ba10c981","Timing_2","-4..0 hours","Pre dose","Timing","TIM2","PT0H","Pre dose timing"
"","P1D","9c821214-ef0d-4892-9166-4b21325059b1","Timing_3","","Dosing","Timing","TIM3","","Dosing anchor"
"P3D","P2W","5fd63059-bdf4-4081-b658-1b31deb76eab","Timing_4","-3..3 days","Week 2","Timing","TIM4","P3D","Week 2 timing"
"P3D","P4W","85dc2212-c47a-4663-8e0f-87653874233c","Timing_5","-3..3 days","Week 4","Timing","TIM5","P3D","Week 4 timing"
"P3D","P6W","36135ac1-0d0b-4d85-a63d-28e2e4e4858b","Timing_6","-3..3 days","Week 6","Timing","TIM6","P3D","Week 6 timing"
"P3D","P8W","e5565d8c-8da8-4af3-b736-21e9a5758a68","Timing_7","-3..3 days","Week 8","Timing","TIM7","P3D","Week 8 timing"
"P4D","P12W","ae8fe0e5-e851-4386-8c0a-506e51330077","Timing_9","-4..4 days","Week 12","Timing","TIM9","P4D","Week 12 timing"
"P4D","P16W","32441fb9-b0bd-4294-8a85-5afd93ecb67a","Timing_11","-4..4 days","Week 16","Timing","TIM11","P4D","Week 16 timing"
"P4D","P20W","e53721c6-562c-4c74-a820-7a8ed5f3c435","Timing_13","-4..4 days","Week 20","Timing","TIM13","P4D","Week 20 timing"
"P4D","P24W","5acd7ec3-e8e7-4d96-8c5e-369164d28bcc","Timing_15","-4..4 days","Week 24","Timing","TIM15","P4D","Week 24 timing"
"P3D","P26W","b1922534-f889-4584-9e46-53fe8d41a927","Timing_16","-3..3 days","Week 26","Timing","TIM16","P3D","Week 26 timing"
"","P2W","ffc77871-eefa-4595-93ee-6fa890c84bf4","Timing_8","","Week 8 Home","Timing","TIM8","","Week 8 at home timing"
"","P2W","c8288b44-76c2-4f14-a011-a51bbd3d3a35","Timing_10","","Week 12 Home","Timing","TIM10","","Week 12 at home timing"
"","P2W","45476245-69dd-44e7-8a53-418ef2d2cf7d","Timing_12","","Week 16 Home","Timing","TIM12","","Week 16 at home timing"
"","P2W","233620c9-1a4e-4bd5-a184-c9c6dfb85e5c","Timing_14","","Week 20 Home","Timing","TIM14","","Week 20 at home timing"
"","P1D","dfd92866-5c68-4154-afbf-b726ee401d5b","Timing_17","","Adverse Event","Timing","TIM17","","Adverse Event"
"","P1D","9a28a395-12b6-44af-bdf6-c00cc56eea93","Timing_18","","Early Termination","Timing","TIM18","","Early Termination"
"","PT0M","c9cebb89-a29d-4631-b6a7-c916f86be0cf","Timing_19","","Supine","Timing","TIM19","","Supine"
"","PT5M","eef43b2e-eee6-4cdc-b95c-cadca7d3bfa4","Timing_20","","VS while supine","Timing","TIM20","","VS while supine"
"","PT0M","fe9d6ba5-e50c-4ae0-ad37-865c92d56abe","Timing_21","","Standing","Timing","TIM21","","Standing"
"","PT1M","449b8fea-3427-48e5-9a0b-696a24e88510","Timing_22","","VS while standing","Timing","TIM22","","VS while standing"
"","PT0M","f587c0f1-662c-4132-9ebc-66caae4971dd","Timing_23","","Standing","Timing","TIM23","","Standing"
"","PT2M","5892be58-6ad4-4489-ab24-1864cf136d6c","Timing_24","","VS while standing","Timing","TIM24","","VS while standing"
