"uuid:ID","id","instanceType","label","synonyms","name","reference"
"a3841799-250c-4903-81df-c17c64d95c98","BiomedicalConcept_20","BiomedicalConcept","Sex","","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"c1f2acc8-11c0-472b-82f5-0898f5406527","BiomedicalConcept_21","BiomedicalConcept","Race","['Racial Group']","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"88dafcc4-2000-49a2-b7b1-83f04bf8787d","BiomedicalConcept_22","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"970be709-9e3a-4c0c-b6c7-98a9ed3a1ed4","BiomedicalConcept_23","BiomedicalConcept","Body Weight","['Weight']","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"98707faa-9275-4070-9ca9-a7ad745f6b00","BiomedicalConcept_24","BiomedicalConcept","Body Height","['Height']","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"95c0e34d-8078-413c-b360-71bdf40a9fef","BiomedicalConcept_25","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"176512c2-9b7a-4edb-b7af-770b4576be63","BiomedicalConcept_26","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"161c7fc4-d410-431c-a12a-2c0df169c913","BiomedicalConcept_27","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"22455869-5361-4563-b46d-01372eb828ad","BiomedicalConcept_28","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"c4ceb26c-0678-45ad-8aad-8188e758ff20","BiomedicalConcept_29","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"3382fec4-e3ab-46b4-84c6-2dbe84ed1738","BiomedicalConcept_30","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"d1adde60-718e-43c3-a24e-56a83f57a382","BiomedicalConcept_31","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"d71c3fa4-ff58-4410-81ea-10057a923360","BiomedicalConcept_1","BiomedicalConcept","Adverse Event","","Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331"
"174ae906-6ae4-47fe-8cec-4f2eeb984562","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"67a77cfc-3d5f-4a24-a10d-4ad898fb1cd0","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"eff7f1e5-bd59-480e-b544-6607e32653a4","BiomedicalConcept_4","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446"
"8ed271f3-d09f-4114-95b3-4a31fe4ef755","BiomedicalConcept_5","BiomedicalConcept","Body Weight","['Weight']","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328"
"9c04dfbb-3e3e-4afb-8d6a-c0f2ccbbfa7f","BiomedicalConcept_6","BiomedicalConcept","Body Height","['Height']","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634"
"f49c9bd5-06f9-4a36-b2ca-b01580798ddc","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"84656c1c-9fc6-49d7-8c63-8f1ad0bc9706","BiomedicalConcept_8","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"76f36069-8173-4ec7-a761-00c58571a7b1","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"a4015611-e2d7-4657-84c2-c5b70d1c028b","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"9688ef8f-9d46-4633-9386-aa24269b4abf","BiomedicalConcept_11","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"060ce558-8584-4e14-b13c-e4a77c367719","BiomedicalConcept_12","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"2bfed0a7-8826-4e5e-98aa-bdcf9d4e7293","BiomedicalConcept_13","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"26090214-9524-456e-b5e7-b56e56e213ae","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"958d0721-1323-455d-adb8-f45ddf9c09f5","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"2c4d0c5f-be09-47fc-8665-a5160d328c1c","BiomedicalConcept_16","BiomedicalConcept","Heart Rate","","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677"
"80194e9c-807e-4957-9182-625dc36a217e","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298"
"83bfbfc5-25be-481b-b0d4-5b98ffeb7437","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299"
"239e44f9-9550-4288-b1d6-d55396692d32","BiomedicalConcept_19","BiomedicalConcept","Heart Rate","","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677"
