"uuid:ID","id","instanceType","label","name","description"
"5645c2a3-88f3-48fb-a4c5-6771ba364ea8","Encounter_1","Encounter","Screening 1","E1","Screening encounter"
"e111a0e8-f805-4e7f-9f6d-965e5148de6f","Encounter_2","Encounter","Screening 2","E2","Screening encounter - Ambulatory ECG Placement"
"15cac779-3ed3-4fc1-ad62-6af9d56733a4","Encounter_3","Encounter","Baseline","E3","Baseline encounter - Ambulatory ECG Removal"
"7bdf49cb-e0f0-4b31-8dd2-96f86f54aca0","Encounter_4","Encounter","Week 2","E4","Day 14"
"e983c2e9-d515-4103-afec-7271f8b4e164","Encounter_5","Encounter","Week 4","E5","Day 28"
"a66d9920-7f42-4a2d-9184-907c841d0e8f","Encounter_6","Encounter","Week 6","E7","Day 42"
"dc2f27ef-2153-4e8e-b7e5-0d7edc8069c9","Encounter_7","Encounter","Week 8","E8","Day 56"
"1dc21e70-e3c0-4a4d-9887-8963092e7947","Encounter_8","Encounter","Week 12","E9","Day 84"
"2c3a6fd5-c0cb-4d64-8545-59b08df3131d","Encounter_9","Encounter","Week 16","E10","Day 112"
"8b8ba2a1-4b40-4f50-8c24-2a0c63386b71","Encounter_10","Encounter","Week 20","E11","Day 140"
"f57d02e9-f9e3-4d53-8271-5d985c50fcba","Encounter_11","Encounter","Week 24","E12","Day 168"
"7cc0bd30-8aa2-44c6-ab4a-bcbde80d8d70","Encounter_12","Encounter","Week 26","E13","Day 182"
