"uuid:ID","id","label","instanceType","text","name","description","purpose"
"1b71d68d-86df-4613-acfd-8b9989505aae","Endpoint_1","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","",""
"6665b139-ce06-434e-a56d-5d07fe3840c8","Endpoint_2","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","",""
"cf85a5d4-1655-4a62-adea-deb85069f8f9","Endpoint_3","","Endpoint","Adverse events","END3","",""
"c9b549d4-9d9e-47f4-8c42-8de43748a239","Endpoint_4","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","",""
"6f6564fd-0899-41e8-98ad-c7abacf17285","Endpoint_5","","Endpoint","Laboratory evaluations (Change from Baseline)","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",""
"cc819763-a0f0-49a8-b92a-422862854f03","Endpoint_6","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","",""
"52704e04-1bd2-4a79-91ae-74e31aa4c0ae","Endpoint_7","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","",""
"491149f9-087d-4f94-b666-ad82410a64a6","Endpoint_8","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","",""
"24fb63c4-22c4-4073-be9a-f7d6e3f7197c","Endpoint_9","","Endpoint","*** To be determined from protocol ***","END9","",""
"4674a668-ea85-4db4-9d54-2ea6bf8c2d3a","Endpoint_10","","Endpoint","*** To be determined from protocol ***","END10","",""
"eb39f5b8-0ad5-4c68-ba1f-54d897549f22","Endpoint_11","","Endpoint","*** To be determined from protocol ***","END11","",""
