"decode","uuid:ID","id","instanceType","codeSystemVersion","code","codeSystem"
"Interventional Study","6e2df9ce-bc87-4b74-a224-94e35dd26125","Code_1","Code","2023-09-29","C98388","http://www.cdisc.org"
"Phase II Trial","5e4a4a37-31e6-44de-9b22-c5bf3850df54","Code_2","Code","2023-09-29","C15601","http://www.cdisc.org"
"Sponsor Approval Date","4e034d1c-293a-4300-8997-d5cbcde15fc8","Code_9","Code","2023-09-29","C132352","http://www.cdisc.org"
"Global","7f989807-ac4c-4b06-90eb-b3d844ae8130","Code_10","Code","2023-09-29","C68846","http://www.cdisc.org"
"IRB/IEC Feedback","3c7a3205-797f-48bc-ae97-32b406581f11","Code_72","Code","2023-09-29","C99904x3","http://www.cdisc.org"
"Other","59be10ff-4a5b-4dc0-b399-084795d71c65","Code_73","Code","2023-09-29","C17649","http://www.cdisc.org"
"Region","4f774206-25f2-41f4-93d7-8da0ad02a8ab","Code_75","Code","2023-09-29","C41129","http://www.cdisc.org"
"Europe","f86e0661-e678-4671-8d87-85bbcbcb986b","Code_74","Code","2020-08","150","ISO 3166 1 alpha3"
"Eli Lilly","fdd71a8a-e2c8-416f-8810-f439ac1bd15d","Code_4","Code","12","PHARMA","SPONSOR"
"Clinical Study Sponsor","2b3e4e0c-f50e-4afb-9531-05f7301f9f34","Code_76","Code","2023-09-29","C70793","http://www.cdisc.org"
"United States of America","96c8f325-1e39-4645-ac88-58a3631a6dfc","Code_77","Code","2020-08","USA","ISO 3166 1 alpha3"
"Study Registry","ccef60ee-6474-43d7-9607-f7c02271dcb1","Code_78","Code","2023-09-29","C93453","http://www.cdisc.org"
"United States of America","150ff4f3-ae98-4951-8e54-7553042ddd57","Code_79","Code","2020-08","USA","ISO 3166 1 alpha3"
"Treatment Study","16f183ea-b30e-4fa3-a230-1c0d951fa7b1","Code_137","Code","2023-09-29","C49656","http://www.cdisc.org"
"Efficacy Study","38a580be-9d61-4f87-b58c-c03633900794","Code_138","Code","2023-09-29","C49666","http://www.cdisc.org"
"Safety Study","b143d60a-f762-4a38-bf5b-aee8a5f42ed4","Code_139","Code","2023-09-29","C49667","http://www.cdisc.org"
"Pharmacokinetic Study","a1364a04-1b82-4660-85b1-6e4538d5f3e9","Code_140","Code","2023-09-29","C49663","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","899856c5-a456-4b05-b5ce-722bab697f58","Code_134","Code","12","MILD_MOD_ALZ","SPONSOR"
"Alzheimer's disease","997e8e2e-c4ea-42be-ac9e-a65ab6d0248a","Code_135","Code","January 31, 2018","26929004","SNOMED"
"EXTENSION","090bc899-e70e-4255-93fe-596b394e1096","Code_143","Code","2023-09-29","C99907x1","http://www.cdisc.org"
"ADAPTIVE","1405ed0e-ac68-4307-b98a-95fc5bf78c46","Code_144","Code","2023-09-29","C98704","http://www.cdisc.org"
"Parallel Study","b28e0163-c045-468e-a9ba-b02222109407","Code_141","Code","2023-09-29","C82639","http://www.cdisc.org"
"Visit","3b231a93-16bd-44b2-a40a-d22d7e0e997f","Code_83","Code","2023-09-29","C25716","http://www.cdisc.org"
