"uuid:ID","id","instanceType","text","name"
"e6505221-0931-4555-91cd-798c66f7737c","TransitionRule_1","TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1"
"649032c9-e069-4f8d-9a0d-5f8aecbe058f","TransitionRule_2","TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1"
"64d85bea-e940-4008-ae3a-0b1046653533","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"225f1986-04c7-4eca-8316-7757d4acc935","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"ded79e3a-29e3-4d99-a60b-31fe3839bf39","TransitionRule_5","TransitionRule","Radomized","ENCOUNTER_START_RULE_3"
"cc39ba0f-8fea-4b3f-bdbf-2bf42607ed98","TransitionRule_6","TransitionRule","End of treatment","ENCOUNTER_START_RULE_12"
"5c330113-0547-42b4-bf2c-0ace5a926baa","TransitionRule_7","TransitionRule","Informed consent","ELEMENT_START_RULE_1"
"430b90bc-013f-4c3b-a1c4-2eb6a58015e1","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"0c922247-0a47-4656-8942-1f10cba04611","TransitionRule_9","TransitionRule","Administration of first dose","ELEMENT_START_RULE_2"
"d8816368-fb2e-41ee-a3f4-83f3fac64e46","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"85be0983-17ee-4fd1-804a-f6ac3622f4f7","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"0f2570be-84a3-49c2-8fae-c505068e6b39","TransitionRule_10","TransitionRule","Administration of first dose","ELEMENT_START_RULE_3"
"f3d04e5a-9d14-4917-a82a-7ecf2a8e6626","TransitionRule_11","TransitionRule","Randomized","ELEMENT_START_RULE_4"
"0eeef39a-9113-47c6-baf4-c546ca31915d","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"7c202d22-1762-4d42-9a89-c2bd7b259ec9","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
