"uuid:ID","label","purpose","text","description","instanceType","name","id"
"64935bbe-d099-4180-bffd-d4fe96d25210","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","END1","Endpoint_1"
"1b56358e-ab07-40c3-a5a8-0b7097b3ee13","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","END2","Endpoint_2"
"f94332c2-e48b-430b-8b43-536e4a3dc26b","","","Adverse events","","Endpoint","END3","Endpoint_3"
"16b32758-3063-4ca5-8f20-bdb4ba614e5a","","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","END4","Endpoint_4"
"d7c936d5-0e10-4f30-a2c6-25ff99590966","","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","Endpoint_5"
"c03c4d04-e463-447b-be64-f710a9ab2614","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","END6","Endpoint_6"
"f61d9df9-55d4-4e97-8c24-395a60ba8667","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","END7","Endpoint_7"
"85d93591-d20e-4e3c-996f-0c3ad607daae","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","END8","Endpoint_8"
"623427cc-3811-4093-8f80-77fd95150932","","","*** To be determined from protocol ***","","Endpoint","END9","Endpoint_9"
"473e7d50-b1fd-49c4-b555-203e702dbe99","","","*** To be determined from protocol ***","","Endpoint","END10","Endpoint_10"
"34628511-3849-4f37-849a-2193e32f39b7","","","*** To be determined from protocol ***","","Endpoint","END11","Endpoint_11"
