"uuid:ID","label","window","windowLower","value","description","instanceType","windowUpper","name","id"
"47394585-c2bb-4acf-8859-df768b156a73","Screening","","","P2W","Screening timing","Timing","","TIM1","Timing_1"
"65917fba-6306-4fa4-afad-b1ef923352c5","Pre dose","-4..0 hours","PT4H","P2D","Pre dose timing","Timing","PT0H","TIM2","Timing_2"
"4c2da1de-1e25-4777-89b4-ce5d0da3a34b","Dosing","","","P1D","Dosing anchor","Timing","","TIM3","Timing_3"
"32d4e61b-edba-4005-9cee-19565dbe4ad4","Week 2","-3..3 days","P3D","P2W","Week 2 timing","Timing","P3D","TIM4","Timing_4"
"5a6dfe17-2bdd-483a-876c-9343ed3b9fc5","Week 4","-3..3 days","P3D","P4W","Week 4 timing","Timing","P3D","TIM5","Timing_5"
"3f4890d8-c20d-47fc-b088-a7620b962805","Week 6","-3..3 days","P3D","P6W","Week 6 timing","Timing","P3D","TIM6","Timing_6"
"073e7f12-de9e-46af-863c-6f1ee93c8d34","Week 8","-3..3 days","P3D","P8W","Week 8 timing","Timing","P3D","TIM7","Timing_7"
"41768c01-a70e-4263-b1a3-fd11cdf90abb","Week 12","-4..4 days","P4D","P12W","Week 12 timing","Timing","P4D","TIM9","Timing_9"
"29dbcd65-8520-4c1b-b670-0d14a259eed4","Week 16","-4..4 days","P4D","P16W","Week 16 timing","Timing","P4D","TIM11","Timing_11"
"58c8cf30-c6e9-4190-a4b5-97e633f7b2cf","Week 20","-4..4 days","P4D","P20W","Week 20 timing","Timing","P4D","TIM13","Timing_13"
"63198bed-6d8b-478e-bb4c-024ca69e27c7","Week 24","-4..4 days","P4D","P24W","Week 24 timing","Timing","P4D","TIM15","Timing_15"
"1348e532-6525-4ea2-99fd-693f9d437a60","Week 26","-3..3 days","P3D","P26W","Week 26 timing","Timing","P3D","TIM16","Timing_16"
"c0d345d5-b12e-4e01-89fc-60830447dde1","Week 8 Home","","","P2W","Week 8 at home timing","Timing","","TIM8","Timing_8"
"857420ec-7c22-4f4d-94cb-2ef40264579c","Week 12 Home","","","P2W","Week 12 at home timing","Timing","","TIM10","Timing_10"
"c63e7d4a-1aee-483a-b79b-d3db8e834ad0","Week 16 Home","","","P2W","Week 16 at home timing","Timing","","TIM12","Timing_12"
"063f382c-f8e8-43df-8100-1cc76c7a0ebd","Week 20 Home","","","P2W","Week 20 at home timing","Timing","","TIM14","Timing_14"
"2cbd265d-74a9-4bfc-ba6e-13ffcbcc1a7e","Adverse Event","","","P1D","Adverse Event","Timing","","TIM17","Timing_17"
"6ca4fe17-b9ca-4605-b94a-efc8350f4e1e","Early Termination","","","P1D","Early Termination","Timing","","TIM18","Timing_18"
"ce48c56b-e658-4177-9f57-2fd2c588028f","Supine","","","PT0M","Supine","Timing","","TIM19","Timing_19"
"13960416-4ef8-4731-8608-28c9600205a1","VS while supine","","","PT5M","VS while supine","Timing","","TIM20","Timing_20"
"45d3c07a-60e5-493c-8d8e-8f6b5555326b","Standing","","","PT0M","Standing","Timing","","TIM21","Timing_21"
"a56a9113-f15f-417d-b549-a898105a6e08","VS while standing","","","PT1M","VS while standing","Timing","","TIM22","Timing_22"
"2bbf4028-545a-4e4d-86aa-19dd2ab86662","Standing","","","PT0M","Standing","Timing","","TIM23","Timing_23"
"5aaad064-a3a9-4fe3-9b67-8c63b1262bea","VS while standing","","","PT2M","VS while standing","Timing","","TIM24","Timing_24"
