"uuid:ID","text","instanceType","name","id"
"acb0f10e-ed20-4780-bcd2-3fdb7f2f30e8","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"6716d237-3e40-4c4f-ba6d-3df33d2a4659","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"11d9d1d8-4ad7-4bd2-8f44-96dc8c02e003","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"5352a5e4-b3fc-40b3-9469-5eb8b27ac78f","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"871844f7-b1ea-40d5-9693-92d7cfa63540","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"c9221d3d-b29f-40c4-be95-633de4adca0c","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"f17c90c9-7539-475d-9df1-8c5595508fd5","Informed consent","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"cc81dfe7-514d-402f-aa1c-e7127e311028","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"c69a0e85-1234-4513-86d0-599d7b9d8e00","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"63211218-8eac-4f8b-8213-8c159451a4cd","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"07290fab-6ac8-4475-bad7-9032b0b95b65","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"8fbdd732-3a66-443d-b019-8d9c614ffc10","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"73457f8e-2825-4d4d-b5bb-b6c21a0008d0","Randomized","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"316533ed-2962-4f08-a9be-dbfaedfbe79f","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"9f5792b3-a054-4f31-8a91-510ae998454c","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
