"uuid:ID","label","description","instanceType","name","id"
"fe3f9c3d-a056-40c4-acdf-d4b680bfcc08","Screening 1","Screening encounter","Encounter","E1","Encounter_1"
"e6487706-94ff-46ab-a590-2c2162acb021","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Encounter_2"
"abe99b0f-097c-4751-9cfb-3ca247b9dd0a","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Encounter_3"
"a45d43ad-c7eb-40c6-a1a3-61b811a28dfa","Week 2","Day 14","Encounter","E4","Encounter_4"
"589617ef-65c8-458d-a924-49cba198eceb","Week 4","Day 28","Encounter","E5","Encounter_5"
"1a5a8abf-4c15-4c37-a63d-943eac25db85","Week 6","Day 42","Encounter","E7","Encounter_6"
"92c5fd9b-6ae8-43af-a341-3adff9b3b228","Week 8","Day 56","Encounter","E8","Encounter_7"
"16e5dbb4-562a-4946-8778-f749319970e1","Week 12","Day 84","Encounter","E9","Encounter_8"
"f092a6ba-d719-4e09-8928-8baeee9b340d","Week 16","Day 112","Encounter","E10","Encounter_9"
"465e84b9-c32f-46dc-83e9-6e9c3697b51b","Week 20","Day 140","Encounter","E11","Encounter_10"
"c3305cd6-263f-403a-b884-067a44c489c9","Week 24","Day 168","Encounter","E12","Encounter_11"
"7516c29f-0d8e-47b2-ae9d-5ed3dd3ad69d","Week 26","Day 182","Encounter","E13","Encounter_12"
