"uuid:ID","label","isRequired","isEnabled","datatype","instanceType","name","id"
"4ea34676-b683-45b2-89e1-86af21c6959f","Sex","True","True","string","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_89"
"476e4f03-1d50-408b-833a-6f7330818b83","Race","True","True","string","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_90"
"485ab0a4-d3e3-4536-9965-d71d6c150578","Clinical Test Result","True","True","decimal","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_91"
"10095d74-39e2-4d4c-99db-d68e79d648fa","Unit of Temperature","True","True","string","BiomedicalConceptProperty","Unit of Temperature","BiomedicalConceptProperty_92"
"3465f6f1-4225-4c39-bdb2-3208b4f96a2c","Anatomic Site","True","True","string","BiomedicalConceptProperty","Anatomic Site","BiomedicalConceptProperty_93"
"461d1d64-7aee-4d2f-957b-ae3eea22dfcb","Clinical Test Result","True","True","decimal","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_94"
"c7cbd12a-6d5b-4f34-9266-1a609398c8a5","Unit of Weight","True","True","string","BiomedicalConceptProperty","Unit of Weight","BiomedicalConceptProperty_95"
"b64ec98e-f333-4c27-8f98-38fdad332238","Clinical Test Result","True","True","decimal","BiomedicalConceptProperty","Clinical Test Result","BiomedicalConceptProperty_96"
"28f6c44a-fc4a-448a-90d6-3ff0ca9c987e","Unit of Height","True","True","string","BiomedicalConceptProperty","Unit of Height","BiomedicalConceptProperty_97"
"6a02e3f3-f3df-418b-9cd7-b75d16686425","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_98"
"8b9d1b37-3f5b-4dff-83f0-c487d154b7e1","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_99"
"b9ed3c75-f404-42ce-af44-66c9b313ea96","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_100"
"000cd278-daa4-4ac4-abc9-de599a699091","Biospecimen Type","True","True","string","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_101"
"92925376-6405-40f7-9e74-704fb3b77511","Laboratory Test Result","True","True","string","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_102"
"12324b50-a223-4326-8c92-5c27c74b820c","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_103"
"5e00b53e-4972-4bf2-ada8-e4c7f754d147","Unit of Concentration","True","True","string","BiomedicalConceptProperty","Unit of Concentration","BiomedicalConceptProperty_104"
"ed9855b0-a493-484c-a574-ecf74fa063f5","Biospecimen Type","True","True","string","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_105"
"e7829a50-105e-4776-8571-e2f9ddbe9820","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_106"
"9d816439-4d2f-40da-952b-d68a2db88676","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_107"
"03008fa4-aeac-4814-92c6-84241f0c6cc7","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_108"
"3e704b82-db6d-4810-b154-1da9379ff357","Biospecimen Type","True","True","string","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_109"
"01a048f2-02a3-4409-aa4d-108325665c6e","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_110"
"159c78f0-b9b2-4de1-8469-366033f771ec","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","BiomedicalConceptProperty_111"
"8a711525-477b-4600-a286-12a144a5b12e","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_112"
"9493a7aa-df73-474e-ad0a-c35e5e3dc390","Biospecimen Type","True","True","string","BiomedicalConceptProperty","Biospecimen Type","BiomedicalConceptProperty_113"
"fc4dceb3-0505-4cd9-adbe-6e258af41f66","Laboratory Test Result","True","True","string","BiomedicalConceptProperty","Laboratory Test Result","BiomedicalConceptProperty_114"
