"uuid:ID","label","instanceType","reference","name","id","synonyms"
"f2bfb7bf-06e9-45ca-9301-8bf781ba634e","Sex","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","BiomedicalConcept_20",""
"95718452-0773-4f91-83bc-d4c61e9744a9","Race","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","BiomedicalConcept_21","['Racial Group']"
"db7bef9e-1af7-4a9e-9229-3d9d402eb8ac","Body Temperature","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_22","['Temperature']"
"cc75308b-2201-48f0-b65d-c002aaba9956","Body Weight","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_23","['Weight']"
"8c053327-1d36-4e15-81c2-1fc9a346546d","Body Height","BiomedicalConcept","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_24","['Height']"
"eb23c29b-0416-4ba8-9bbf-353181342e3b","Alanine Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_25","['ALT', 'SGPT']"
"6fb9b1f8-5d54-4de4-be47-ac41ffe32668","Albumin Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_26","['Albumin']"
"53c3088c-7cf4-423f-8d4d-018682cf3954","Alkaline Phosphatase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_27","['Alkaline Phosphatase']"
"60d508a3-d43c-4fe0-bc17-fdcec4d838b6","Aspartate Aminotransferase Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_28","['AST', 'SGOT']"
"01358d91-d109-44cc-bd4d-772dcb71acaf","Creatinine Measurement","BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_29","['Creatinine']"
"404901a0-9407-4e79-a2a2-795a6d8ac91d","Potassium Measurement","BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_30","['Potassium', 'K']"
