"uuid:ID","isRequired","id","label","name","instanceType","datatype","isEnabled"
"33795742-1359-4de3-956a-9a56545345a8","True","BiomedicalConceptProperty_89","Sex","Sex","BiomedicalConceptProperty","string","True"
"8ed4ca8f-a336-4c69-a234-78810433fe16","True","BiomedicalConceptProperty_90","Race","Race","BiomedicalConceptProperty","string","True"
"7ec5742c-2dec-4841-96fa-dd6ca8f102c3","True","BiomedicalConceptProperty_91","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal","True"
"5605a795-850f-460e-a31a-99aa5292d6d4","True","BiomedicalConceptProperty_92","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty","string","True"
"cd40eda4-17c0-4d6e-b7da-3eb724dd031d","True","BiomedicalConceptProperty_93","Anatomic Site","Anatomic Site","BiomedicalConceptProperty","string","True"
"951a8027-9f20-4c1a-a8cd-81844bec69d0","True","BiomedicalConceptProperty_94","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal","True"
"312b7e99-3a13-4fd4-afa0-c81d85b78352","True","BiomedicalConceptProperty_95","Unit of Weight","Unit of Weight","BiomedicalConceptProperty","string","True"
"ca409600-653a-4352-ad48-a2a33136fed1","True","BiomedicalConceptProperty_96","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty","decimal","True"
"cf270dfe-2332-4c99-b0f5-1ed7822ea281","True","BiomedicalConceptProperty_97","Unit of Height","Unit of Height","BiomedicalConceptProperty","string","True"
"9c8d1edd-ccf3-45df-bf80-170fe57c40ad","True","BiomedicalConceptProperty_98","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal","True"
"63ddaeb7-e7fc-44a0-900c-d2f1a51a47e5","True","BiomedicalConceptProperty_99","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean","True"
"d7cb8785-74c9-45a2-b55c-cce6deb64fa3","True","BiomedicalConceptProperty_100","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string","True"
"30763546-3fa9-4fbf-8846-12d57eb41cf9","True","BiomedicalConceptProperty_101","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string","True"
"288775c9-ac86-4d10-9f18-af661b981112","True","BiomedicalConceptProperty_102","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","string","True"
"fab2ca72-d40a-46e2-b711-8bdc1d1438b3","True","BiomedicalConceptProperty_103","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean","True"
"70458821-4658-44e6-86b2-3118b239c895","True","BiomedicalConceptProperty_104","Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty","string","True"
"017cc7dd-7817-4116-82b6-e18c62e83da0","True","BiomedicalConceptProperty_105","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty","string","True"
"e53e8914-ef7d-4569-aa6a-4ef1cec65fa9","True","BiomedicalConceptProperty_106","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty","decimal","True"
"e3b872d8-f8d8-43d3-b616-45f4cc501d3a","True","BiomedicalConceptProperty_107","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty","boolean","True"
"6188c7aa-fa7f-4707-8c29-7099ce9fb4ed","True","BiomedicalConceptProperty_108","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","string","True"
