"value","uuid:ID","window","windowUpper","label","windowLower","name","instanceType","description","id"
"P2W","53f5b99a-e27c-4d47-912e-cb88caf851fe","","","Screening","","TIM1","Timing","Screening timing","Timing_1"
"P2D","64deff52-672e-41cd-a2e2-da7646d9dd26","-4..0 hours","PT0H","Pre dose","PT4H","TIM2","Timing","Pre dose timing","Timing_2"
"P1D","db5f23cf-ecd0-4f93-bee8-175647b475ae","","","Dosing","","TIM3","Timing","Dosing anchor","Timing_3"
"P2W","c1bb0788-8179-4833-b040-79a346e4a9f0","-3..3 days","P3D","Week 2","P3D","TIM4","Timing","Week 2 timing","Timing_4"
"P4W","eee52b9f-bab1-4758-be4d-d731ed9874b5","-3..3 days","P3D","Week 4","P3D","TIM5","Timing","Week 4 timing","Timing_5"
"P6W","cb8ff95c-1b41-421f-b38d-21d2f9cc3e24","-3..3 days","P3D","Week 6","P3D","TIM6","Timing","Week 6 timing","Timing_6"
"P8W","8e9d60c4-917e-4c2c-abbc-40e347cae7b9","-3..3 days","P3D","Week 8","P3D","TIM7","Timing","Week 8 timing","Timing_7"
"P12W","8900a6a6-ac03-44e9-aa11-75fecfae2b39","-4..4 days","P4D","Week 12","P4D","TIM9","Timing","Week 12 timing","Timing_9"
"P16W","1969b9ba-1964-49d2-869f-4c9728e9b4d0","-4..4 days","P4D","Week 16","P4D","TIM11","Timing","Week 16 timing","Timing_11"
"P20W","bd925bc8-0d87-490d-9f45-debfe41536fa","-4..4 days","P4D","Week 20","P4D","TIM13","Timing","Week 20 timing","Timing_13"
"P24W","35a01176-8f96-40b4-b6fc-f3b649404c20","-4..4 days","P4D","Week 24","P4D","TIM15","Timing","Week 24 timing","Timing_15"
"P26W","f0526208-1558-4203-a6ee-40468570316f","-3..3 days","P3D","Week 26","P3D","TIM16","Timing","Week 26 timing","Timing_16"
"P2W","f060a662-c635-4e79-ab58-6e258893ebbd","","","Week 8 Home","","TIM8","Timing","Week 8 at home timing","Timing_8"
"P2W","fe945675-8493-482b-886a-c90cc1219a92","","","Week 12 Home","","TIM10","Timing","Week 12 at home timing","Timing_10"
"P2W","519c037e-f651-49e0-b20f-9df30ef0a277","","","Week 16 Home","","TIM12","Timing","Week 16 at home timing","Timing_12"
"P2W","b6e7271e-da5d-4d9a-92f5-1cc33e43bfd2","","","Week 20 Home","","TIM14","Timing","Week 20 at home timing","Timing_14"
"P1D","bcb10a85-97cf-4df2-aac8-428e50932f0d","","","Adverse Event","","TIM17","Timing","Adverse Event","Timing_17"
"P1D","25c32b02-d219-4035-8b62-e541fc311e92","","","Early Termination","","TIM18","Timing","Early Termination","Timing_18"
"PT0M","aa8c41ba-977c-4c84-ba88-ad5d8ea658f0","","","Supine","","TIM19","Timing","Supine","Timing_19"
"PT5M","f24e1a83-39f7-42f8-8679-e7385dc414cd","","","VS while supine","","TIM20","Timing","VS while supine","Timing_20"
"PT0M","c763b2b9-aa72-4436-a7b6-3583277c514b","","","Standing","","TIM21","Timing","Standing","Timing_21"
"PT1M","9d327bb8-7622-4178-9647-bbdbda48286a","","","VS while standing","","TIM22","Timing","VS while standing","Timing_22"
"PT0M","c646c066-be14-49e1-8ca2-a81524343f99","","","Standing","","TIM23","Timing","Standing","Timing_23"
"PT2M","67165f80-16fa-420a-b2f7-231dfc690ff6","","","VS while standing","","TIM24","Timing","VS while standing","Timing_24"
