"uuid:ID","label","name","instanceType","description","id"
"2b8096aa-237d-4176-9957-82f7e96154a4","Screening 1","E1","Encounter","Screening encounter","Encounter_1"
"f32fa279-7b78-4b37-b70b-119e58cfd776","Screening 2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2"
"14f00e7a-418f-4108-902b-20f449db3a11","Baseline","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3"
"71d795d9-0114-4221-88d6-a6f86d84cd1b","Week 2","E4","Encounter","Day 14","Encounter_4"
"dd60a391-2c5a-4db9-9b31-2a6aeb85787b","Week 4","E5","Encounter","Day 28","Encounter_5"
"f18ea518-bd6b-4f05-be99-384634b55a28","Week 6","E7","Encounter","Day 42","Encounter_6"
"f838fa00-8027-4702-9922-495677e4bc0a","Week 8","E8","Encounter","Day 56","Encounter_7"
"3a9bd736-1493-4258-add3-e80c5427484c","Week 12","E9","Encounter","Day 84","Encounter_8"
"73272e5a-3eda-43a7-9bce-b2c390089616","Week 16","E10","Encounter","Day 112","Encounter_9"
"4182dc97-d4cf-4cc0-8551-48c9a4b0adb0","Week 20","E11","Encounter","Day 140","Encounter_10"
"b65ef16f-3bd0-472d-aa26-de491f60cfca","Week 24","E12","Encounter","Day 168","Encounter_11"
"2137c7cc-3643-404e-b53e-3b88225d55d3","Week 26","E13","Encounter","Day 182","Encounter_12"
