"text","uuid:ID","purpose","label","name","instanceType","description","id"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","10b99045-8675-45e6-80f9-68f321716648","","","END1","Endpoint","","Endpoint_1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","fb9493fd-f3f4-494d-a529-d0d080055107","","","END2","Endpoint","","Endpoint_2"
"Adverse events","29c278a9-0ee4-47c6-9fa4-982f15a71bd5","","","END3","Endpoint","","Endpoint_3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","a6f0b89c-fa86-4054-b321-fa50e0234854","","","END4","Endpoint","","Endpoint_4"
"Laboratory evaluations (Change from Baseline)","6b3fd83b-e67b-4082-95c3-d3c55135e342","","","END5","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","af3253b0-725d-4b7c-ba07-41a48eb8f373","","","END6","Endpoint","","Endpoint_6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","b492cc78-c600-45c8-89c5-19321621828e","","","END7","Endpoint","","Endpoint_7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","f085b1ae-31a9-4a10-9921-9095c88e189b","","","END8","Endpoint","","Endpoint_8"
"*** To be determined from protocol ***","1244388d-db81-47ee-86f3-cd1b6c6f159b","","","END9","Endpoint","","Endpoint_9"
"*** To be determined from protocol ***","ef197aaf-eeb6-4270-a343-273af21a6dce","","","END10","Endpoint","","Endpoint_10"
"*** To be determined from protocol ***","9c58a2f9-913d-4618-9868-b3ca79f4cd2e","","","END11","Endpoint","","Endpoint_11"
