"codeSystem","uuid:ID","decode","codeSystemVersion","instanceType","code","id"
"http://www.cdisc.org","fe959bc9-53e9-461e-afaa-cfbf1e25f3e2","Interventional Study","2023-09-29","Code","C98388","Code_1"
"http://www.cdisc.org","b933acb7-0463-4ae7-bd99-7d1a08e9181c","Phase II Trial","2023-09-29","Code","C15601","Code_2"
"http://www.cdisc.org","54a64b26-8354-4bd6-8fbd-5218437ae700","Sponsor Approval Date","2023-09-29","Code","C132352","Code_9"
"http://www.cdisc.org","1839e43c-fff7-4f33-9ab6-d73df3e81522","Global","2023-09-29","Code","C68846","Code_10"
"http://www.cdisc.org","3f72d3d4-0be0-4700-84d1-7092dcd540cb","IRB/IEC Feedback","2023-09-29","Code","C99904x3","Code_72"
"http://www.cdisc.org","7cd7256d-b264-40b9-a1a4-5a51c87ce0bb","Other","2023-09-29","Code","C17649","Code_73"
"http://www.cdisc.org","426273aa-8374-41e1-b351-be7634ed9177","Region","2023-09-29","Code","C41129","Code_75"
"ISO 3166 1 alpha3","45cd019d-7e25-4317-a1ba-5a51ee99d840","Europe","2020-08","Code","150","Code_74"
"SPONSOR","4686256d-8f59-43a1-83e1-7174ebc09647","Eli Lilly","12","Code","PHARMA","Code_4"
"http://www.cdisc.org","dd913971-b061-4c0a-8c8b-e6d42e664c57","Clinical Study Sponsor","2023-09-29","Code","C70793","Code_76"
"ISO 3166 1 alpha3","1cf4b4f1-351f-45e8-b373-de715d3e9032","United States of America","2020-08","Code","USA","Code_77"
"http://www.cdisc.org","6d38795c-8fdc-44f1-9085-33938bc61978","Study Registry","2023-09-29","Code","C93453","Code_78"
"ISO 3166 1 alpha3","e25f0ba9-39f5-4653-a276-f2abe228357c","United States of America","2020-08","Code","USA","Code_79"
"http://www.cdisc.org","abf55dfc-f698-436d-9459-f29f3d3562bf","Treatment Study","2023-09-29","Code","C49656","Code_137"
"http://www.cdisc.org","7297f3d6-cb7c-4e01-831e-ceb26adb3c49","Efficacy Study","2023-09-29","Code","C49666","Code_138"
"http://www.cdisc.org","777f23de-e2f3-4009-a70a-d2f92395b528","Safety Study","2023-09-29","Code","C49667","Code_139"
"http://www.cdisc.org","0605c4ed-b1a8-46a5-8dcd-1362f40c0bff","Pharmacokinetic Study","2023-09-29","Code","C49663","Code_140"
"SPONSOR","b8480f38-3b39-412e-8f7c-c061891ce57e","Mild to Moderate Alzheimer's Disease","12","Code","MILD_MOD_ALZ","Code_134"
"SNOMED","ca5d9dec-42b0-4db0-92a2-e153592262e0","Alzheimer's disease","January 31, 2018","Code","26929004","Code_135"
"http://www.cdisc.org","e734e432-7a65-43b6-ba1c-177a37c983cd","EXTENSION","2023-09-29","Code","C99907x1","Code_143"
"http://www.cdisc.org","0862eb99-40c3-43f8-a749-2e7a4669d854","ADAPTIVE","2023-09-29","Code","C98704","Code_144"
"http://www.cdisc.org","1db750b1-8873-45bf-a3f1-bf6f0c64b5f7","Parallel Study","2023-09-29","Code","C82639","Code_141"
"http://www.cdisc.org","40744029-1094-422b-b184-0bb3fa04734a","Visit","2023-09-29","Code","C25716","Code_83"
"http://www.cdisc.org","e232838e-ae37-4313-a6af-b93b82024536","Clinic","2023-09-29","Code","C51282","Code_84"
"http://www.cdisc.org","79154ec1-a5d3-4b2b-a234-fbee9e8aa870","In Person","2023-09-29","Code","C175574","Code_85"
"http://www.cdisc.org","dc68cd57-097c-4858-acb8-cd88362a6462","Visit","2023-09-29","Code","C25716","Code_86"
"http://www.cdisc.org","aba109f6-5289-4240-be81-5f4142cb4446","Clinic","2023-09-29","Code","C51282","Code_87"
"http://www.cdisc.org","cec926cf-b041-4bf1-b45f-79b8e64d0860","In Person","2023-09-29","Code","C175574","Code_88"
"http://www.cdisc.org","3d3fcd9c-6450-47a0-9d12-d87e0366a3b9","Visit","2023-09-29","Code","C25716","Code_89"
"http://www.cdisc.org","99144c48-f7c2-4e70-a0f2-c6fe41d6a575","Clinic","2023-09-29","Code","C51282","Code_90"
"http://www.cdisc.org","a260e14e-94d7-40b9-8916-53970c6733bc","In Person","2023-09-29","Code","C175574","Code_91"
"http://www.cdisc.org","aa1185db-8239-45dd-9088-19add96d9739","Visit","2023-09-29","Code","C25716","Code_92"
"http://www.cdisc.org","bed9657f-b41b-4c7a-9245-a2d5b6e00504","Clinic","2023-09-29","Code","C51282","Code_93"
"http://www.cdisc.org","3ba8d5d5-2ec2-4551-ae8f-3ad68405ed93","In Person","2023-09-29","Code","C175574","Code_94"
"http://www.cdisc.org","766c6893-d2d5-4791-a8c1-dd684818553b","Visit","2023-09-29","Code","C25716","Code_95"
"http://www.cdisc.org","3673081e-017a-4391-89ae-ec9ffc922355","Clinic","2023-09-29","Code","C51282","Code_96"
"http://www.cdisc.org","e720c822-ced2-462e-93da-6edf02f7b7a6","In Person","2023-09-29","Code","C175574","Code_97"
"http://www.cdisc.org","078b426a-4471-470f-8ea7-53b2ba53fcfd","Visit","2023-09-29","Code","C25716","Code_98"
"http://www.cdisc.org","6fba463f-95fc-482f-8f9b-8fe5369ca857","Clinic","2023-09-29","Code","C51282","Code_99"
"http://www.cdisc.org","bced5e4e-2460-449a-b8dc-89d77661d6e3","In Person","2023-09-29","Code","C175574","Code_100"
"http://www.cdisc.org","9dc6d650-5b87-47d5-ae97-f2cf7c0c2e3d","Visit","2023-09-29","Code","C25716","Code_101"
"http://www.cdisc.org","8e50e865-03fe-4d77-980c-ee7425423153","Clinic","2023-09-29","Code","C51282","Code_102"
"http://www.cdisc.org","1387e997-e960-463e-8c34-a91bdd88e368","In Person","2023-09-29","Code","C175574","Code_103"
"http://www.cdisc.org","b9ba8f60-b4dd-4a2d-87c4-7b46c14ddece","Telephone Call","2023-09-29","Code","C171537","Code_104"
"http://www.cdisc.org","6907ea89-a1c9-46fd-96db-375d6551e0b6","Visit","2023-09-29","Code","C25716","Code_105"
"http://www.cdisc.org","03667d64-d3b9-4eb4-9013-5dbe03100f36","Clinic","2023-09-29","Code","C51282","Code_106"
"http://www.cdisc.org","2c54dbb3-304f-40ff-aa31-2012207dd76e","In Person","2023-09-29","Code","C175574","Code_107"
"http://www.cdisc.org","f20c0239-b8c1-4f11-a218-81da52107a27","Telephone Call","2023-09-29","Code","C171537","Code_108"
"http://www.cdisc.org","97f7d32d-07c7-4356-820a-818728b71738","Visit","2023-09-29","Code","C25716","Code_109"
"http://www.cdisc.org","a641f841-173d-4e07-963b-670808d2e8e0","Clinic","2023-09-29","Code","C51282","Code_110"
"http://www.cdisc.org","ca61783a-561e-4a8e-88e3-fe50b4e03fce","In Person","2023-09-29","Code","C175574","Code_111"
"http://www.cdisc.org","01364b2b-b759-46a8-b527-cb60247cd207","Telephone Call","2023-09-29","Code","C171537","Code_112"
"http://www.cdisc.org","88b845f6-18ef-4cdf-a48d-051fea365476","Visit","2023-09-29","Code","C25716","Code_113"
