"uuid:ID","id","name","label","description","instanceType"
"54e68743-af25-4355-9b50-a64a8633dae8","ScheduledActivityInstance_9","SCREEN1","Screen One","-","ScheduledActivityInstance"
"74dbbe54-5dd8-4d0c-a37a-e7a9ddd3eadb","ScheduledActivityInstance_10","SCREEN2","Screen Two","-","ScheduledActivityInstance"
"0b3f9fa1-51fa-4356-afac-c652156626ff","ScheduledActivityInstance_11","DOSE","Dose","-","ScheduledActivityInstance"
"db184ef9-f172-4c3d-9af9-9accadebe066","ScheduledActivityInstance_12","WK2","Week 2","-","ScheduledActivityInstance"
"98479c1a-3299-4758-8adc-823fb47600e8","ScheduledActivityInstance_13","WK4","Week 4","-","ScheduledActivityInstance"
"ea1e97f6-780b-49c5-a56a-87cb8d56d06b","ScheduledActivityInstance_14","WK6","Week 6","-","ScheduledActivityInstance"
"4a0977fd-a12d-4d0b-981d-5796c3191ecf","ScheduledActivityInstance_15","WK8","Week 8","-","ScheduledActivityInstance"
"d0a2e9c4-3484-42a6-8117-d66725618e17","ScheduledActivityInstance_16","WK8N","Week NPI","-","ScheduledActivityInstance"
"8c82cd34-b730-467d-8005-0cef13e9bcdb","ScheduledActivityInstance_17","WK12","Week 12","-","ScheduledActivityInstance"
"574b901d-b16b-4137-8e8a-a62157da5302","ScheduledActivityInstance_18","WK12N","Week 12 NPI","-","ScheduledActivityInstance"
"538d7aa5-b018-4b5e-bc00-2adad7b68db4","ScheduledActivityInstance_19","WK16","Week 16","-","ScheduledActivityInstance"
"6a7519c9-cbdb-4550-96c9-6f38e5c4225f","ScheduledActivityInstance_20","WK16N","Week 16 NPI","-","ScheduledActivityInstance"
"6795b49d-c9fe-4593-be25-be6c5c307aa2","ScheduledActivityInstance_21","WK20","Week 20","-","ScheduledActivityInstance"
"92189a46-d53f-4345-bb69-6bcce0ef88bd","ScheduledActivityInstance_22","WK20N","Week 20 NPI","-","ScheduledActivityInstance"
"18eaa20e-54e4-4db1-ab01-4d0e11e33321","ScheduledActivityInstance_23","WK24","Week 24","-","ScheduledActivityInstance"
"288813ba-0918-4356-a642-bf3d806897a5","ScheduledActivityInstance_24","WK26","Week 26","-","ScheduledActivityInstance"
"219147e1-74db-4df3-ad44-a15b29ad2f09","ScheduledActivityInstance_1","AE","Adevers Event","-","ScheduledActivityInstance"
"deb94a74-bea6-4ee0-84f1-8701c83471d2","ScheduledActivityInstance_2","ET","Early Termination","-","ScheduledActivityInstance"
"0595b8c5-5fce-41de-8c21-d2b1a78eb7be","ScheduledActivityInstance_3","VS_5MIN","5 minute supine","","ScheduledActivityInstance"
"c85f3073-5cea-48a9-89a2-eed15cb2782f","ScheduledActivityInstance_4","VS_SUPINE","Vital signs supine","","ScheduledActivityInstance"
"279548c7-b547-463b-9c3d-6d0bb1476710","ScheduledActivityInstance_5","VS_1MIN","1 minute standing","","ScheduledActivityInstance"
"40ff807a-69ec-4983-be86-11bbd857591b","ScheduledActivityInstance_6","VS_STAND1","Vital signs after 1 min standing","","ScheduledActivityInstance"
"9f458d8d-0b72-418a-a085-7e249216780d","ScheduledActivityInstance_7","VS_2MIN","2 minute standing","","ScheduledActivityInstance"
"025f9db2-81e1-48ab-9a6c-d7d380cfb523","ScheduledActivityInstance_8","VS_STAND3","Vital signs after 3 min standing","","ScheduledActivityInstance"
