"uuid:ID","id","name","label","description","purpose","instanceType","text"
"4bde7dad-5952-4cc0-9115-aaea512fe34a","Endpoint_1","END1","","","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"691e6c36-2678-4a6e-9e54-ede02282ee31","Endpoint_2","END2","","","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"60129ca9-1bff-4778-9be0-a372313d4356","Endpoint_3","END3","","","","Endpoint","Adverse events"
"e0009dec-d9de-4ac1-9237-02acc32aa01f","Endpoint_4","END4","","","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)"
"9e417e2c-463f-4a5a-a264-3406ab3fa72d","Endpoint_5","END5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","Laboratory evaluations (Change from Baseline)"
"591caf33-c3f2-4306-ac18-4e7c9355ac83","Endpoint_6","END6","","","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"1146865f-9f10-4486-b02e-16a659e9fe2f","Endpoint_7","END7","","","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"083d0080-4df3-44e6-b6a8-80d40d439b33","Endpoint_8","END8","","","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"a5891bd0-da83-4e8c-97e9-223458a21e1d","Endpoint_9","END9","","","","Endpoint","*** To be determined from protocol ***"
"6dfb545e-f526-482d-82e2-7776457d30d0","Endpoint_10","END10","","","","Endpoint","*** To be determined from protocol ***"
"cc509af5-75c0-4626-ab79-3dba567fafd5","Endpoint_11","END11","","","","Endpoint","*** To be determined from protocol ***"
