"uuid:ID","id","name","label","description","instanceType"
"0cf5fb7a-aae5-4d5a-9e58-2f0d376fb5b2","Activity_1","Informed consent","Informed consent","","Activity"
"2d8ff6e2-c3be-4399-82f0-66789848755f","Activity_2","Inclusion/exclusion criteria","Inclusion and exclusion criteria","","Activity"
"c5f6bef9-d137-49da-9dc0-f4e58f5d655f","Activity_3","Patient number assigned","Patient number assigned","","Activity"
"f755a32e-bcd4-47a1-8c7a-ba37dd1f4a59","Activity_4","Demographics","Demographics","","Activity"
"c55aa2f6-0c98-4e4a-bfd1-64cbd0ef9dc6","Activity_5","Hachinski","Hachinski Ischemic Scale","","Activity"
"6fc45742-f663-4691-bf09-362d95850cc6","Activity_6","MMSE","MMSE","","Activity"
"e4c03ce7-300d-41bf-bfea-2bb03aa0b998","Activity_7","Physical examination","Physical examination","","Activity"
"45f4ac5c-38d5-42f9-98c9-d6a0f370c58e","Activity_8","Medical history","Medical history","","Activity"
"49a828d2-6b40-4cdd-be5e-aec633249621","Activity_9","Habits","Habits","","Activity"
"7297f3b3-e445-47f6-8af9-e1ef04cf5ac6","Activity_10","Chest X-ray","Chest X-ray","","Activity"
"45975b8e-a930-4dbf-a15b-e16501cc09dd","Activity_11","Apo E genotyping","Apo E genotyping","","Activity"
"496943bf-1615-4ed0-99b7-57773355ad5e","Activity_12","Patient randomised","Patient randomised","","Activity"
"20157088-2840-4f6a-849c-a9c7f913f920","Activity_13","Vital signs / Temperature","Vital Signs and Temperature","","Activity"
"48a86bc1-c6c9-4e8c-a498-bdc44ab5c784","Activity_14","Ambulatory ECG placed","Ambulatory ECG placed","","Activity"
"a2484c37-8c6f-415b-bf83-35653aa24d19","Activity_15","Ambulatory ECG removed","Ambulatory ECG removed","","Activity"
"d4705379-01dc-492f-ae13-6ce5cc951051","Activity_16","ECG","ECG","","Activity"
"a7a03882-7a3c-4ad8-a5fc-2ecf4eae6d58","Activity_17","Placebo TTS test","Placebo TTS test","","Activity"
"f22a9c9f-714f-4f9e-a206-d5666b506e73","Activity_18","CT scan","CT scan","","Activity"
"a8181395-7c6b-4702-80f9-13d70833f8fb","Activity_19","Concomitant medications","Concomitant medications","","Activity"
"c9f38c69-f3d5-4522-8932-a84d631f31d0","Activity_20","Hematology","Hematology","","Activity"
"780ebd6d-0a7e-45f3-807b-66099b3fdc4c","Activity_21","Chemistry","Chemistry","","Activity"
"9fc031e7-602c-4f72-95b1-610cf6fbd7ee","Activity_22","Uninalysis","Uninalysis","","Activity"
"583188b4-cf33-42c2-9da7-f7b3ec55ff9a","Activity_23","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity"
"cf824d10-dd14-4084-8656-b85dc9425d16","Activity_24","Hemoglobin A1C","Hemoglobin A1C","","Activity"
"00c68a0d-88fe-4871-ac06-ebe693d5e8d4","Activity_25","Study drug","Study drug record , Medications dispensed, Medications returned","","Activity"
"1f6a80c2-c733-4ef3-9a07-2c8ed0ad8f8d","Activity_26","TTS Acceptability Survey","TTS Acceptability Survey","","Activity"
"11ab54cf-337a-4956-a7aa-a9976e1a9484","Activity_27","ADAS-Cog","ADAS-Cog","","Activity"
"c0f01f4b-01ee-4aa8-9f61-93e90d007ae5","Activity_28","CIBIC+","CIBIC+","","Activity"
"4b550b26-0d7a-4b3b-8c6b-f6f8950f7a17","Activity_29","DAD","DAD","","Activity"
"a8128293-5458-4c85-9716-cbaab17080c1","Activity_30","NPI-X","NPI-X","","Activity"
"31c3057a-a6e0-4112-a7ad-cc4e283fefb2","Activity_31","Adverse events","Adverse events","","Activity"
"c71b7af5-8b59-4544-8895-844e03e1a2ca","Activity_32","Check adverse events","Check adverse events","","Activity"
"831960f8-bdab-4460-804c-8968abc2b619","Activity_33","Supine","Subject supine","","Activity"
"56f17096-7ecc-4ae5-935d-168cc1983d99","Activity_34","Vital Signs Supine","Vital signs while supine","","Activity"
"0e287be9-0671-46bf-a648-226a23648eaf","Activity_35","Stand","Subject Standing","","Activity"
"56f80929-ed4e-465a-a7eb-56ed09b9754d","Activity_36","Vital Signs Standing","Vital signs while standing","","Activity"
