"id","name","uuid:ID","instanceType","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","dd10ce4f-8370-405f-a46c-33386d392440","TransitionRule","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","2f4d2a50-231f-45c9-8eef-83206d9d9e9e","TransitionRule","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","920ea23d-986e-452d-a403-efe2f490ce6f","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","bb98e836-b8cf-4d7d-9d6c-3107f293da4e","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","e3c56954-0d84-4f46-a5d1-525f68396f82","TransitionRule","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","8ff816cd-87e2-4567-83b2-cdfaabc1325c","TransitionRule","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","f7b019cf-c97d-4702-bf96-5a53b78b03fe","TransitionRule","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","5bac85a2-bfd6-492a-b5b2-26325b0b0f44","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","70247f40-98cf-4670-99bc-03e83d212648","TransitionRule","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","3b89bad5-4736-4031-afd8-10d00f0ce213","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","04d692b7-9d0c-4296-a036-949c154fe7ea","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","d4d31dca-c976-44ff-a283-1a61c8c70483","TransitionRule","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","6c99e8a3-45d0-43f7-8256-38e4929796e4","TransitionRule","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","3b5317f0-a034-479e-985f-648e1379e49a","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","249afaa0-d4ac-4b79-9038-c5209e07dab6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
