"uuid:ID","id","name","label","description","instanceType"
"7b5df439-1544-49c1-b086-920634da7f40","Encounter_1","E1","Screening 1","Screening encounter","Encounter"
"68c881b7-1214-4ae5-9cc3-d904178a8c95","Encounter_2","E2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter"
"2889df54-0898-4cfe-8d56-4f200b9b7dbc","Encounter_3","E3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter"
"652a25e9-cbf0-46ca-9b4c-e9d4261af2ed","Encounter_4","E4","Week 2","Day 14","Encounter"
"dd13e14d-b889-49bd-bbe5-4e341cfc1144","Encounter_5","E5","Week 4","Day 28","Encounter"
"024e1125-7c19-4a74-9aa7-693e867ea293","Encounter_6","E7","Week 6","Day 42","Encounter"
"d90e1097-55ef-4789-aaca-4730e3c01af5","Encounter_7","E8","Week 8","Day 56","Encounter"
"3f98b89c-6e38-49bc-9c99-4470b83573d3","Encounter_8","E9","Week 12","Day 84","Encounter"
"5f353c31-11f4-4101-af9a-4e758d7c3c90","Encounter_9","E10","Week 16","Day 112","Encounter"
"2269632f-f952-4acf-b838-d7487a7752c0","Encounter_10","E11","Week 20","Day 140","Encounter"
"c898d78f-b4b0-4e2f-8678-d28229b39136","Encounter_11","E12","Week 24","Day 168","Encounter"
"302198ac-338c-4649-ac76-089e4d4fbd0a","Encounter_12","E13","Week 26","Day 182","Encounter"
