"decode","codeSystem","id","codeSystemVersion","uuid:ID","code","instanceType"
"Interventional Study","http://www.cdisc.org","Code_1","2023-12-15","cd923f09-6808-4a51-90e0-a37a48aecdbb","C98388","Code"
"Phase II Trial","http://www.cdisc.org","Code_2","2023-12-15","82cb330c-69bc-44be-a3fa-bad497772472","C15601","Code"
"Sponsor Approval Date","http://www.cdisc.org","Code_9","2023-12-15","ee5c0c46-3af6-44ba-8ca5-96d42213c9cd","C132352","Code"
"Global","http://www.cdisc.org","Code_10","2023-12-15","df47741f-8e33-4b6a-b7c6-e710b6dcacdd","C68846","Code"
"IRB/IEC Feedback","http://www.cdisc.org","Code_72","2023-12-15","02c637a8-0b01-4bdb-be7d-ca00d0bafc41","C99904x3","Code"
"Other","http://www.cdisc.org","Code_73","2023-12-15","a8180611-9b43-4f3f-a1b1-f116ae120234","C17649","Code"
"Region","http://www.cdisc.org","Code_75","2023-12-15","51b8fc7f-be25-4d3b-877b-a584579446b5","C41129","Code"
"Europe","ISO 3166 1 alpha3","Code_74","2020-08","c53af7d0-8606-4c31-926c-cfe94520ef21","150","Code"
"Eli Lilly","SPONSOR","Code_4","12","10d037d5-fa31-4851-8d66-7d258eed8fbb","PHARMA","Code"
"Clinical Study Sponsor","http://www.cdisc.org","Code_76","2023-12-15","fa5dea40-c179-4624-b171-61d70ded5311","C70793","Code"
"United States of America","ISO 3166 1 alpha3","Code_77","2020-08","a31edee2-ad74-40fa-b453-a68ed56ecbbd","USA","Code"
"Study Registry","http://www.cdisc.org","Code_78","2023-12-15","9aff6a31-f6f4-4576-a224-1903affd5779","C93453","Code"
"United States of America","ISO 3166 1 alpha3","Code_79","2020-08","023f7399-0c34-4259-a78c-ef7751eb2199","USA","Code"
"Treatment Study","http://www.cdisc.org","Code_137","2023-12-15","e73d0fc8-1ef8-48db-8012-d0e3708c2c88","C49656","Code"
"Efficacy Study","http://www.cdisc.org","Code_138","2023-12-15","57275dfa-37e4-4303-9d2c-dd4de478c30f","C49666","Code"
"Safety Study","http://www.cdisc.org","Code_139","2023-12-15","d580c524-afbb-4788-b85e-ab2f2b235d08","C49667","Code"
"Pharmacokinetic Study","http://www.cdisc.org","Code_140","2023-12-15","670a9b5f-c376-4631-bb46-33e108a3ad2e","C49663","Code"
"Mild to Moderate Alzheimer's Disease","SPONSOR","Code_134","12","f1256880-2755-4558-beba-489d9d048fda","MILD_MOD_ALZ","Code"
"Alzheimer's disease","SNOMED","Code_135","January 31, 2018","7f8eeecd-91dd-4598-ba2c-54367eca9dbc","26929004","Code"
"EXTENSION","http://www.cdisc.org","Code_143","2023-12-15","17006cae-2251-4c69-98fd-fb73fd83f536","C99907x1","Code"
"ADAPTIVE","http://www.cdisc.org","Code_144","2023-12-15","a2a3efbe-81cb-463d-b1cb-47955a55c1be","C98704","Code"
"Parallel Study","http://www.cdisc.org","Code_141","2023-12-15","0cd8d814-2095-4657-a248-ccf7e771737f","C82639","Code"
"Visit","http://www.cdisc.org","Code_83","2023-12-15","caa86e9b-ccc0-4bf2-9676-5eeb2fe43342","C25716","Code"
"Clinic","http://www.cdisc.org","Code_84","2023-12-15","7bc46bc8-d4de-42ee-afe0-d3d30b07134c","C51282","Code"
