"reference","synonyms","id","name","label","uuid:ID","instanceType"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_20","Sex","Sex","9d0387c2-8510-42ad-9967-844690d4e02d","BiomedicalConcept"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_21","Race","Race","dbe3f3e8-6db3-41ff-94d1-09831cd0f5a5","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_22","Temperature","Temperature","89539183-549e-472e-885e-c19e7e854c28","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_23","Weight","Weight","5ec8a7bf-d206-4f86-9b46-83d5538a77f8","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_24","Height","Height","a4b0c776-dfb0-4222-9f3f-6adf5dc729f6","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","034c68b9-d811-4942-b788-4cabc45f0a2a","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_26","Albumin Presence in Urine","Albumin Presence in Urine","98a1816b-3d7e-4dcf-b797-ee6504641065","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","1f992e73-10a4-4f35-aa6c-cc61e3f4956f","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","d2614efe-b505-4b99-aca9-7ba91ddb0a53","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_29","Creatinine Concentration in Urine","Creatinine Concentration in Urine","2650ba2c-73de-44d9-bbc7-59fc99d348fd","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_30","Potassium Concentration in Urine","Potassium Concentration in Urine","de45b4d3-7399-4c64-a351-afcb69691985","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_31","Sodium Concentration in Urine","Sodium Concentration in Urine","16d37216-3d4e-4240-8036-feeb7cd431c7","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","cee82148-390e-4355-90b3-b98052b65063","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified","Adverse Event Prespecified","a75b64d4-0676-4d71-9612-4bb3986cd56d","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","b6e1c8fa-de16-4a40-bc79-71d6f733039f","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","6a9297a3-3801-407e-901e-0435aaa0bccb","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature","Temperature","10f9b264-28c2-4718-afaf-c4e3bdb5feac","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight","Weight","bc0abfc4-cc67-4ee4-bcc7-6ea2f3a135a4","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_6","Height","Height","76f10e70-df13-4dc7-a84e-533687c9101f","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","48df7ba6-98b0-4435-b528-e757031e818a","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine","Albumin Presence in Urine","aa9e07e4-6dad-43e6-905c-044b351496eb","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","50bd24c6-8420-4c42-9fb0-1996172cc382","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","25272dd9-2c86-4b41-ade1-598d38169302","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine","Creatinine Concentration in Urine","bc7c8413-6664-4bf0-8c28-bd3ed1bbdb2e","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine","Potassium Concentration in Urine","aa9f870b-f044-4837-a470-b668f740fe18","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine","Sodium Concentration in Urine","52c1215f-0cea-41d8-93c3-134470c8a853","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure","d9b66bdf-6610-4b72-b973-5ff9a3c17290","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure","Diastolic Blood Pressure","3409d3e6-4e5d-44c1-aac3-48cdb407fd48","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_16","Heart Rate","Heart Rate","3a57e348-30d0-40ef-953a-4641d3e517b9","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure","Systolic Blood Pressure","a8df0e24-a78f-463c-805a-509c443c2a40","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure","Diastolic Blood Pressure","c2bd151d-b139-4aa0-abec-228721e41760","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept_19","Heart Rate","Heart Rate","de45e468-1b8b-4d99-aa7a-7f971b71496f","BiomedicalConcept"
