"windowLabel","uuid:ID","windowLower","id","name","windowUpper","valueLabel","label","description","value","instanceType"
"","d73fd042-cec4-4a8c-95ee-e2f8cab4a9f3","","Timing_1","TIM1","","2 weeks","Screening","Screening timing","P2W","Timing"
"-4..0 hours","d9f9df22-ca05-405d-97fd-51ecba9f94b8","PT4H","Timing_2","TIM2","PT0H","2 days","Pre dose","Pre dose timing","P2D","Timing"
"","bb53ed15-c121-46fb-8984-b024ccf3c0f8","","Timing_3","TIM3","","1 Day","Dosing","Dosing anchor","P1D","Timing"
"-3..3 days","6f139f27-f959-45ca-8cb0-f9d2310506c8","P3D","Timing_4","TIM4","P3D","2 Weeks","Week 2","Week 2 timing","P2W","Timing"
"-3..3 days","64de2a5b-ff1d-4b24-9e1b-45ca3fae6a4e","P3D","Timing_5","TIM5","P3D","4 Weeks","Week 4","Week 4 timing","P4W","Timing"
"-3..3 days","cb107ab3-1d2e-44de-82ae-dbbbcfafe854","P3D","Timing_6","TIM6","P3D","6 Weeks","Week 6","Week 6 timing","P6W","Timing"
"-3..3 days","f08508f3-0cee-4ccd-b381-6e58bfe44ac8","P3D","Timing_7","TIM7","P3D","8 Weeks","Week 8","Week 8 timing","P8W","Timing"
"-4..4 days","44414b9b-3a59-4ae7-906d-c650417389ac","P4D","Timing_9","TIM9","P4D","12 Weeks","Week 12","Week 12 timing","P12W","Timing"
"-4..4 days","5a0a0133-2ce4-4fb7-854f-875d85a202ce","P4D","Timing_11","TIM11","P4D","16 Weeks","Week 16","Week 16 timing","P16W","Timing"
"-4..4 days","e7196133-d696-40c9-8bca-4502eb430c4d","P4D","Timing_13","TIM13","P4D","20 Weeks","Week 20","Week 20 timing","P20W","Timing"
"-4..4 days","755779eb-f0cd-4cee-806b-fdd479ec0dab","P4D","Timing_15","TIM15","P4D","24 Weeks","Week 24","Week 24 timing","P24W","Timing"
"-3..3 days","d3e52123-5f46-4769-9a24-e88cb1e8c45b","P3D","Timing_16","TIM16","P3D","26 Weeks","Week 26","Week 26 timing","P26W","Timing"
"","4dc2f672-4ddc-4bd8-b326-e1eab60f48f8","","Timing_8","TIM8","","2 Weeks","Week 8 Home","Week 8 at home timing","P2W","Timing"
"","f66d8b68-6475-45d7-8b2e-d0d7fe4e220d","","Timing_10","TIM10","","2 Weeks","Week 12 Home","Week 12 at home timing","P2W","Timing"
"","0dc9f05c-b72b-4ce2-90b1-91ab79ebe9e3","","Timing_12","TIM12","","2 Weeks","Week 16 Home","Week 16 at home timing","P2W","Timing"
"","6d058dd6-fae0-4b9a-9fd1-2f42ca832343","","Timing_14","TIM14","","2 Weeks","Week 20 Home","Week 20 at home timing","P2W","Timing"
"","355c3462-8eb0-496c-8aab-aad6c28dfb0d","","Timing_17","TIM17","","1 Day","Adverse Event","Adverse Event","P1D","Timing"
"","06b34095-4a07-4ffd-b330-6dce6da1e4bb","","Timing_18","TIM18","","1 Day","Early Termination","Early Termination","P1D","Timing"
"","1fe7121b-3291-4bf8-b9f6-cd50c0b7f161","","Timing_19","TIM19","","0 mins","Supine","Supine","PT0M","Timing"
"","05925d0e-7dfe-43bd-8600-acc95b27b316","","Timing_20","TIM20","","5 mins","VS while supine","VS while supine","PT5M","Timing"
"","8b71a427-4ee8-4122-a03a-d528cf835a72","","Timing_21","TIM21","","0 min","Standing","Standing","PT0M","Timing"
"","faebcd42-ea0c-4139-b329-8bd1ed183ed4","","Timing_22","TIM22","","1 min","VS while standing","VS while standing","PT1M","Timing"
"","dd8dee8d-b719-4c6a-a51e-0d92e15b1bc3","","Timing_23","TIM23","","0 min","Standing","Standing","PT0M","Timing"
"","b7f79be9-25e3-4d6f-9462-d129e48333f2","","Timing_24","TIM24","","2 min","VS while standing","VS while standing","PT2M","Timing"
