"label","uuid:ID","instanceType","id","description","name"
"Informed consent","4e1ce5db-8e70-4840-9bab-bb1a102d6add","Activity","Activity_1","","Informed consent"
"Inclusion and exclusion criteria","7bf66186-0a64-4c3a-a8d0-87202b11cdd6","Activity","Activity_2","","Inclusion/exclusion criteria"
"Patient number assigned","3c35e164-e194-4d6a-ace5-edacc4aa180a","Activity","Activity_3","","Patient number assigned"
"Demographics","eb07e629-f3a5-451f-8054-57bbaba20d32","Activity","Activity_4","","Demographics"
"Hachinski Ischemic Scale","b8ba46a1-77bf-4cfd-9344-e1fdcc5c82d0","Activity","Activity_5","","Hachinski"
"MMSE","648c2860-9f6d-4b96-a234-7a327ae59da1","Activity","Activity_6","","MMSE"
"Physical examination","d860cc52-4240-41b7-b942-75a4b96f645b","Activity","Activity_7","","Physical examination"
"Medical history","b9e74d98-cbd4-4723-95b9-52d76cb81f87","Activity","Activity_8","","Medical history"
"Habits","71fdfc86-73e1-4ca6-b5ae-809d168a003e","Activity","Activity_9","","Habits"
"Chest X-ray","41c8e1bd-4eb6-4768-a683-fa5f21f48922","Activity","Activity_10","","Chest X-ray"
"Apo E genotyping","44fc2315-f827-4c72-8dfc-2d09231c40df","Activity","Activity_11","","Apo E genotyping"
"Patient randomised","a06a43f8-d698-43d8-805f-487b5f58efb2","Activity","Activity_12","","Patient randomised"
"Vital Signs and Temperature","d4a69d86-bec0-41df-88cb-1de042c8a965","Activity","Activity_13","","Vital signs / Temperature"
"Ambulatory ECG placed","96c87699-2fed-4f34-bf3e-283e3ed31b26","Activity","Activity_14","","Ambulatory ECG placed"
"Ambulatory ECG removed","4d384c3a-4ba3-479f-92c3-af118c0afb69","Activity","Activity_15","","Ambulatory ECG removed"
"ECG","1a883325-c538-4408-9a0d-4122423e5e66","Activity","Activity_16","","ECG"
"Placebo TTS test","5f3bea48-2801-412f-a2d1-ffa1fc7b62b6","Activity","Activity_17","","Placebo TTS test"
"CT scan","27369705-144b-460f-9812-6d958dad534c","Activity","Activity_18","","CT scan"
"Concomitant medications","8eb4bd13-db85-4eea-9f11-281d9d4a432e","Activity","Activity_19","","Concomitant medications"
"Hematology","af4a3e74-a279-4709-915b-4db0f3fb2025","Activity","Activity_20","","Hematology"
"Chemistry","925e1872-742b-4b36-8e22-1a290b5ca5c4","Activity","Activity_21","","Chemistry"
"Uninalysis","2d696d95-a3b3-405e-8f57-66afd48cc6a9","Activity","Activity_22","","Uninalysis"
"Plasma Specimen (Xanomeline)","181d86eb-594c-4512-867d-7811ab416104","Activity","Activity_23","","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","eb6b06bb-32c8-4cd7-99c2-b11085d911ea","Activity","Activity_24","","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","46a7b697-91a0-427f-b172-95e64656cb18","Activity","Activity_25","","Study drug"
"TTS Acceptability Survey","a8d41c64-4c74-4d29-8057-e2f004648cbe","Activity","Activity_26","","TTS Acceptability Survey"
"ADAS-Cog","45d2cf39-1d56-4588-8980-b89fa7e4beff","Activity","Activity_27","","ADAS-Cog"
"CIBIC+","8613eed0-fb34-436d-8792-29adb7874d77","Activity","Activity_28","","CIBIC+"
"DAD","ec968558-8032-46f8-a8cb-0ad97e105145","Activity","Activity_29","","DAD"
"NPI-X","cfc31fdd-11cf-45fb-aca8-002436423188","Activity","Activity_30","","NPI-X"
"Adverse events","9d489707-9df9-4d97-a347-a16e4aded1a0","Activity","Activity_31","","Adverse events"
"Check adverse events","c1b8b5a5-0b1d-4aed-874c-2569611aa86f","Activity","Activity_32","","Check adverse events"
"Subject supine","7ddd6bc3-6f2a-42ae-98cf-d13d540959bd","Activity","Activity_33","","Supine"
"Vital signs while supine","5a0adb4d-e6e4-438d-b8e1-dacaa5e898cb","Activity","Activity_34","","Vital Signs Supine"
"Subject Standing","38a93c08-d542-4cee-be4f-4003f8143b66","Activity","Activity_35","","Stand"
"Vital signs while standing","adfb2cab-c3a6-48bb-b15f-b1f911c8ade8","Activity","Activity_36","","Vital Signs Standing"
