"codeSystem","uuid:ID","instanceType","codeSystemVersion","id","decode","code"
"http://www.cdisc.org","55cc736d-362f-4599-9692-fda5b8514f97","Code","2023-12-15","Code_1","Interventional Study","C98388"
"http://www.cdisc.org","ab8911d8-fc76-41ff-8993-0f63c7fe7920","Code","2023-12-15","Code_2","Phase II Trial","C15601"
"http://www.cdisc.org","dcabb92c-593e-4bbc-b951-e4113eb78d8c","Code","2023-12-15","Code_9","Sponsor Approval Date","C132352"
"http://www.cdisc.org","4c6b298a-6d33-4154-8a07-652a328f4450","Code","2023-12-15","Code_10","Global","C68846"
"http://www.cdisc.org","a54b1f6b-6fbe-4e3f-9694-0eeb0d1b4143","Code","2023-12-15","Code_72","IRB/IEC Feedback","C99904x3"
"http://www.cdisc.org","b2144cdc-83f4-488f-a59c-17869d19593f","Code","2023-12-15","Code_73","Other","C17649"
"http://www.cdisc.org","6b1ec9b5-8a08-47da-92e8-4016dcce90a1","Code","2023-12-15","Code_75","Region","C41129"
"ISO 3166 1 alpha3","5627dd9f-9b2d-4cbe-9e0d-b3fa6d4f8692","Code","2020-08","Code_74","Europe","150"
"SPONSOR","d809fae4-05d9-49c5-8043-284a04f10ff3","Code","12","Code_4","Eli Lilly","PHARMA"
"http://www.cdisc.org","365628a7-25be-4245-af07-37bff2fc6bae","Code","2023-12-15","Code_76","Clinical Study Sponsor","C70793"
"ISO 3166 1 alpha3","ef1bffc5-8f81-410e-b53f-0d33b582c49a","Code","2020-08","Code_77","United States of America","USA"
"http://www.cdisc.org","6b6919d6-2e5c-40aa-81f4-a63673b9b0a6","Code","2023-12-15","Code_78","Study Registry","C93453"
"ISO 3166 1 alpha3","27346c7e-e643-4cc6-819c-46e5a5080efd","Code","2020-08","Code_79","United States of America","USA"
"http://www.cdisc.org","1122828d-cd07-4ea0-abe7-be884674e17a","Code","2023-12-15","Code_137","Treatment Study","C49656"
"http://www.cdisc.org","9b1e3efd-b645-44fe-97df-2bd2ee08b9c3","Code","2023-12-15","Code_138","Efficacy Study","C49666"
