"label","uuid:ID","instanceType","id","description","name"
"Screen One","66e9edc9-4c4d-47f8-be79-e0f6c67ba8d1","ScheduledActivityInstance","ScheduledActivityInstance_9","-","SCREEN1"
"Screen Two","805e4784-b852-41a3-b597-ecab6b178840","ScheduledActivityInstance","ScheduledActivityInstance_10","-","SCREEN2"
"Dose","8f86e480-62f3-46f5-8b81-f3ddc226590f","ScheduledActivityInstance","ScheduledActivityInstance_11","-","DOSE"
"Week 2","5f046059-352a-44be-8bfa-2d3fda3f0fc6","ScheduledActivityInstance","ScheduledActivityInstance_12","-","WK2"
"Week 4","876fcfbc-3f36-4643-8dbc-771f4683686e","ScheduledActivityInstance","ScheduledActivityInstance_13","-","WK4"
"Week 6","cf7ea0bc-cef3-4fc5-bcba-50a5445d546e","ScheduledActivityInstance","ScheduledActivityInstance_14","-","WK6"
"Week 8","f7da746d-3477-4ff6-9f3b-b1ea089327af","ScheduledActivityInstance","ScheduledActivityInstance_15","-","WK8"
"Week NPI","71f1314d-4ab6-4bc0-839d-bbc687c3dc83","ScheduledActivityInstance","ScheduledActivityInstance_16","-","WK8N"
"Week 12","73bdc431-7621-46ca-b6f4-b02e96464a8f","ScheduledActivityInstance","ScheduledActivityInstance_17","-","WK12"
"Week 12 NPI","daaff375-9013-4249-a655-db9cea754870","ScheduledActivityInstance","ScheduledActivityInstance_18","-","WK12N"
"Week 16","96433ead-3672-417e-8e65-c02d349a1c26","ScheduledActivityInstance","ScheduledActivityInstance_19","-","WK16"
"Week 16 NPI","fa91aa72-1ddb-426d-905a-a5487cd35a01","ScheduledActivityInstance","ScheduledActivityInstance_20","-","WK16N"
"Week 20","d1e96035-5961-4620-b526-d39ab3fddd0d","ScheduledActivityInstance","ScheduledActivityInstance_21","-","WK20"
"Week 20 NPI","738f3e84-73db-462e-a258-af5359205ff4","ScheduledActivityInstance","ScheduledActivityInstance_22","-","WK20N"
"Week 24","e56ea3d3-b7e5-4e71-ba1f-0a2d52b16b25","ScheduledActivityInstance","ScheduledActivityInstance_23","-","WK24"
"Week 26","00cb294e-9a3f-4803-816d-1fbf757ec5d3","ScheduledActivityInstance","ScheduledActivityInstance_24","-","WK26"
"Adevers Event","730c7d48-91f8-4d3c-84b6-0666a4c357c8","ScheduledActivityInstance","ScheduledActivityInstance_1","-","AE"
"Early Termination","8617464a-dcb2-4430-8edc-ececc5c26a4f","ScheduledActivityInstance","ScheduledActivityInstance_2","-","ET"
"5 minute supine","1dd5fb05-2b26-4c92-a848-36bad0c7f411","ScheduledActivityInstance","ScheduledActivityInstance_3","","VS_5MIN"
"Vital signs supine","c1fb7678-f48e-45bc-b96f-60ebb0b1ee91","ScheduledActivityInstance","ScheduledActivityInstance_4","","VS_SUPINE"
"1 minute standing","98b29d74-5af0-4b1a-a9a7-fa0895e2fb66","ScheduledActivityInstance","ScheduledActivityInstance_5","","VS_1MIN"
"Vital signs after 1 min standing","363c84ea-feeb-40e5-ba8e-8e95a08d2208","ScheduledActivityInstance","ScheduledActivityInstance_6","","VS_STAND1"
"2 minute standing","a06132f3-e0ad-4e5d-827b-468bbc9f98b8","ScheduledActivityInstance","ScheduledActivityInstance_7","","VS_2MIN"
"Vital signs after 3 min standing","fab16f82-8e82-4f7f-84e3-0f3b640ccaf4","ScheduledActivityInstance","ScheduledActivityInstance_8","","VS_STAND3"
