"label","uuid:ID","instanceType","synonyms","reference","id","name"
"Informed Consent Obtained","ab817e14-31c4-4f68-814e-5d193e8111dc","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","Informed Consent Obtained"
"Sex","66152111-4cc8-41a0-9fd2-ca9d08d4b991","BiomedicalConcept","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","Sex"
"Race","bcde9721-f666-401f-a180-797b13364bb4","BiomedicalConcept","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","Race"
"Temperature","0d8a0697-d77c-4b0d-8423-9f34f633197e","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","Temperature"
"Weight","40becac5-0790-4f26-b69f-ae9abc935983","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","Weight"
"Height","19348515-e799-4261-ab4b-27b787db623f","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","6ab4d9c3-8e0f-492b-a781-46ce44e9f1d4","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","14bccf09-5602-4ea2-8120-6b5c26e47c45","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","41959258-1aff-45e0-bb14-72559bd95e6b","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","79cab729-55cb-4e67-9929-bd362dc36bff","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
