"label","uuid:ID","instanceType","name","id","description","identifier","text"
"Age greater than 50","0b40b5c6-2387-4fa0-975e-40470a8d6b89","EligibilityCriterion","IN01","EligibilityCriterion_1","","01","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>"
"Diagnosis of Alzheimer's","5ad79baa-a642-47f0-8b54-0250650f3a47","EligibilityCriterion","IN02","EligibilityCriterion_2","","02","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>"
"MMSE Score","a0620fb3-ff54-473d-99a0-4cce3537b2a6","EligibilityCriterion","IN03","EligibilityCriterion_3","","03","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>"
"Hachinski Ischemic Score","2ce94791-1de6-41b2-8eac-8c6e94b4f05c","EligibilityCriterion","IN04","EligibilityCriterion_4","","04","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>"
"CNS imaging comptaible with Alzheimer's","f4331096-4bfc-4e6d-ba4a-4a204c0b4e62","EligibilityCriterion","IN05","EligibilityCriterion_5","","05","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol type=""a"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>"
"Informed consent criteria","ff4cd217-aab3-4a4b-ac35-b6d484841764","EligibilityCriterion","IN06","EligibilityCriterion_6","","06","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>"
"Geographic proximity criteria","4231f933-5cc5-449f-b92c-0ecc3e9112a4","EligibilityCriterion","IN07","EligibilityCriterion_7","","07","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>"
"Reliable caregiver criteria","36e70280-e079-41e8-a58a-5c842e7c1bbc","EligibilityCriterion","IN08","EligibilityCriterion_8","","08","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>"
"Previous study criteria","608093f1-72d6-488b-8c79-452328d75b56","EligibilityCriterion","EX01","EligibilityCriterion_9","","09","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>"
"Other Alzheimer's therapy criteria","17b214f7-a44d-4301-923b-2d0fca7fb9ab","EligibilityCriterion","EX02","EligibilityCriterion_10","","10","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>"
