"valueLabel","label","value","windowLabel","instanceType","uuid:ID","windowLower","id","windowUpper","description","name"
"2 weeks","Screening","P2W","","Timing","996699fc-7142-44de-9b3b-fd7d7d14d631","","Timing_1","","Screening timing","TIM1"
"2 days","Pre dose","P2D","-4..0 hours","Timing","50448949-c584-4511-a73b-313fd4483ee8","PT4H","Timing_2","PT0H","Pre dose timing","TIM2"
"1 Day","Dosing","P1D","","Timing","9ea6fc49-8ac4-4b30-aca1-2827dc24dcb4","","Timing_3","","Dosing anchor","TIM3"
"2 Weeks","Week 2","P2W","-3..3 days","Timing","dbfcb07d-5978-49e9-96da-cc5ffe5f0dc5","P3D","Timing_4","P3D","Week 2 timing","TIM4"
"4 Weeks","Week 4","P4W","-3..3 days","Timing","98a3e052-7621-43ac-8483-c5373b7226fc","P3D","Timing_5","P3D","Week 4 timing","TIM5"
"6 Weeks","Week 6","P6W","-3..3 days","Timing","8a19ac11-1e05-4989-b1d6-cd23a7bdb547","P3D","Timing_6","P3D","Week 6 timing","TIM6"
"8 Weeks","Week 8","P8W","-3..3 days","Timing","202fd26f-a7dd-48f5-8dd2-68cbffdfbaf1","P3D","Timing_7","P3D","Week 8 timing","TIM7"
"12 Weeks","Week 12","P12W","-4..4 days","Timing","3830f3cb-74db-4bca-8129-f8f5d582da61","P4D","Timing_9","P4D","Week 12 timing","TIM9"
"16 Weeks","Week 16","P16W","-4..4 days","Timing","2e064a01-b9f4-4927-b554-407c882077e6","P4D","Timing_11","P4D","Week 16 timing","TIM11"
"20 Weeks","Week 20","P20W","-4..4 days","Timing","9d37db86-4000-44be-99f0-bc76a1122119","P4D","Timing_13","P4D","Week 20 timing","TIM13"
"24 Weeks","Week 24","P24W","-4..4 days","Timing","0286ad6b-1b9f-47a2-8037-637c6ab808d1","P4D","Timing_15","P4D","Week 24 timing","TIM15"
"26 Weeks","Week 26","P26W","-3..3 days","Timing","7c9bf93f-3d63-443d-8d81-3b53dfe12dbb","P3D","Timing_16","P3D","Week 26 timing","TIM16"
"2 Weeks","Week 8 Home","P2W","","Timing","1662b2c6-12b4-4559-abca-f5237917a6c8","","Timing_8","","Week 8 at home timing","TIM8"
"2 Weeks","Week 12 Home","P2W","","Timing","6fc8d267-4357-4c40-89fc-29c4c8054a91","","Timing_10","","Week 12 at home timing","TIM10"
"2 Weeks","Week 16 Home","P2W","","Timing","43831219-9ffc-482e-a985-e49b86fabe5a","","Timing_12","","Week 16 at home timing","TIM12"
"2 Weeks","Week 20 Home","P2W","","Timing","ee0acfb8-3d43-468a-802b-d1ddfd1ec950","","Timing_14","","Week 20 at home timing","TIM14"
"1 Day","Adverse Event","P1D","","Timing","b778302c-4021-4f7d-b444-475879525d1f","","Timing_17","","Adverse Event","TIM17"
"1 Day","Early Termination","P1D","","Timing","d23a01dd-c3a2-4889-880b-e761d841c6ab","","Timing_18","","Early Termination","TIM18"
"0 mins","Supine","PT0M","","Timing","2918db31-a71e-441f-a097-6df71a2cd859","","Timing_19","","Supine","TIM19"
"5 mins","VS while supine","PT5M","","Timing","a50f6a7d-c07c-4b29-a724-2e42ed44fcd6","","Timing_20","","VS while supine","TIM20"
"0 min","Standing","PT0M","","Timing","d4b6d345-5254-4010-955f-0c3f0f06bb11","","Timing_21","","Standing","TIM21"
"1 min","VS while standing","PT1M","","Timing","3f825138-02a9-4369-b99e-18c383b7427c","","Timing_22","","VS while standing","TIM22"
"0 min","Standing","PT0M","","Timing","a0317a8e-94bc-4db2-a448-17a96c38ecd2","","Timing_23","","Standing","TIM23"
"2 min","VS while standing","PT2M","","Timing","945b6624-60c8-43fe-a066-2496c7ce38d0","","Timing_24","","VS while standing","TIM24"
