"label","uuid:ID","instanceType","name","purpose","id","description","text"
"","7c001f6b-5d9d-4061-b47e-9b8b682abff8","Endpoint","END1","","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","94e62b4c-c160-495e-98da-30ace7fb21b7","Endpoint","END2","","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","03e6c9c7-3850-479c-a6ad-7c9ddb2cc0aa","Endpoint","END3","","Endpoint_3","","Adverse events"
"","56bfcd7c-7379-4878-a088-13e1d597fd1a","Endpoint","END4","","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"","aa5ae7df-9715-44f5-9953-f8707e584f3c","Endpoint","END5","","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)"
"","444ff1a7-815a-40f0-a41f-763892379232","Endpoint","END6","","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","b122efb0-64a1-4310-922d-bb3828af33db","Endpoint","END7","","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","895a4dec-43be-4da6-89a4-77af86459e27","Endpoint","END8","","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","a1c5f241-d5a9-4bde-96b0-8cbcf43460c2","Endpoint","END9","","Endpoint_9","","*** To be determined from protocol ***"
"","6d696a57-6578-42c7-ab51-66512ae32a9b","Endpoint","END10","","Endpoint_10","","*** To be determined from protocol ***"
"","09db2f52-1b94-4d87-80d8-2046ff150620","Endpoint","END11","","Endpoint_11","","*** To be determined from protocol ***"
