"label","id","description","uuid:ID","instanceType","name"
"Screen One","ScheduledActivityInstance_9","-","6c14f0b9-58f4-4552-8018-c22a84cd47a0","ScheduledActivityInstance","SCREEN1"
"Screen Two","ScheduledActivityInstance_10","-","f4f5e8df-636b-43f3-99e1-af8de0d3da6f","ScheduledActivityInstance","SCREEN2"
"Dose","ScheduledActivityInstance_11","-","0c6d6181-3061-4bd2-b236-a8d7b99bb7b4","ScheduledActivityInstance","DOSE"
"Week 2","ScheduledActivityInstance_12","-","5c185723-04b3-445f-9ab3-668ca8ba06bf","ScheduledActivityInstance","WK2"
"Week 4","ScheduledActivityInstance_13","-","eae6f80a-01a0-4a18-a401-71b18f0b62a2","ScheduledActivityInstance","WK4"
"Week 6","ScheduledActivityInstance_14","-","76a24b00-bf53-49bb-a684-e4fc549a6e52","ScheduledActivityInstance","WK6"
"Week 8","ScheduledActivityInstance_15","-","5dab9538-2b1a-486b-9ecc-bd8e24d699ad","ScheduledActivityInstance","WK8"
"Week NPI","ScheduledActivityInstance_16","-","ccf950ef-cead-44d2-8eb6-65dd7da3686c","ScheduledActivityInstance","WK8N"
"Week 12","ScheduledActivityInstance_17","-","5ff028b4-3dd0-4007-9456-3ee97bcc625d","ScheduledActivityInstance","WK12"
"Week 12 NPI","ScheduledActivityInstance_18","-","f8109b49-4f55-447f-a49d-7f5d07382813","ScheduledActivityInstance","WK12N"
"Week 16","ScheduledActivityInstance_19","-","d7441676-4dd3-4fba-8066-3e4eaaee24c2","ScheduledActivityInstance","WK16"
"Week 16 NPI","ScheduledActivityInstance_20","-","a6ed57fc-224e-4d15-a80e-76aa5bc65915","ScheduledActivityInstance","WK16N"
"Week 20","ScheduledActivityInstance_21","-","58ec133a-4361-4f74-a4b9-7c42a03561f7","ScheduledActivityInstance","WK20"
"Week 20 NPI","ScheduledActivityInstance_22","-","bb9dcbbf-4fcf-4edc-9cd2-c37e32ea0f14","ScheduledActivityInstance","WK20N"
"Week 24","ScheduledActivityInstance_23","-","f31b6124-21db-4971-923f-9cc5f367d128","ScheduledActivityInstance","WK24"
"Week 26","ScheduledActivityInstance_24","-","df85b8cd-58e8-48a1-8497-717d585ea739","ScheduledActivityInstance","WK26"
"Adevers Event","ScheduledActivityInstance_1","-","20d97e1b-26d2-4a44-8909-3ad3bd64961a","ScheduledActivityInstance","AE"
"Early Termination","ScheduledActivityInstance_2","-","41f9374b-ac52-436f-b33c-69dd861c6378","ScheduledActivityInstance","ET"
"5 minute supine","ScheduledActivityInstance_3","","1785703c-37aa-4262-be40-4f795506ce26","ScheduledActivityInstance","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance_4","","2c831237-dfea-4b18-b5ff-5c4337439d2a","ScheduledActivityInstance","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance_5","","f492a116-6946-416d-8034-2a681a6d2a08","ScheduledActivityInstance","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance_6","","bb2486ba-78ce-4e4c-ac96-4ebba2aaeb1b","ScheduledActivityInstance","VS_STAND1"
"2 minute standing","ScheduledActivityInstance_7","","1d654f26-a493-4954-9f61-de4b15d4e5d1","ScheduledActivityInstance","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance_8","","9849720c-76db-4a8a-8d3e-1e8fb68d04f5","ScheduledActivityInstance","VS_STAND3"
