"text","id","uuid:ID","instanceType","name"
"Subject identifier","TransitionRule_1","ccd73170-0bd6-420e-9e4f-b93894d9fff2","TransitionRule","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule_2","d3fe3c00-26a0-47aa-a948-e6350504417b","TransitionRule","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","9d773108-5ea1-4c9f-a370-321f8aa62a1c","TransitionRule","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","c728a54a-e96b-45a2-bb1f-e9cdd937c457","TransitionRule","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule_5","d844a2d8-8168-445e-a126-29b2d7b17da1","TransitionRule","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule_6","fae39376-6480-47a1-b341-bc68dc14ede6","TransitionRule","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule_7","6a7a5b37-48ec-4ce1-aff9-d05ce6d5e26c","TransitionRule","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","82cbe95b-bb9f-4f90-9c01-8aad19e0fd74","TransitionRule","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule_9","820a8739-3eb5-4f36-abbe-57d3161b35c9","TransitionRule","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","64573bbd-01ad-4530-b71b-2fc3e8e9e325","TransitionRule","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","a20a0281-c183-4d89-8380-4a4d02a320e4","TransitionRule","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule_10","0c40c0f6-9dd4-438d-9d75-1b53ba01f399","TransitionRule","ELEMENT_START_RULE_3"
"Randomized","TransitionRule_11","b95f8b19-72dc-4f72-87d0-69d7cf0a18c0","TransitionRule","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","e353ac74-daca-4336-a6c6-ae01da640736","TransitionRule","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","4f46067a-4200-44ab-b0ce-3ef986beabf9","TransitionRule","ELEMENT_START_RULE_6"
