"value","label","valueLabel","windowLower","id","description","uuid:ID","windowLabel","windowUpper","instanceType","name"
"P2W","Screening","2 weeks","","Timing_1","Screening timing","64a84338-8e57-4782-bb92-ce247eb836c1","","","Timing","TIM1"
"P2D","Pre dose","2 days","PT4H","Timing_2","Pre dose timing","a3e2a9f0-ad7b-4890-876c-9c144d89550a","-4..0 hours","PT0H","Timing","TIM2"
"P1D","Dosing","1 Day","","Timing_3","Dosing anchor","06a1a403-92e4-4986-aee0-7f90e031c223","","","Timing","TIM3"
"P2W","Week 2","2 Weeks","P3D","Timing_4","Week 2 timing","c96667b1-0861-424c-8bf3-051b233dbf63","-3..3 days","P3D","Timing","TIM4"
"P4W","Week 4","4 Weeks","P3D","Timing_5","Week 4 timing","ef092fe4-2962-4f17-989c-4f032b821e33","-3..3 days","P3D","Timing","TIM5"
"P6W","Week 6","6 Weeks","P3D","Timing_6","Week 6 timing","7565d1ce-f680-4793-b3d3-20a2796c90b9","-3..3 days","P3D","Timing","TIM6"
"P8W","Week 8","8 Weeks","P3D","Timing_7","Week 8 timing","ef30ce86-88c5-4ab8-9956-323e69a3df58","-3..3 days","P3D","Timing","TIM7"
"P12W","Week 12","12 Weeks","P4D","Timing_9","Week 12 timing","4065ea4a-cb39-49d9-8cbd-2831035494b1","-4..4 days","P4D","Timing","TIM9"
"P16W","Week 16","16 Weeks","P4D","Timing_11","Week 16 timing","11b9c99c-2762-44fc-9c08-3a0c0fc7457c","-4..4 days","P4D","Timing","TIM11"
"P20W","Week 20","20 Weeks","P4D","Timing_13","Week 20 timing","f42a3782-1eb8-402e-ba0b-1833d67494b4","-4..4 days","P4D","Timing","TIM13"
"P24W","Week 24","24 Weeks","P4D","Timing_15","Week 24 timing","1b338ebf-bee3-4c99-a272-0e48f64246ba","-4..4 days","P4D","Timing","TIM15"
"P26W","Week 26","26 Weeks","P3D","Timing_16","Week 26 timing","9beb668e-1ca7-4def-bc47-92c3897b6ea3","-3..3 days","P3D","Timing","TIM16"
"P2W","Week 8 Home","2 Weeks","","Timing_8","Week 8 at home timing","e141615d-e1a4-4083-a4a1-cf2d4b37aac3","","","Timing","TIM8"
"P2W","Week 12 Home","2 Weeks","","Timing_10","Week 12 at home timing","9167dda5-8b00-4b8f-85ef-0bdcbe49874c","","","Timing","TIM10"
"P2W","Week 16 Home","2 Weeks","","Timing_12","Week 16 at home timing","12ca4ac1-d8ca-494e-8c7a-be71c9af5232","","","Timing","TIM12"
"P2W","Week 20 Home","2 Weeks","","Timing_14","Week 20 at home timing","0ba2a47f-a72a-4cbb-b839-53fe79886f72","","","Timing","TIM14"
"P1D","Adverse Event","1 Day","","Timing_17","Adverse Event","bf8ef4f9-8944-41d5-a3ba-dcb09ff44046","","","Timing","TIM17"
"P1D","Early Termination","1 Day","","Timing_18","Early Termination","5e88e711-8c7c-4670-8355-d3905a058800","","","Timing","TIM18"
"PT0M","Supine","0 mins","","Timing_19","Supine","c0b23df7-fa50-47d5-8c62-bc99180f4d79","","","Timing","TIM19"
"PT5M","VS while supine","5 mins","","Timing_20","VS while supine","c6a6497f-76ea-4045-931a-1353472a0b88","","","Timing","TIM20"
"PT0M","Standing","0 min","","Timing_21","Standing","55f621f0-97e8-4ff1-b8f7-94d403c3a4ef","","","Timing","TIM21"
"PT1M","VS while standing","1 min","","Timing_22","VS while standing","944a7346-1de6-4a8c-97df-b3c75b92e755","","","Timing","TIM22"
"PT0M","Standing","0 min","","Timing_23","Standing","8c2f510a-814d-4195-b277-3f14cc3483e8","","","Timing","TIM23"
"PT2M","VS while standing","2 min","","Timing_24","VS while standing","1b05e08d-31ba-4b2c-a174-2ec8765d6e90","","","Timing","TIM24"
